,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X000100.SZ,X600031.SH,X600118.SH,X600066.SH,X002236.SZ,X000157.SZ,X600271.SH,X600372.SH,X000559.SZ,X000016.SZ,X600741.SH,X002475.SZ,X000338.SZ,X600089.SH,X600839.SH,X002241.SZ,X000568.SZ,X300124.SZ,X000066.SZ,X600177.SH,X000800.SZ,X002129.SZ,X002294.SZ,X600582.SH,X600006.SH,X600312.SH,X002465.SZ,X600435.SH,X000547.SZ,X600867.SH,X300003.SZ,X600498.SH,X002074.SZ,X000581.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.178049264957921,0,0,0,0,0,0.0389959479072451,0.0379667637715595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178365049436257,0.00625588521252588,0,0,0,0,0,0,0,0.0116544827609758,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.0491600536114565,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.201403203057617,0,0.18447514636969,0.0303312606743609,0,0,0,0,0,0,0,0,0,0,0,0.0996259756825856,0,0,0,0,0.0419269209850464,0,0,0,0,0,0,0.128830175965226,0,0,0,0,0,0,0,0,0,0,0.0390008644489349,0,0,0.0239001244259254,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.0549883948685195,0.0498691987411036,0,0,0,0,0,0,0,0,0,-0.0764907412561566,0,0,0,0,0,0,0,0,0,0.149465603251351,0,0,0,0,-0.054894234256699,0,0,0.0774865602402564,0,0.0470504872784172,0,0,0,0,0,0,0,0,0,-0.0663256535835615,-0.0303263030902311,0.0054420930631501,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.150876593080064,0,0,0,0,0,0.0183344746022923,0.0267418176923628,0.0330431932257373,0,0,0.0776246663672715,0,0,0.0589514151823727,0,0,0.00774581541052562,0,0,0.00157008040805739,0,0.362259291874875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.186362360510618,0,0.0894531207223854,0.0755531592762547,0,0.0515481778235719,0,0,3.46944695195361e-18,0.00219096295984208,0,0,0,0.154070445902008,0,0.000691386131147014,0,0.00752966607535331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13991001312692,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0809777802485209,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0892064349427551,0,0.422529040591727,0,0,0,0,0,0,0,0.115071665559758,0,0,0,0,0,0,0,0,0,0,0,0.00703262336823037,-0.022212924809694,0,0,0,0,0,0
X600276.SH,0,0,0,0.0703927814979427,0,0.0380046245102516,0,0,0,0.0517404637214531,0,0,4.33680868994202e-19,0.172201940727232,0.0653297997164695,0.183650048025517,0.0206458560048784,0,0,0,0,0,0.0923270619328452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391959396643728,0,0,0.0247190945683653,0,0,0,0,0,0,0,0,-0.00643153517189074,0,0,0,0,0,0,0
X002304.SZ,0,0.268348685240044,0,0,0,0.114837958191811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207283915034902,0,0,0,0,0,0,0,8.67361737988404e-19,0.148388131148583,0,0,0,0,0,0,0.107086988400586,0,0,0,0,0.0986503609235562,0,0,0,0,0,0,0.0271985224983931,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909706370822823,0.121484338178929,0,0,0,0.0155539531689821,0,0.0848539072350828,0,0.0112678443498692,0,0,0.287637718312622,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544756546204234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.129459399498057,0,0,0,0,0.18997818497164,0.0493438898539972,0,0.0221590505523588,0,0.0949197964663713,0,0.0152376614326601,0.0101069040784736,0,0,0.157585900073196,0,0,0,0.0563969654792962,0,0,0,0,0,0,0,0,0,0,0,0,0.00522642850764613,0,0,0.00408754352723939,0,0,0,0,0,0,0
