,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X000338.SZ,X300003.SZ,X600031.SH,X601877.SH,X002008.SZ,X300124.SZ,X002456.SZ,X600809.SH,X000625.SZ,X600867.SH,X600487.SH,X600066.SH,X600271.SH,X000100.SZ,X002294.SZ,X000981.SZ,X600566.SH,X002241.SZ,X000596.SZ,X300142.SZ,X300136.SZ,X000050.SZ,X002180.SZ,X000661.SZ,X002508.SZ,X600522.SH,X000157.SZ,X002007.SZ,X002179.SZ,X002049.SZ,X600498.SH,X002038.SZ,X000977.SZ,X600089.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.25741591930247,0.191788106822289,0,0,0,0,0,0.0185593581902832,0,0.0308770927990112,0,0,0.031597693480107,0,0,0,0,0,0,0,0,0,0.0455952657202025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00923910955443195,0,0,0,0,0,0,0.00548154348387913,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.139389155725937,0.111728631103767,0,0,0,0,0.0364564658072186,0,0,0.0606621746687925,0,0,0,0,0.0622870790855976,0,0,0,0,0,0,0.0638577794208127,0,0,0,0,0,0,0,0,0,-0.0183446679673568,0,0,0,0,0,-0.0558243674169804,0,0,0,0,0,0,0,-0.0412344065246235,-0.0667891887760017,0,0,0,0,0,0
X002415.SZ,0.107347002010729,0,0,0,0.0188523800303009,0,0,0,0,0,0,0,0,0,0.197952182142272,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.175583966285483,0,0,0,0,0,0.0847791843540764,0.0990245958258361,0,0.0804056605329361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00885581033770417,0,0,0,0,0,0
X000858.SZ,0.139916500902129,0,0.0330519418408054,0,0.09582891776578,0,0,0,0,0,0.538484925090544,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446254278858898,0,0,0,0,-0.00599067325864454,0,0,0,0,-0.0109432360470612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00960939456259905,-0.00359796932634938,0,0,0,0,0,0
X000651.SZ,0,0,0,0.283729742794293,0,0,0,0,0,0.456207588856529,0,0,0,0,0,0,0,0,0,0,0,0,0.0447559723550831,0,0,0.0928202938416058,0,0,0,0,0,0,0,0,0,0,0.142345372316768,0,0,0.0170642126991434,0.00789449133247898,0,0,0,0,0,0,-0.0968563242825862,0,0,0,0.0353045414562248,0.0556053962774497,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0397866627558606,0,0.0759179047700079,0,0,0,0.0868118961060724,0,0,0,0.0758649051435971,0,0.145721675648115,0,0,0,0,0,0,0,0,0,0,-0.0737052362552898,0,0,0,0,0,0,0,0,0,0,0,0,0.106928803698155,0,0,0,0.0253187033775129,0,0,0,0,0,0,-0.015022435035792,0,0,0,0,0,0,0
X002304.SZ,0,0,0.153356065515543,0,0,0,0,0,0,0.0786864409423491,0.0964256978209729,0,0.0105305873859032,0,0.0117366613183611,0,0,0,0,0,0,0,0.15094772176254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494268340717791,0,0,0,0,0,0,0,0,0,0,0,0.0245330180696638,-0.010387787264623,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0601124352273529,0,0,0,0,0,0,0,0.0267731391401811,0,0.134679829319897,0.0180495528927838,0,0,0,0.0776094363447767,0,0,0,0,0,0.138994699859189,0,0,0,0,0,0,0.0634157400674107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0326763900849975,0.0244621231554388,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.0333125492213352,0,0,0,0,0,0,0,0,0,0,0,0,0.0499332389912348,0,0,0,0,0.0452416874374788,0,0,0,0,0,0.0683280061126776,0,0,0,0,0.158090886015712,0.0293654238622063,0,0,0,0,0,0,0.0279741517237733,0.0176614140795199,0,0,0,0,0,0.0380770699075635,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.441540728852081,0.0257675617171847,0,0.0872308325767011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068468654903954,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106066335503259,0,0,0,0,0,0
