,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X000651.SZ,X002415.SZ,X600809.SH,X003816.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X600031.SH,X000063.SZ,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X002179.SZ,X002463.SZ,X000100.SZ,X002241.SZ,X600089.SH,X600584.SH,X600703.SH,X600372.SH,X000157.SZ,X600418.SH,X000977.SZ,X600066.SH,X002028.SZ,X600741.SH,X002049.SZ,X002236.SZ,X600522.SH,X600183.SH,X601877.SH,X000921.SZ,X601799.SH,X600487.SH,X000661.SZ,X002180.SZ,X600460.SH,X000800.SZ,X002294.SZ,X002074.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.353802302090963,0,0,0,0,0,0,0,0.0585984937292829,0,0,0,-0.01601631947423,0,0,0,0.24619604314276,0,6.93889390390723e-18,0,0,-0.0238473168449383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177318958605526,0,0,0,0,0,0.0587551163607423,-0.11410877078242,-0.00454454979838224,0,0,0,0,0
X000858.SZ,0.513290736527792,0,0.0552058783377133,0,0,0,0,0.268948649689167,0,0,0,0,0,0,0,0,0,0,0,0.0499166115631238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846355600424465,0,0,0,0,0,0,0,0,0,0,0.0116793412105746,0,0,0,0,0,0,0
X600276.SH,0,0.0247038454404534,0,0,0.0111124179897291,0,0.0654650995838345,0,0,0,0,0,0,0.13548655180137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245222434955903,0,0,0,0.221480292810049,0,0,0,0,0,0,0,0,0,0,0,0,0.160153951504538,0,0.21301734574408,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876137675510735,0,0.638358905545525,0,0.102350115069397,0,0,0,0.038572116619205,0,0,0,0,0,0,0,0,0,0,0,0.219678163534765,0,0,-0.101701036706768,0,0,0,0,0,0,-0.0298334259872376,0,0,0,0,0,0
X600690.SH,0.0102690999509247,0,0,0,0,0.367552172343713,0,0,0,0,0,0,0.0705941509689135,0,0,0,0,0,0,0.0675814117854373,0.0285221486371482,0,0,0,0,0,0,0,0,0,0.0777689235933141,0,0,0,0,0,0,0,0,0,0.185344220748295,0,0,0,0,-0.0178525962786088,0,-0.0625794379698275,0,0,0,-0.0273163395143943,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.209024608363454,0,0,0,0,0,0,0,0,0.0172466373474442,0.0309910610540634,0,0.0357877463688482,0,0,0.0476124997136547,0,0,0,0,0,0,0,0,0,0,0,0,0.11455742986229,0,0,0,0,0,0,0,0.19946268522932,0,-0.0167695969803133,0,0,-0.0902768642789493,0,0,0,0,0,0,-0.0714873633903787,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0403042946728044,0,0,0,0,0,0,0,0,0,0,0.133475244915488,0,0.0302848159829413,0,0,0.0533307780674547,0.0879889240660234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901560232514727,0.132720053207844,0,0.0662922247749779,0,0,0.0916329178473627,0,0,0,0,0,0,0,0,0,0,0,0.016289517188379,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.0943722093541506,0.594741719631472,0,0,0,0,0,0,0,0,0,0.205479237091071,0.00509105176561985,0,0,0,0,0,0,0,0.0267964747120167,0,0.060167497041773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165089123848708,0,0.0471603070318345,0,0,0,0,0
X003816.SZ,0,0,0,0.212453431276744,0,0,0,0,0,0,0,0,0,0.0244034708012104,0,0,0,0,0.152576318655145,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0907883183236012,0,-0.223968474513996,0,0,-0.381944571223604,0,0,0,0,0,0,-0.0917929576661333,0,-0.106829022468277,0,0,0,0,0,0,0,0,0,0,0.251285367143924,0,0,0,0,0
X000568.SZ,0.334207536163357,0.335240045510831,0,0,0,0,0,0.289461210916338,0,0,0,0,0,0,0,0,0,0,0,0.108247035233056,0,0,0,-0.0176690361415281,0,0,0.0756725877155228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0469922775729776,0,-0.0527769273615063,0,0,0,0,0
