,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X000568.SZ,X002304.SZ,X000651.SZ,X600104.SH,X600690.SH,X300014.SZ,X000725.SZ,X600031.SH,X300124.SZ,X002371.SZ,X000625.SZ,X000661.SZ,X600703.SH,X000338.SZ,X002241.SZ,X000063.SZ,X003816.SZ,X002129.SZ,X000596.SZ,X000100.SZ,X002049.SZ,X300142.SZ,X002179.SZ,X000799.SZ,X600460.SH,X600741.SH,X600584.SH,X000157.SZ,X600779.SH,X601877.SH,X600702.SH,X002414.SZ,X002007.SZ,X002236.SZ,X002074.SZ,X601799.SH,X600183.SH,X300003.SZ,X000800.SZ,X300146.SZ,X600089.SH,X002508.SZ,X600884.SH,X002185.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.265986131612039,0.134953779255618,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.032302905002177,-0.0446025015026227,0,0,0,0,0,0.0818433564944643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101661015363851,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0473447217248236,0,0.317474601095185,0,0,0,0,0.00742796218856889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153227473058213,-0.00962936639358588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858635102874605,0,0,0,0,0,0,-0.0198570741348878,0,0,0,-0.00908769681343078,0,0
X002415.SZ,0,0,0,0,0.123272909615004,0,0,0,0,0,0.118363831442971,0.10348273753791,0,0,0.0639051860424627,0,0.121898202077824,0,0,0,0.0108376784921114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190640723544973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.114882510241198,0,0,0,0,0,0,0,0.060684259368266,0,0,0,0,0,0,0,0,0,0.0564987125792839,0,0,0,0,0.530753089602198,0,0,0,0,0,0,0,0,0,0,0,0.0265119531008162,0,0,0,0,0,0,0,0,0,0,0.0370390509978957,0,0,0,-0.0313366242707024,0,0
X600276.SH,0,0,0.076216660375073,-0.0626415856693666,0,0,0,0.00199165850084855,0,0,0,0,-0.0422640171275937,0.159801621915123,0.131917791776962,0,-0.0492856314724258,0,0,0,0,0.199822938969525,-0.0983035574882732,0,0,3.46944695195361e-18,0,0.0348046136224706,0,0,0,0,0,0,-0.077260468471343,0,0.00520665123998343,0,0,0,0,0,0,0,0,0,-0.045231853657378,0,0,0,0,0.194228928062469,0,0,0,0,0,0,0
X002475.SZ,0.433410301633942,0,0,0,0.0650093147004423,0,0,0,0,0,0,0.118571685263279,0,0,0,0,-0.0116873765880202,0,0,0,0.11574757487314,0,0,0,-0.0983392404094884,0,0,0,0.0561005353635197,-0.161187780745683,0,0,-0.0182535687045313,0,0,0,0.0157981077503605,0.29065518878078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.290624148558609,0,0.0938095556810142,0,0,0,0.2892293647194,0,-0.110111272107168,0,0,0,0,0.00832414483000261,0,0,0,0,0,0,0,0,0,0.180047579647512,0,0.0283600884746284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0320521855604846,0,0,0.158588671462244,0,0,-0.00900504867294974,0,-0.0324079861148458,0,0,0,-0.00969953422162616,0,0,0.255780142468734,0,0,0,0,0,0.135076935007621,0,0,0,0.0486163117526756,0,0.136992544474825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821446126996431,0,0,0,0,0,-0.150758139841362,0.115407615787614,0,0,0,-1.0842021724855e-19,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.134358233824422,0.000339011352857538,0,0.0118953843083111,0,0,0.0240749312842019,0.0116743118246045,0,0,0,0.170250055497532,0,0,-0.0925337609215253,0,0,-0.0359716538194377,-0.0696874937891878,0,0,0.0292931401677267,0,0,0,0,0.085745391387164,0.0461380123943187,0,0,0,0,0,0,0,0,0.0213641639286396,0,0,0,0,0,0.0720119064012349,0,0,0,-0.0256646362361594,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0191631725191286,0,0.161415114716441,0,0.00777453882292016,0.0922753625313566,0,0,0,0,0,0,0,-0.0846916359561753,0.0336219578887579,0,0.0738380815948187,0,0,0,0.0167854431375867,0,0,-0.00263252456588712,0,0.0436615550069485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256729363427364,0.0265215447324543,0,0,0,0,0,0
X600690.SH,0,0,0.297047356030326,0,0.198857583983512,0,0,0,0,0,0,0,0.234846265908589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249886400791996,0,0,0,0,0,0,0.0116471186278334,0,0.00312800696224758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031947522959619,0,0,0,0,0.00546404311648891,0,0
X300014.SZ,0,0,0,0.0750650701160729,0,0,0,-0.167055746051571,0,0,0,0,0,0,0.233997453993293,0,0.208365322279269,0.0331448688532684,0,0,0.30505861568406,0,0,0,0,0,0,0,0,0.0484128805274018,0,0,0,0,0,0,-0.0440360593680674,0,0,0,0.228307545950286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.072054408504895,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111386017392469,0.0691408288231142,0,0,0,0,0,0,0.442057498496146,0,0,0,0,0,0,0,0,0,0,0.0121344579175159,0.00954404748449547,0,0,0,0,0,0,0,-0.0565645639547271,0,0,0.0121009405529842,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,-1.73472347597681e-18,0.0079288520144707,0,0,0,0,0,0,0,0,0,0,0,0.098772731607628,0,0.00384448006232371,0,0.142410592474316,0,0.0577694384333629,0,0,0,0.0288107156213367,0,0,0,0,0,0,0.158012868127126,0,0.348032272782995,-0.0314385847749878,0,0.0626668549062097,8.67361737988404e-19,0,0,0,0,0,0.0598436170914386,0,0,0,0,0,0,0,-0.0929648804619889,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0.303099049655091,0.16308084827773,0,0,0,0.0228979281747354,0.0142883516650572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937076701785225,0,0,0,0,0,0,0,0,0,0,0.093268385672175,0,0,0,0,0,0,0,-0.0208157699744807,0,0
