,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X600104.SH,X002371.SZ,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X000100.SZ,X600418.SH,X002179.SZ,X002241.SZ,X000977.SZ,X002463.SZ,X600089.SH,X600584.SH,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X000066.SZ,X600741.SH,X002049.SZ,X600522.SH,X002236.SZ,X600839.SH,X600183.SH,X002456.SZ,X601877.SH,X600066.SH,X600460.SH,X002156.SZ,X002074.SZ,X000661.SZ,X000800.SZ,X600487.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600031.SH,0,0,0,0.0488919584079655,0,0.0820488046521291,0,0,0.0102371599157245,0,0.140831426553585,0,0,0,0,0,0,0,0,0.117079214624419,0,0,0,0,0,0,0.0614151948995055,0,0,0,0.198375814733321,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164715720033782,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0
X000625.SZ,0,0.250819828331727,0,0,0,0,0,0,0.0394854350544563,0,0,0,0,0.0374530991998629,0,0,0,0,0,0.0631292532570008,0,0,0,0,0,0,0,0,0,0,0.14767910033505,0,0,0,0,0,0,0,0,0,0.113188074848002,0,0,0,0,0,0,0.00631339320168703,0,0.0500844153438462,0,0,0,0,0,0,0.0127155273139175,0,0
X002304.SZ,0,0.56751962228251,0,0,0,0,0,0,0,0,0.0150229956683507,0,0,0,0,0,0,0,0.0568140709634379,0,0,0,-0.0167860089801171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.084172670526284,0,0,0,0,-0.00845332799876328,0,0
X000338.SZ,0,0.118159163543831,0,0,0,0,0.169775315156595,0,0.0660506661350168,0,0.0378056402625031,0.0992751775962301,0,0,0,0,0.116458532467698,0.00386714244097109,0,0,0,0,0,0,0,0,0,0,0,0,0.117986705839967,0,0,0.0184302433901118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0.0209283112247721,0,0.0139650745466418,0,0,0,0,0,0,0.182476337203359,0,0,0.0793944955433656,0,0,0,0,0,0,0,0.0371535730289042,0,0,0,0,0,0,0,0,0.138153879940638,0,0,0,0,0,0,0,0,0,0,0,0.538011863746127,0,0,0,0.213882756580356,0,0,0,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0.543183897392289,0,0,0,0.248909086532021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1402307098534,-0.0514324590167621,0.186698443529962,0,0,0,0.0634483564589152,0,0,0,-0.00635237418871361,0,0,0,0.0851258142885352,0,0,0,0,0,0.0169462086776384,0,0,0,-0.0105451681355874,0,0
X000100.SZ,0,0.0471677634277917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138719546044137,0.240147698174464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276282814789209,0,0,0,0,0.0861267303656493,0.121371426041018,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600418.SH,0,0,0,0,0,0,0,0,0.120755915124394,0,0,0,0,0,0,0,0.283731517067358,0,0,-0.0537227765579971,0,0,0,0,0,0,0,-0.0277701391170456,0,0,0,0.137200111985592,0,0.0747340573840089,0.0533459293749008,0,0,0,0,0,0.302699413234639,0,0,0.14020626730985,-0.190955563609692,0,0,0,0,0,0,0,0.0237059530576156,0,0,0,0.0427315634801853,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203149269699141,0,0,0,0,0,0.0480447189143254,0,0,0,0,0,0,0,0,0,0,0,0.209990884470508,0,0.0672210782652466,0,0,0,0,0,0,0.0215557734492097,0,0,0,0,0,-0.0416099532605713,0,0.207729879106792,0.0276624704842937,0,0,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0.171801453263119,0,0,0,0,0,0,0,0,0,0,0,0,0.161531996310528,0,0.0464950325016034,0,0,0,0,0,0,0,0,0.0586672987294238,0,0,0,0,0.0221804513906339,0,0,0,0.182328765157099,0.140206904992812,0,0.0767989534562407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407596436327328,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0.163063447108581,0,0,0,0.114876571703382,0,0,0,0,0,0.0238952340203451,0,0,0.0284258186432884,0,0,0,0,0,0,0,0,0,0,0,0,0.192797040160976,0,0,0.032709387634692,0,0.104184656036034,0,0,0,0,0,0,0,0,0.151707844769378,0,-0.0129641329142014,0,0,0,0,0.0715800790533635,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0.358132525570732,0,0,0,0,0,0,0,0,0,0.00123651891139682,0,0,0,0,0,0,0,0,0.114009378588085,0,0,0,0,-0.0282095731957083,0,0,0.0267759124209224,0,0,0.208073658002771,0,0,0,0.074338760993145,0,0,0,0,0,0,0,0,0,0,0,0,-0.033161512449325,0,0
X600089.SH,0,0,0,0,0,0,0,0,0.0484516414163423,0,0,0,0,0,0,0,0,0.21922282345596,0,0.221753907281287,0,0,0,0,0,0,0,0,0,0,0.0471672500856804,0,0,0,0,0,0.0551954519076725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060770204889676,0,0,0,0,-0.010461208384144,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800391519400798,0,0,0,0,0,0.202829613071012,0,0,0.135823467844448,0,0.118418453835315,0.00317535907905579,0,0,0,0,0,0,-0.205256456519645,0.100800064000312,0,0.180968757266092,0,0,0,0,0,0,0,0,0.132712852880621,0,0,0,0,0,0,0,0,-0.0380136497879242,0,0,0.03045844737447,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883631551339918,0,0,0,0,0,0.0815338032870218,0.0595440515288698,0,0.0707440521027253,0,0,0,0,0.047784382163983,0,0.247333099842081,0,0,0,0,0,0,0,0.057603930262846,0,0.00902691110441067,0,0,0,0,0,0,0,0,0,0,-0.0016263393509091,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792856173597762,0,0.263938206720297,0.080704225053875,0.333474020689272,0,0.011831584103808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016721836052057,0,0,0,0,0.0181408241502423,0,0,0.027557467369968,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0.0741828128140143,0,0,0,0,0,0,0.122747170533424,0.151856998361305,0,0.130524178380312,0,0,0.139062627171531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453899098960382,0,0,0,0,0,0,0,0,0,0,0,0,-0.00226418852242354,0,0,0,0,0.0140545938206546,0,0
X002028.SZ,0,0.0894530752560546,0,0,0,0,0,0,0,0.0544724864261379,0,0,0,-0.0885804800789957,0,0,0,0,0,0,0,-0.128568355970705,0,0,0,0,0,0,0,0,0,0,0,-0.0708312199218085,0,0.0265298945427278,0,0,0,0,0,0,0.269422432809894,0.116236629822081,0.00553275443999435,0,0,0,0.15303544551413,0,0,0,0.0224749091917005,0.158990847013964,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265706919964637,0,0,0,0,0.0825434061065992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482311783026187,0.0354498360385257,0,0.0570712652651413,0,0,0,0,0,0,0,0,0,0,0,-0.0232146481003832,0.0313025520502562,0,0,0.246999071359518,0,0
X600741.SH,0,0,0,0,0,0,0,0.133734983500708,0.0875614202586557,0,0,0,0,0,0,0,0.108028488047624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378025823204482,0,0,0,0,0,0,0,0.0510223653641261,0.289582309384948,0,0,0,0,0.0186835404022213,0,0,0,0.0113383697676786,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325839746643027,0.0836168354387853,0,0,0,0,0,0,0,0,0,0,0.142080366171804,0,0,0,0.215556558277286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610199140227972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600522.SH,0,0,0.079970638391799,0,0,0,0,0,0.00939494597636699,0,0.0643194926664155,0,0,0.108745060826328,0,0,0,0,0.0234895080838944,0.141960600025265,0,0.0583186256431464,0,0,0,0,0.0777111373820724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492272033887489,0,0,0,0,0,0,0,0,0,0,0,0,-0.0991565680285053,0,0,0.00582060962844584,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198861768478962,0,0,0,0,0,0.18047432051553,0,0,0,0,0.134119726304696,0,0,0,0,0,0.0160183574739536,0,0,0.0366741152101508,0,0,0,0,0.0424102367770264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600839.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121838014932307,0.0536232584342474,0.102042921497074,0,0,0,0,0,0,0.0376092709802565,0,0,0,0,0,0,0.54305638792235,0,0,0.102170099463731,0,0,0,0,0,0.0142180314683167,0,0,0,0,0,0,0.13695997125991,0,0
X600183.SH,0,0,0,0,0.0288523802071977,0,0,0,0,0,0,0,0,0.11652394116244,0,0,0,0,0,0.193724119989311,0,-1.73472347597681e-18,0,0,0.104666931538372,0.040244259494783,0.0483731260282143,0,0,0,0,0,0,0.023289248726864,0,0,0,0,0.0786001197643312,0,0.0223143159183032,0,0,0,0,0,0,0,0,0,0,-0.0198298348071752,0,0,0,0,0.011154170900575,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647177469980671,0,0,0,0,0,0.207329096624221,0,0,0.15685877151312,0,0.326270920633008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207992893943077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14884338321919,0,0
X601877.SH,0,0.0486781133682506,0,0,0,0,0,0,0,0,0,0,0,0.013303642649053,0,0,0,0,0,0.279528039009368,0,0,0,0,0,0,0,0.0633234433181721,0,0,0.0133999945011305,0,0,0,0,0,0.00190395915277408,0,0,0,0,0,0,0,0.0322215867305932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,3.46944695195361e-18,0,0.299349176299672,0,0.143179479672318,0,0,0,0,0,0,0,0,0,0,0,0.0432740804820983,0,0,-0.0807012584427058,0,0,0,0,0,0,0,0,0,0,0,0,0.0125115400022049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126837961529893,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181292960224063,0,0,0.0871242277775835,0,0,0,0,0,0,0,0,0,0,0,0,0.432526203141199,0,0,0,0,0.169344306294919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0
X002156.SZ,0,0,0,0,0,0,0,0,-0.0306392236230306,0.154233212092396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300018711051416,0,0,0,0,0.327422135218373,0,0,0,0,0,0.211961956979649,0,0,0,0,0,0,0.0939318696039586,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0.0300466677766806,0,0,0,0,0,0,0.0445442074574154,0,0,0.411913643963368,0,0,0,0.0405128601768616,0,0,0,0,0,0,0,0,0,0.0252748347501578,0,0,0,0,0,0,0,0,0,0.024435595132222,0.0164495855409479,0,0.08515726692122,0,0,0.0494281211898198,0,0,0,0,0,0,0.00759083902800368,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0.0399044833832048,0,0,0,0,0.337497144632885,0,0,0,0,0,0,0.0563284339759253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134592566121515,0,0,0,0,0,0,0,0,0.019076550673113,0,0,0,0,0.0830471108495218,0,-0.0380800796006568,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0.0645486357888509,0,0,0.0102709344564857,0,0.0390708040441368,0,0,0.142413177659978,0,0,0.102301934668267,0,0.0911095332199365,0.0434283967627525,0,0,0,0,0,0,0,0,0,0,0,0.014488181304563,0,0,0,0,0,0.00376643159450195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239531283430466,0.030396280875986,0,0,0,0,0,0,0,0,0,0,0,0.0350723144579161,0,0,0,0,0,0.109920691070857,0,0.137921916001044,0,0.476597881716592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041813839203252,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372908164973915,0,0,0.0250477553490454,0,0,0.0465009993917841,0,0,0,0,0,0,0,0,0.066753801162296,0.0830770557273008,0.134061216173232,0,0.0649414638913767,0,0,0,0,0,0,0,0,0,0,0,0,-0.0660135551156004,0,0,0,0,0.030334848060565,0,0
Change_TY3M,0,0,0,0,0,-0.0793069296179806,0,0,0.0399800973578761,-0.0135849000905096,0,0,0.165073427483205,0,0,-0.0250214302920478,0,0,0,-0.106764387839032,0.0442037639155478,0,0,0,0.00646578689607195,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.00842469276144562,0,0,0,0,0,-0.00753542307114202,0,0,0,0,0,0,-0.0165096495300843,0,0,0,0,-0.0337310112135335,0,0
Slope,-0.160131045978031,0,0,0,0,0,0,0,-0.159519422360646,0,0,-0.0434658844048514,0,0,0,-0.0581863028100445,0,0,0,0,0,0,0.147157395204203,0,0,0,0,0,0,0,0,0,0,0.0150926943900101,0,0,0.0618920283760884,0,0,0,0,0,0,0,0,0,0,0,0.0211403415507645,0,0,0,0.163576943147959,0,0,0,-0.287304167227054,0,0
TED,0,0,0,0,0,0,0,0,0.119287322193169,0,0,0,0,-0.0859387935884813,0,0,0,0,0,0,0,-0.184404496699698,0,0,0,0,-0.0174988890305493,0,0,0,0,0,0,0,0.151237795023287,0,0,0,0,0,-0.0107403073454088,0,0,0,8.67361737988404e-19,0,0,0,0,0.16616119324425,0,0.836507129395373,0,0,0,0,-0.361433068305834,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0.0587166765230724,0,0,0,0,-0.0244846929809332,0,0,0,0.142470717261906,0,0,0,-0.0533419642523738,0.320544345866904,-0.128487201408043,0,-0.0428713403670992,0,0,0,0,0.00440622719365905,0,0,0,0,0,0,0,0,0,0,0.0185729866502412,0,0,0,-0.191927276111201,0,0,0,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0551334610901487,0,0,0.0333541554138125,0,0,0,0,-0.0247762188093129,0,0,0.0556715252315716,-0.0363470775792385,0,0,0,-0.0541821740243111,0,0,0,0,0,0.0606659549569287,0,0.149888350447813,0,0,0,0,-0.129648361126817,0,0,0,0,-0.0174893859827075,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123284605721261,0,0,0,-0.052828820245823,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,-0.211195068393967,0,-0.100806372551381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,-0.108142935384188,0,0,-0.0679222300838294,0,0,0,0.261565258888279,0,0,0,-1.21838658805641,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0.00292652836468765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00778813412703068,0,0,0,0,0,0,0,0,0,0,0.00777321302221546,0,0,0,0,0,0,0,0.0707206973867012,0,0,0,-0.0416499590731999,0,0
CarbonVol_Hubei,0,0,0,0,-0.00979492059144742,0,0,0,0,0,0,0,0,0.0130792794437583,0,0,0,0,0,0.00165826791181943,0,0,0.00186630338997224,0,0,0,0.00401220054256361,0,0,0,0,0,0,0,0,0.0019508051666217,0,0.00612180625786324,-0.0271067445425677,0,0.00222024575363979,0,0,0,-0.00269130315907367,0,0,0,0,-0.00429428399069094,0,-0.00503702960581219,0,0,0,0,-0.0258680588161203,0,0
