,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600066.SH,X600741.SH,X600703.SH,X000568.SZ,X002236.SZ,X600271.SH,X000100.SZ,X600031.SH,X002241.SZ,X600118.SH,X600177.SH,X002292.SZ,X002475.SZ,X600372.SH,X000338.SZ,X002007.SZ,X000559.SZ,X002456.SZ,X300003.SZ,X000157.SZ,X002506.SZ,X002074.SZ,X002180.SZ,X600867.SH,X002426.SZ,X600522.SH,X002294.SZ,X002508.SZ,X000981.SZ,X600089.SH,X300124.SZ,X002085.SZ,X000869.SZ,X601877.SH,X002465.SZ,X000050.SZ,X002179.SZ,X600498.SH,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.270357125142806,0,0.0370334140295684,0.145081786614603,0,0,0,0.152682898033028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511905845082638,0,-0.0579957787292488,0,0,0,0.048338530701364,0.0332132231285053,0,0,0,0,0,0,0,0.0853834021351089,0,0,0,0,0,0,0,0,0,0.00036350441401309,0,0,0,0,0,0,0
X600104.SH,0.182045646552343,0,0,3.46944695195361e-18,0,0,0,0.197454247611791,0.0188601979518388,0,0,0.0318797948551249,0,0,0,0,0,0,0,0,0,-0.00695311771477334,0,0,0,-0.0157722029413652,0.0301630932080872,0,0,0,-0.0202220915573683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359609229751232,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.117015035831273,0,0,0,0,0.0857377435235074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058847688735907,0,0,0.124063305457107,0,0,0,0,0,0.0946046691597012,0,0,0,0,0,0.025041110097476,0,0,0.0281687656362843,0,0.00680508409848272,0,0,0,0,0,0,0,0.0311869274728056,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.346947599691239,0,0,0,0.316818911206599,0,0,0,0,0.213048763861415,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354871466734277,0,0,0,0,0,0,0,0.00387123738462019,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.749185965960551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104397639128739,0,0,0,0,0,0,0,0,0,0,0,0,0.0470934560716626,0,0.0467732850390965,0,0,0,0,0,0,0.0173929735918107,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0119144327035503,0,0,0,0,0.19098778935294,0,0.0784769267245195,0,0,0,0.0508559773105005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142349192656691,0,0,0,0,0,-0.00719660998199406,0,0,0,0,0,0,-0.0242346070493505,0,0,0,0,0.00426920472667686,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0271295671651951,0,0,0,0.232322596919415,0.124872206050702,0,0,0,0,0,0.0870095643767569,0.0305206966924446,0,0.100185541948513,0,0,0,0,0,0.00351901415525836,0,0,0,0,0,0.0126360224985887,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0425255458173754,0,0,0,0,0,0,0
X000625.SZ,0,0.494768994469877,0,0,0,0,0,0,0,0,0,0.197663425579161,0,0,0,0,0,0,0.0343541771460085,0,0,0,0,0,0,0.0230053278444712,-0.0406729671078715,0,0,0,0.0824873889543997,0,0,0,0,0.0564030757514617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00612095497974676,0.0469872323654836,0,0,0,0,0,0
X600690.SH,0,0,0.0995008585141723,0.120903152911998,0,0,0,0,0,0,0,0.112694578008196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804923479973426,0,0,0,0,0,0,0,0,0,0,0,0.0458314703107057,0,0,0,0,0,0,0,0.107526286618596,0,0,0,0,0.00960421674262288,0.0191037739348263,0,0,0,0,0,0
X000063.SZ,0,0,0.0129223240163213,0.0935794095737497,0,0,0,0,0.118980758704039,0,0,0,0,0,0,0,0,0,0,0,0,0.017787138210593,0,0,0,0.0299207385865906,0,0.13323970354,0,0,0,0,0.0410340043224647,0,0.0272844435454255,0.0497143236742986,0,0,0.108549133812405,0,0,0,0,0,0,0,0,0.0160419472623139,0,0,0,0.0347951349629932,0,0,0,0,0,0
