,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X600104.SH,X600276.SH,X300124.SZ,X300014.SZ,X000725.SZ,X003816.SZ,X002129.SZ,X600031.SH,X002371.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X000596.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X601877.SH,X300142.SZ,X600460.SH,X000661.SZ,X600741.SH,X002180.SZ,X000100.SZ,X000733.SZ,X600522.SH,X002074.SZ,X000157.SZ,X600702.SH,X600884.SH,X002236.SZ,X000799.SZ,X600584.SH,X600183.SH,X002414.SZ,X000800.SZ,X601799.SH,X600563.SH,X002176.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.224051997370757,0,0,0.016439861971456,0.0832573866605339,0.0813605644404844,0,0,0,0,0.0518855826157289,0,0,0,0,0,0,0,0,0,0.187905791352294,0,0,0,0,0,0,-0.00306230254068485,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00151959564680205,-0.0149326648018399,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.140435753434679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139910895955552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294874027769639,0.0657275492648302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.0549725916899494,0.405593146678837,0,0,0,0,0,0,0,0,0,0,0,0,0.0533302547616669,0,0,0,0.0328543050574216,0,0,0.141416870282199,0,0,0,0,0,0,0,0,0,0,0,0.131942697617031,0,0.151540432472722,0,0,0,0,0,0,0,0,0,0,0,0,0.0117964602365465,0.010738598349937,0,0,0,0,0,0
X002415.SZ,0,0,0.0749045786107298,0,0,0,0.0347420089136041,0,0,0,0,0,0,0,0.0184997577900252,0,0,0,0.216907889799694,0,0,0,-0.257705950396226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650187944758044,0.130264468770359,0,0,0,0,-0.0371472633641025,0,0.06991869346856,0,0,-0.0592913822905598,0.0771776187160126,0,0,0,0,0,0
X000568.SZ,0,0.660642797552412,0.0462575685789715,0,0,0,0.166252366342182,0,0,0,0,0,0,0,0,0,0,0.0508462477146148,0,0,0,0.0131360951229443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00416399509803585,0,0.00992268871841339,0.0495587562614238,0,0,0,0,0,0
X600690.SH,0,0,0,-1.73472347597681e-18,0.00213641027438101,0,0.226352290334339,0,0,0,0,0,0,0,0,0,0.113977409292131,0,0,0,0.0460121330272971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105759006633834,0,0,0,0,0,0,0,0.167103283006807,-0.0338482148148701,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.24056612221887,0,0,0,0,0,0,0.156192067099148,0,0,0.274393743357215,0,0,0,0,0,0,0.104174458710966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10854690071129,0,0,0,0,0,0.0485860447720419,0,0,0,0,0,0,0.00688557024001166,-0.0419205032661026,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143118759113412,0.4262217577589,0,0,0.00994475591441847,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205056204072484,0,0,0,0,0.136647674936645,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,-0.021560120382101,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.111575351456764,0.0669918664173641,0,0,0,0,0,0,0,0.00947913348400055,0,0.159015709607778,0,0,0,0,0,0.035332704862202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00841369205856334,0,0,0.0985407026673748,0,0,0,0,0,0,0,0,0,0,-0.015548835576028,-0.00465320313546153,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104961004466282,0,0,0,0,0,0,0,0.185267333252389,0,0,0,0,0,0,0,0,0.0313767417625601,0.0469057420529969,0,0,0,0,0,0,0,0,0,0,0,0,0.0462550586376575,0.0191962323636408,0,0,0,0,-0.0187952760429063,0,0,0,0,0,0,0
