,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000661.SZ,X000063.SZ,X600031.SH,X000725.SZ,X000568.SZ,X003816.SZ,X600809.SH,X000338.SZ,X600703.SH,X600690.SH,X002241.SZ,X300014.SZ,X002007.SZ,X300142.SZ,X000596.SZ,X000100.SZ,X002371.SZ,X300124.SZ,X300003.SZ,X002049.SZ,X600741.SH,X000157.SZ,X002129.SZ,X000800.SZ,X600183.SH,X600584.SH,X601877.SH,X002236.SZ,X002414.SZ,X000977.SZ,X000625.SZ,X002456.SZ,X300136.SZ,X000066.SZ,X002179.SZ,X002008.SZ,X002185.SZ,X002463.SZ,X600118.SH,X002180.SZ,X000021.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.250472015428279,0,0,0,0,0,0.0543031298548105,0,0,0,0,0.0483423042939973,0,0,0,0,0,0,0,0,0.0341351471888615,0,0,0,0,0,0.0727238869134166,0,0,0,0,0,0.0179720765032391,0,0.0104111647184417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00362432021297084,0,0,0,0,0,0
X000858.SZ,0.070314733055379,0,0,0,0,0,0,0.104075989138337,0,0,0,0,0.19358167951354,0,0.301028168367112,0,0,0,0.0318871091923351,0,0,0.124296802354114,0.0376072433404494,0,0,0,0,0,0,0,0.023652673031253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00610735150650097,0.00186621622100004,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0345030333292468,0.283765024691851,0,0,0,0,0,0.0949018949399356,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.104363683731026,0,0.180189427439813,0.0125202937327156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00641552385009872,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308994610419768,0,0,0,0.317667781096245,0,0,0.0221356478402272,0,0,0,0,0,0,0,0,0,0,0.0223593226942473,0,0,0,0,0,0,0.0354351695125942,0.00687645908489022,0,0,0,0.0653952334081019,0,0,0,0.046485668379641,0,0,-0.006452560583916,-0.0137683109852551,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.00710499235865655,0,0.0494717571509184,0,0,0.0624112376604879,0,0,0.047010424811041,0.0342983677255386,0.171982782953087,0,0,0,0.0312807118406544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225166928896822,0,0,0,0.00468247590072062,0,0,0,0,0,0,0,0.00530164394902719,-0.00374569588033342,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.102747400805705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896992736820593,0.036353652581577,0,0,0,0,-0.0450963228943461,0,0.171571752620025,0,0.0912320953695123,0,0,0,0,0,0.0803227497044004,0,0,0,0.105270582932346,0,0,0,0.000230376876148155,-0.00960523265421295,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.117832525140369,0,0.17722549159072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368676950580138,0,0,0,0,0.058017905887674,0,0,0,0.101427112404411,0,0,0.128436892048627,0.0666304716905326,0,0.0728536174004336,0,0,0.014285270426731,0,0,0,0,-0.0176773175844859,0,-0.00529143496385359,0,0,0,0,0,0,0
X002304.SZ,0,0.13892578627034,0,0,0,0,0,0,0,0,0,0,0.421769437709537,0,0.00832592114644633,0,0,0.108142224623421,0,0,0,0,0.150368636980524,0,0.0417255294949552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0096695066643504,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136565478253624,0,0,0,0,0,0.175700891219651,0,0,0,0,0,0.103020453021572,0,0,0,0,0,0,0,0,0,0,0,0,0.0265304439258299,0,0,0,0,0,0,0,0,0.0594155645875184,0,0,0.00937521399327387,-0.00551142831982496,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146552730424545,0,0.15907779970599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0867127691994423,0,0,0,0.126990039979677,0,0,0,0.182747369025906,0,0,0,0.222354184623641,0,0,-0.00575648311533183,0.0122111535736117,0,0,0,0,0,0,0
