,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X002304.SZ,X000568.SZ,X600809.SH,X600031.SH,X600104.SH,X600690.SH,X000725.SZ,X000661.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X300014.SZ,X000596.SZ,X002241.SZ,X000338.SZ,X600703.SH,X000625.SZ,X000100.SZ,X600741.SH,X002371.SZ,X601877.SH,X002179.SZ,X002049.SZ,X002129.SZ,X002007.SZ,X000157.SZ,X002414.SZ,X600584.SH,X600183.SH,X300142.SZ,X002236.SZ,X000800.SZ,X601799.SH,X000066.SZ,X300003.SZ,X000799.SZ,X002074.SZ,X002008.SZ,X000547.SZ,X000977.SZ,X002508.SZ,X300146.SZ,X600066.SH,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.411075968341431,0,-0.087018109275026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324217395951501,0,0,0,0,-0.0350475661573628,0,0,0,0,0,0,0,0,0,-0.0300765829741576,0,0,0,0,-0.0509520644154716,0,0,0.000101107412442713,0,0,0,0,-0.000474354583738133,0,0
X000858.SZ,0.246527238559053,0,0,0,0,0,0.0397394690858856,0.282693702436597,0.0812008960608232,0,0,0,0,0,0,0.0282448044339365,0,0,0,0,0,0,0,0,0,0,0,0,0.0319206625126287,0,0.0561817057983803,0,0,0,0,0,0,0,0,0,0,0.038266913373174,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.00570153087406493,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387707981673901,0,0,0,0.0548299332321397,0,0,0.102149746771587,0.0195924797548007,0,0.0273071915702495,0,0,0.00486447278496067,0,0,0,0,-1.73472347597681e-18,0,0.0257730873208086,0,0,0,0,0,0.0237570140204274,0,0,0,-0.00177750613615295,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0420877598755611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509636347719895,0,-0.103108940296428,0,0,0,0,0.128521115659272,0,0,0,0,0.198950601103364,0,0,0,0,0,0,0,0,0,0,-0.00185226396671316,0,0,0,-0.00767284510012931,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613703846165856,0,0,0.0333476401204921,0.0827630288365461,0.39395798839189,0,0,-0.0186554376636023,0,0,0,0,0,0,0,0,0,0.0422060046272753,0,0,-0.0112524911093073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213771675031228,0,0,0,0,-0.001109630387406,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.068780725245346,0.074022983040779,0,0,0,0,0,0,0,-0.111706792547542,0,0,0,0,0,0,0,0,0,0,0,0.252555047202942,0,0,0.0103684043884679,0.0592062838422482,0,0,0,0,0,0,0.133509529743728,0,0,0,0,0,0,0.0174785418005229,0,0,-0.0125955291601701,0,0,0,-0.0217284232267037,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.19711254114877,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02812336664769,0,0,0,0,0,0.0216385723137045,0,0,0,0.0297608141164517,0,0,0,0,0,0.0632046665305626,0,0.0669784181315984,0.15535973338095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.222196544670612,0,0,0,0,0.101815196166703,0,0.336058672648991,0,0,0.145260982463032,0,0,0,0,0,0,0.0497265880819252,0.0123030476476887,0,0,0,0,0,0,0,-0.0411895662179676,0,0,0,0,0,0,0,0,0,0,0,-0.0427974357860759,0,0,0,0,0.00910012546656219,0,0,0,0,0,0,0,0,0,0,0,-0.00151556974803646,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.124526518949947,0,0,0,0,0,0,0,0,0,-0.0696721036947692,0,0,0,0,0,0,-0.028013862454407,0,0.233851491747807,0,0,0,0,0.134369732746346,0,0,0,0,0,0.0637020919712035,0,0,0,0.00317702507111267,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.176785144891664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20115071129698,0,0.185729707248859,0,0,0,0,0.149404786030913,-0.0363292214997425,-0.0424828836005598,0.0839678558214083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00651766241563523,0,0
