,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X000568.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X600031.SH,X000063.SZ,X600809.SH,X003816.SZ,X600690.SH,X002241.SZ,X000596.SZ,X600703.SH,X000338.SZ,X002007.SZ,X300124.SZ,X000100.SZ,X300142.SZ,X002371.SZ,X300014.SZ,X600741.SH,X002049.SZ,X601877.SH,X300003.SZ,X002236.SZ,X000157.SZ,X000800.SZ,X600584.SH,X002129.SZ,X002414.SZ,X300136.SZ,X000625.SZ,X600183.SH,X002179.SZ,X000066.SZ,X000977.SZ,X002456.SZ,X601799.SH,X600118.SH,X002185.SZ,X000050.SZ,X002294.SZ,X002008.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0899690307771557,0,0.0280520231313513,0,0,0,0.176406775229751,0,0,0,0,0,0,0,0,0,0.0970561336114256,0,0,0,0,0,0,0,0,0,0.0169738148799066,0,0,0,0,0,0.065965588241066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0653944919603499,0,0,0,0.163012495036825,0,0,0,0,0,0.336199339466001,0,0,0,0.114866868273582,0,0,0,0,0,0,0.0422443884720506,0,0,0,0,0,0,0,0,0,0,0,0.0397098404569328,0,0,0,0,0,0.00477717346564213,0,0,0,0,0,0,0,0,0,-6.8234420017571e-05,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0811804802569396,0,0,0.132619482611636,0,0,0,0,0,0.0172392312192987,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0357019854695908,0,0,0,0,0,0.0136439214867564,0,0,0,0,0,0,0,0,0,0.055231404383487,0,0,0,0.123749621035834,0,0,0,0,0.000945647189754475,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264057056035348,0,0,0,0.00547395396595493,0,0.00400548930809239,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.154678785867899,0.0487490420695518,0,0,0,0,0,0,0,0.0407900204593827,0,0,0,0,0.128401094226596,0,0,0,0,-0.0201146521413561,0,0,0,0,0,0
X002415.SZ,0,0,0,0.00743558019290699,0,0,0,0,0,0,0,0,0,0,0,0.0836856038083591,0,0,0,0,0,0,0,0,0,0,0,0.0715783302265536,0,0,0.156624856036436,0,0,0,0,0,0.0239318160373173,0,0,0,0,0,0,0,0,0,0,0,0,0.0944831630021744,0,0,-0.00270935318048579,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.00154883081790502,0,0,0.0909747448817756,0,0,0,0,0,0,0,0.156322044531079,0.0169863156989939,0,0,0.0205824032717717,0,0,0.0676325372245545,0,0,0,0,0,0,0,0.0588769854786954,0,0,0,0,0,0,0,0,0,0,0,0.0751118537281282,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.0243494287504091,-0.00943648626877543,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468002978614647,0,0,0,0,0,0,0,0,0,0.166348220973972,0,0,0.06493395105022,0,0,0,0,0,-0.0354654625276262,0.0112213234184863,0,0,0,0,0,0
X000568.SZ,0,0.270702382172102,0,0,0,0,0,0,0.212549105618197,0,0,0,0,0.0479753953093968,0,0,0,0.110531744325298,0,0,0,0,0,0.0670472705241376,0.0312296616317476,0,0,0,0,0,0,0,0,0.0302630391363078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.496934933202882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234094587403145,0.0278119412267642,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00970958557938796,0.00509773980771434,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.110183470886824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413874057146358,0,0,0,0.00986693387259065,0,0,0,0,0,0,0,0.0328473455677329,0,0,0,0.149204840905055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021079744188544,0,0,0,0,0,0
