,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X002304.SZ,X600276.SH,X600690.SH,X000063.SZ,X000625.SZ,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X600031.SH,X002236.SZ,X002241.SZ,X600066.SH,X000338.SZ,X000100.SZ,X002456.SZ,X601877.SH,X002508.SZ,X300124.SZ,X600271.SH,X002085.SZ,X600089.SH,X600118.SH,X600177.SH,X000157.SZ,X300136.SZ,X002007.SZ,X300003.SZ,X600372.SH,X600522.SH,X002008.SZ,X000981.SZ,X002294.SZ,X600867.SH,X600487.SH,X600699.SH,X600566.SH,X000066.SZ,X002074.SZ,X600809.SH,X300115.SZ,X000596.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,1.35525271560688e-20,0,0,0,0,0,0,0.0581103611117636,0,0,0,0.0130997695914481,0,0,0,0,0.0790870834885225,0,0,0,0,0,0.000362843008730965,0,0,0,0.00831539210071701,0,0,0,0,0,0,0,0,0.0759879970228721,0,0,0,0,0.135655593579345,0,0.166305144746424,0,0,0,0.00779799292561547,0,0,0,0,0,0
X600104.SH,0,0,-0.0704528046990299,0,0,-0.0749763143010586,-0.00685471689740816,0,0,0,0,0,0,0.235563626158423,0,0,-0.0246846861703097,0,0,0,0,0.00530061176587873,0,0.0576718647750551,0,0,-0.0488691575299724,0.189982515322045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149987860645088,-0.0079833607806931,-0.0125295193273717,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00260312304945694,0,0.121423576957191,0,0,0,0,0,0,0,0,0.295678689491612,0,0,0,0,0,0,0.104689520306395,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153235656359576,0,0,0,0,0,0,0,0,0,0,0,0,-0.104646765821278,-0.0127101375265597,0.0115257583742653,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0729678501964818,0,0,0,0,0,0.0414332629548551,0.138259546434724,0,0,0,0.0167004492002622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218295354962226,0,0,0,0,0,0,0,0,-0.0269019551719449,0,0,0,0,0,0,0.0242677133161261,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.135610414994708,0,0,0.0173289905395522,0,0,0,0,0,0.337489028454116,0,0.0288078245717498,0,0.0382316065910657,0,0,0.12259935891254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951858699160445,0,0,0,0.0139005456721972,0,0,0,0,0.130628932219513,0,0,0,0,-0.00540552840134602,-0.0017404480134439,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0831262828694466,0,0,0,0,0,0,0,0,0,0.0674547415146154,-0.22910562423876,0.18798570663407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138178371772234,0,0,0.0546785442790771,0.0410818682012419,0,-0.0275518798439996,0,0,0.408975611873786,0,-0.0352191458079288,0.021602237526876,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.396824821895797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620563272620906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137336233929126,0,0,0,0,0.122238236269709,0,0,0,0,0.00742739412852841,-0.0119318793310913,0,0,0,0,0,0
X600276.SH,0,0,0,0.00215701905922923,0,0,0,0,0,0,0,0.0690060129450274,0,0,0,0,0,0,0,-0.0310206423836251,0,0.00431245262840638,0,0.0672176808031234,0,0,0,0,0,0,0,0,0,0,-0.0404834002061552,0,0,0,0,0,0,0,0,0,0,0,-0.0407568462317972,0,0,0,0.00619283449237893,0.0170169642308614,0,0,0,0,0,0
X600690.SH,0,0,0,0.0512008262318846,0,0,0.179359217867236,0,0,0,0,0,0,0.0159688704475331,0,0,0,0,0,0,0,0,0,0,0,0,-0.0600275742155488,0,0,0,0,1.73472347597681e-18,0,0,0.0298815955311057,0,-3.46944695195361e-18,0,0,0,0,0,-0.00306780770568584,-0.116701493268194,0.0452294685576152,0.10284022512988,0.0144996625974071,0,0,0,0.00509046020769555,-0.00893753609753753,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0187584612288309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150401810847462,0,-0.224325237225581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329499974562558,0,-0.00483635381834914,0,0,-0.00223355337718037,0.083697092084863,-0.150586806095141,0.0811936622235292,0,0,-0.00758123627602811,0,0,0,0,0,0
