,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X000338.SZ,X600031.SH,X000625.SZ,X002456.SZ,X002008.SZ,X600066.SH,X600809.SH,X601877.SH,X600487.SH,X300124.SZ,X002508.SZ,X000100.SZ,X300003.SZ,X002241.SZ,X002294.SZ,X600867.SH,X600522.SH,X300136.SZ,X600271.SH,X000981.SZ,X000157.SZ,X000050.SZ,X600177.SH,X600089.SH,X600566.SH,X000596.SZ,X002085.SZ,X600707.SH,X600498.SH,X300142.SZ,X000661.SZ,X002179.SZ,X002180.SZ,X600699.SH,X600201.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.520557407355187,0,0.0122088544564207,0.0307125092739477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198442152716932,0,0,0,0,0,0,0,0,0,0,0.0333923959934529,0.161472872672116,0,0,0,0.0500253956577991,0,0,0,0,0,0,-0.0257621239871577,0.0312078363093203,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0515504635038407,0.0940730831622717,0,0,0.0846230574146622,0.02782619933607,0.152639777325351,0,0,0,0,0,0,0,0.0153496516582985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579517941414871,0,0,0,0,0,0,-0.0131275729916429,0.000675772313993815,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0793283270683456,0,0,0,0.158821072481049,0,0.0285121914943855,0,0,0,0.26723782682389,0,0,0,0.28559682497763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241482134683308,0.0134592233299869,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.481536486931749,0,0,0,0.0484814035628457,0.101002600190632,0,0,0,0,0,0.0638473344816251,0.107088699981634,0,0,0,0,0,-0.0312393934889983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148199172724079,0,0,0,0,0,0,0.00850076123958459,0,0,0,0,0,0,0
X000858.SZ,0.185160939664449,0,0,0.368948624323018,0,0,0,0,0,0,0,0.388495411576415,0,0.0689914789429228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00653781743830936,0,0,0,0,0,0,0
X600276.SH,0,0,0.0289669391790284,0,0,0,0,0,0,0.00946842192482911,0.0349933733436511,0,0,0.0300447447987852,0,0,0,0,0,0,0,0.0947977809789311,0,0.258119046106896,0,0.106887810104523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00206551213662972,0,0,0,0,0,0
X002304.SZ,0.151864158553511,0,0,0,0.157651620137449,0,0,0,0,0,0,0.242038904308269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177328167856267,0,0,0.0266063887829442,0,0,0,0,0,0,0,-0.00179823170862567,2.16840434497101e-19,0,0,0,0,0,0
X000725.SZ,0.0198966637901082,0,0,0,0,0,0,0,0.545442191048485,0,0,0,0,0,0,0.161586045438318,0,0,0,0,0,0,0,0,0,0,0,0.23000838101725,0,0,0,0,0,0,0,0,0.109702879656123,0,0,0,0.0697423638693166,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0629437453839799,0.072178366943284,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.367441896025457,0,0,0,0,0,0,0,0,0,0,0,0.0560799520112047,0,0,0,0.115940211360579,0,0,0,0,0.147528842068983,0,0,0,0,0.388100835039849,0,0,0,0,0,0.0951326454997211,0.0811359801723872,0.0973505231619297,0,0.271567748033982,0,0.0369375709448634,0,0,0,0,0,-0.00330115053851031,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.54898957791397,0.0106427090621065,0,0,0,0,0,0,0.0519991801093585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100045697100647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053330008775335,0.0213268839909054,0,0,0,0,0,0,0.00930251000447864,0,0,0,0,0,0
