,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000063.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600276.SH,X600031.SH,X600690.SH,X600118.SH,X600271.SH,X000100.SZ,X600372.SH,X002129.SZ,X600703.SH,X000157.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X600177.SH,X002236.SZ,X600066.SH,X600582.SH,X000559.SZ,X300124.SZ,X002292.SZ,X000977.SZ,X600060.SH,X600435.SH,X002465.SZ,X600839.SH,X002456.SZ,X000800.SZ,X002475.SZ,X601877.SH,X600198.SH,X002294.SZ,X300003.SZ,X000581.SZ,X002007.SZ,X002491.SZ,X000623.SZ,X002276.SZ,X600498.SH,X000568.SZ,X600867.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.00868104359790594,0,0,0.16587680014312,0,0,0,0,0,0,0,0,0,0.056544132447676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425023984013317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242153275776074,0,0,0,0,5.42101086242752e-20,0.00758541455637102,0,0,0,0,0,0
X600104.SH,0,0,0.0529717563693991,0.188656708599117,0.121718522869984,0.024057751454774,0,0,0,0,0,0,0,0.0212314401233858,0,0.0057792439528737,0,0,0,0,0,0,0,0,0.0271013831908338,0,0,0,0,0,0,0,0,0,0.0227889622069662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961621656771506,0,0,-0.00121153063061869,-2.16840434497101e-19,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0741364878485575,0,0.0473007456539877,0,0,0,0,0,0,0,0.0109789192041189,0,0,0,0,0,0,0,0.0617053759637655,0,0,0.0150535332740964,0,0,0,0,0,0,0,0,0,0,0.081827498839596,0,0,0,0,0,0,0,0,0,0.12123709857105,0,0,0,0.0814530278104507,0,-0.00867587979286813,0,0,0,0,0,0,0
X000651.SZ,0.016444076941655,0.035621853209748,0.12744872549104,0,0,0.0467203862166211,0,0,0,0,0,0,0,0,0.0920429011082194,0,0,0,0,0.131801343697133,0,0,0,0,0,0.0312380705039197,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025611978529303,0,0,0,0,0,-0.00197376878069322,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0475485641866142,0,0.206296406943807,0,0,0,0,0.0335336391708929,0,0,0,0.0689799832975533,0,0,0,0,0,0,0.00472389603212946,0,0,0,0,0,0.0794910469529165,0,0,0,0,0,0,0.179630967558326,0,0,0,0,0,0.0654011758103542,0.171500325314593,0,0,-0.0180735170366797,0,0,0,0,0,0,0
X000063.SZ,0.0370703878737561,0,0.0319116231878064,0.03672852494939,0,0,0,0,0,0,0,0,0,0,0.108823113834593,0,0,0,0,0,0,0.167460409782423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035039119102077,0,0,0,0,0,0,0,0.151261973438496,0,0,0,-0.00651744926330853,-0.00643195697544316,0,0,0,0,0,0
X000625.SZ,0,0,0.198443856503592,0.048174563820897,0,0,0,0,0,0,0.0401390312107041,0,0,0,0,0,0,0,0,0,0,0,0.0702286213627389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0995121921809049,0,0,0,0,0,0,-0.0134122844718986,1.0842021724855e-19,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.117987269762489,0,0.00350791656868494,0,0,0,0,0,0,0,0,0,0,0,0.0320677982588104,0,0,0,0,8.67361737988404e-19,0.0571528212700206,0,0.0276649689611848,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344040092363042,0.00229344785354432,0,0,0.344414061171346,0,0,-0.0079526631922411,-0.028551038358824,0,0,0,0,0,0
X000858.SZ,0,0.145596463446179,0.0284314870947147,0,0,0,0,0,0,0,0,0.0379150367585926,0,0.0372086726824753,0,0,0,0,0,0.0863942590149158,0,0,0,0,0,0,0.00522473632208746,0,0,0,0,0,0,0,0.00260967730878634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338902969074831,0,0,-0.00551849766310828,0,0,0,0,0,0,0
X600276.SH,0.0425100366020733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575008684613054,0,0,0,0,0,0.0549225098518271,0,0,0,0,0,0.0605339561216363,0,0,0,0,0,-0.0435053864192404,0,0.0333402580034643,0,0,0,0,0.0449505092220323,0,0,0,0,-0.077078007744989,0,0,0,0,0,0,0.00465632083523961,-0.00703313135341822,0,0,0,0,0,0
