,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X600276.SH,X600104.SH,X300124.SZ,X000725.SZ,X003816.SZ,X600031.SH,X002129.SZ,X300014.SZ,X002241.SZ,X002049.SZ,X002371.SZ,X000063.SZ,X000596.SZ,X000338.SZ,X002179.SZ,X000625.SZ,X300142.SZ,X600703.SH,X600089.SH,X601877.SH,X000661.SZ,X600741.SH,X000733.SZ,X600460.SH,X000100.SZ,X002180.SZ,X600522.SH,X000157.SZ,X002074.SZ,X002236.SZ,X600702.SH,X600884.SH,X000799.SZ,X600584.SH,X600183.SH,X002414.SZ,X601799.SH,X002432.SZ,X000977.SZ,X000800.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0181635421082796,0,0,0.245495431508086,0.0391811550735645,0.0631550630553828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292223950325797,0.146150775549091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.00638658243922988,0,0,0,0,-0.0249817136986129,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.310117033621952,0,0,0,0,0,0,0,0,0,0.047709039541753,0,0,0,0,0,0.100911768694722,0.00405294432305728,0,0,0,0,0,0,0,0.0145798808485832,0,0,0,0,0,0,0,0,0,0.198889218734863,0.0401104992716365,0.0383438368760702,0,0,0,0,-0.0257040292997458,0,0,0,0,-0.0343796584329187,0.0036913431007909,0,0,0,0,0,0
X002415.SZ,0,0,0,0.185990950279913,0,0,0,0,-0.0397279260479208,0,0,0,0,0,0,0,0,0.0604369073678062,0,0,0,0,0,0,-0.298988943950174,0,0,0,0,0,0,0,0,0,0.0699305338735349,0.0596910178617194,0,0,0.551747864211582,0.0150806484263139,0.11820371603429,0,0,0,0,0,0.0675202941716437,0,0,0,0.0629495856505269,0,0.0311737093493272,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.387627600868079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2041461313728,0,0,0,0,0,0,0,0,0,0,0,0.00747458399000301,0,0,0,0,0,0,0,0.220644328022392,0,0,0,0,0,0,0,0.0369643519470588,0,0,0,0.0183490874609477,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0.26917116077962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220375596464057,0,0,0,0.0570857280051707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193785416141716,0,0,0,0,0,0,0,0,0,0,0,0.0247743879421826,0.0354299482855374,0,0,0,0,0,0
X600690.SH,0,0.111660232235519,0,0,0.0763942723529859,0,0.115697360082043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963790067196882,0,0.0128310692010634,0,0,0,0,0,0,0,0.216397410515178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170386554513111,0,0,0,0,0,0
X002304.SZ,0.0913510564548088,0,0,0.116599787459523,0,0,0,0,0,0,0,0.0668789311645888,0,0.0996765693404601,0,0.000242213925496366,0,0,0,0,0,0.239795595088887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118208967777289,0,0,0,0,0,0,0.0381375768249915,0,0.0617266871322174,0,0,0,-0.00184974422263724,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510397884259637,0,0.0853766675973201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517803032821008,0,0,0,0,0,0,0.0385752778574637,0,0,0,0,0,-0.0343992884758014,-0.00176173536730487,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0380339275957896,0,0,0,0,0,0,0,0.224803137209228,0,0,0,0,0,0,0.0793364605245294,0,0,0.0107952331314391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327044546411958,0.0295747879073552,0.0389014291509919,0,0,0,-0.0277335615023085,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19717798037187,0,0.00314798997944948,0,0,0,0,0,0,0,0.0187008761098975,0,0,0,0,0,0.068536128294466,0,0,0,0,0.0540745359947988,0.121843125181207,0.0579624856820856,0,0.116189498816817,0,-0.00302220267946279,0,0,0,0,0,0,0
