,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X002292.SZ,X600703.SH,X600690.SH,X000100.SZ,X002241.SZ,X600118.SH,X600271.SH,X000559.SZ,X600031.SH,X600066.SH,X002236.SZ,X600372.SH,X600741.SH,X000157.SZ,X002475.SZ,X000338.SZ,X600089.SH,X000568.SZ,X600177.SH,X002465.SZ,X300124.SZ,X002049.SZ,X002129.SZ,X601877.SH,X300003.SZ,X002294.SZ,X002456.SZ,X000869.SZ,X000977.SZ,X002074.SZ,X002506.SZ,X600867.SH,X600582.SH,X300001.SZ,X002426.SZ,X002008.SZ,X000547.SZ,X000623.SZ,X002085.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.0498219724753091,0,0,0,0,0,0,0,0.0330840278625781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961502792580297,0,0,0,0.020191622223525,0,0,0,0,0,-0.0199851225746938,0,0.0444818663044345,0,0,0,0,0,0.0246364826831635,0,0,0,0,-0.0144390359731064,0.0188218922282401,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.341810905953253,0,0,0,0,0,0.0199900656101932,0,0,0,0,0,0,0.00648488209120373,0,0.0691888496058514,0,0,0.0268980232051308,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0193895404494152,0,0,0,0,0,0,0,0,0,-0.0332195826776592,0,0,-0.00880725118173281,0.024168870982769,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0206326741224032,0,0,0,0,0.116039295511354,0,0,0,0,0,0.0151175108731451,0,0,0,0,0,0,0,0,0.128758414353589,0.0504497441727479,0,0,0,0,0.0720155952079594,0,0,0,0,0.0481865156457961,0,0,0,0,0.0194344701118446,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.130249412049138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148362033495283,0.144434051943432,0,0,0,0.0957883808640247,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00664100784696562,0,0,0,0,0.0196682806209761,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0884244866612596,0,0,0,0,0,0,0,0,0.0200929048437179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103216090286423,0,0,0,0.0474560044441132,0,0.0128284541764912,0,0,0,0,0.00865331463639178,0,0,0.063789562719657,0.0482140300549529,0,0,0,0,-4.06226291006919e-05,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.00603708638982396,0,0,0,0,0,0,0,0,0.126937742516027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271037974287879,0,0,0.051556252070642,0.00541067796809754,0,0,0,0,0,0.055343832483725,0.0771035527628525,0,0,0,0,0.00277215123537228,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0508505483901485,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020402637655071,0,0,0,0,0,0,0,0,0,0.238022616794859,0,0,0,-0.0592657219239312,0,0,0,0.0712452439144516,0,0,0,0,0.00690319090797526,0,0,0,0,0,0.0532405074229053,0,0,0,0,-0.00348001115661114,0.00170873792047266,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520766478290678,0,0,0,0,0,0,0,0,0,0,0,-0.0294764723488037,0,-0.0480625899715781,0,0,0,0,0,0.109411705398597,0,0,-0.0091693059568691,0,0,-0.0338731776697135,0,0,0.0757657452053216,0,0,0,0,0,0.00848800618555224,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.0397323196941094,0,0,0,0,0,0,0.221016409173712,0,0,0,0,0,0,0,0,0,0,0.138113652516878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161981590758206,0,0,0,0,-0.0188351121627708,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010442037000108,0,0.210278317208482,0,0.174848853284718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025144111828754,0,0,0.133092301055428,0,0.0108221385814249,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680577760785683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136054539994787,0,0,0,0.146859589234017,0,0,0.117902051875676,0,0,0,0.0831048443245539,0,0,0,0,0.0431949946817177,0,0,0,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00711836039709007,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0981211233954564,0,0.082061149233738,0,0,0,0.0859880008092142,0,0,0,0,0,0.00636335552083663,0.0367139283971878,0,0,0,0,0.0176691886386017,0,0,0.0140053594889386,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283473337392363,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0218896503132762,0.0261509464419028,0,0,0.0427774285465001,0,0,0,0,0,0,0,0.00567330600366301,0,0,0,0,0,0.0264014080271365,0,-0.0521945590171422,0,0,-0.043382634535278,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0.00502696745934402,0,0.0467694734529591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993373076998686,0,0,0,0.0489732690299405,0,0,0,0,0,0,0,0,0,0.0253739435338421,0.0738200190489363,0,0,0,-0.00551463119340849,0,0,0,0,0,0,0
