,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X002475.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X000661.SZ,X600809.SH,X600183.SH,X600703.SH,X000596.SZ,X002241.SZ,X002236.SZ,X000100.SZ,X002007.SZ,X601877.SH,X300003.SZ,X000157.SZ,X002463.SZ,X300142.SZ,X002179.SZ,X300124.SZ,X002008.SZ,X600271.SH,X000066.SZ,X600867.SH,X000625.SZ,X000977.SZ,X300136.SZ,X002456.SZ,X002129.SZ,X002506.SZ,X600498.SH,X600177.SH,X002049.SZ,X002371.SZ,X600066.SH,X002180.SZ,X300014.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.327329756486859,0,0,0.0848604728067687,0,0,0,0.0617102813567194,0,0,0.00679139158916425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310381313841178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00950990253156888,0,0,0,0,-0.0317782385040339,0,0
X000858.SZ,0.0908355896235866,0,0,0,0,0,0,0,0.002877172707339,0,0,0.329918403899879,0,0,0,0,0,0.25612332023359,0,0,0,0,0,0,0,0,0,0,-0.0194977188323498,0,0,0,0,0,0,0,0,0,0,0,0.0605024461378555,0,0,0,0,0.00174964776995643,0,0,0,0,0,0,-0.00151542721584319,0,0,0,-0.0184862715490231,0,0
X600276.SH,0,0,0,0,0,0,0,0.0208567976838598,0.124435261641705,0,0,0.247593759110394,0,0,0,0.0517275400786043,0,0,0,0,0,0,0,0,0,0,0,0,-0.008988150609492,0,0,0,0,0,0,0.101347450191309,0,0,0,0,0,0,0,0,0,0,0,0,-0.016257847708368,0,0.011031116466482,0,-0.00870758842280376,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21239677532262,-0.0286856899452719,0,0,0,0,0,0,0,0,0.0125474776767945,-0.101684149352612,0,0,0,-0.00754355109403749,0,0.0351035561089338,0.0477596975351443,0,0,0,0,0.00776954296521822,0,0,0,0.113569395521052,0,0,0,0,0,0,-0.00565384508501147,0,0,0,0,0.00896992252290043,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.117907956259428,0,0,0,0.0409484509691247,0,0,0,0,0,0,0,0,0.0162479088134094,0.211748201000012,0,0,0.129474662773154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110950037491195,0,0,0.117899960531039,0,0,0,0,0,0,0,0,-0.0131792902940692,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181782864998776,0.181365758517918,0,0,-0.0237468250017569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526895837514414,0,0,0,0,0,0,0,0.0843924306710847,0,0,0,0,0,0,-0.0102801298742571,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00457545739468386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357901714286697,0,0,0,0.151131324816552,0,0
X002304.SZ,0,0,0.0150674634162975,0,0,0,0.0684710051661146,0,0,0,0,0.239038799738853,0,0,0,0.0453326634418235,0,0,0,0,0.155139544958577,0.0748692458413883,0,0,0,0,0,0,0,0,0,0,0.0827980305628846,0,0,0.0396778747523739,0,0,0,0,-0.058018626354885,0,0,0,0,0,0,0,0,0,0,0,0.00286812390859715,0,0,0,-0.0217826759785566,0,0
X002475.SZ,0,0.126892657071822,0,0,0.154747609157856,0,0,0,0,0,0.150290822358716,0,0.0969118534404469,0,0,0,0,0,0,0,0,0,0.0177501993458877,0,0,0,0,0,0,0,0,0,0.203561008883364,0,0,0,0,0,0.0694960584780283,0.111217281179745,0.0569362589214492,0,0,0,0.0229495580275813,0,0,0,0,0,0,0.00287293608740403,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.123446783448531,0,0,0,0,0,0,0,0,0,0,0,0,0.127945397290505,0,0.201482637041868,0,0.0356948034947364,0.110420904584427,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.00342410396085922,0,0,0,0,0,0.00888726076707123,0,0,0,0,0.00406155728527134,0,0
