,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X300124.SZ,X000063.SZ,X600104.SH,X000725.SZ,X003816.SZ,X600031.SH,X002129.SZ,X002371.SZ,X000596.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000100.SZ,X002241.SZ,X000661.SZ,X002180.SZ,X002236.SZ,X600702.SH,X300142.SZ,X601877.SH,X600584.SH,X600522.SH,X000157.SZ,X600741.SH,X002074.SZ,X000977.SZ,X600460.SH,X000733.SZ,X000066.SZ,X300003.SZ,X600183.SH,X000799.SZ,X002414.SZ,X002007.SZ,X002294.SZ,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0173591561938271,0.115528537093034,0.0819535840167546,0,0.165727987474173,0,0,0.0148680243930538,0,0.0286954598633736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788121579177323,0,0,0,0,0,0,0,0,0,-0.0264305225036812,-0.00326947983327211,0,0.00226563042358663,0,0,0,0,0,0,-0.020189314498656,0.0366991528258545,0,0,0,0,0,0
X000858.SZ,0,0,0,-1.73472347597681e-18,0.0865654440092105,0,0.561046316833275,0,0,0,0,0.0247795472288698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131297659086082,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,-0.000553562169192618,0,0,0,0,0,0,0
X002415.SZ,0,0.048270257844259,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0305370482408924,0,0.103705396570039,0,0,0,0,0.0877802668463303,0,0,0,-0.0337872057362682,0,0.262848946320003,0,0,0,0,-0.179747986654387,0,0,0,0.119277488286706,0,0,0,0,0,0,0,0,0,0,0,0,-0.00772742372220735,0,0,0,0,0,0
X000568.SZ,0,0.369165416767698,0.021356125637795,0,0,0,0.299191735076189,0.307511000765387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321988810936354,0,0,0,-0.0536825426003769,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120746317057943,0,-0.0238749497366479,0.0313413939008278,0,0,0,0,0,0
X600809.SH,0,0.0996725486702685,0.0298002020948482,0.185265479199008,0,0,0.115706059519478,0.131720379442892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156275783378732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170608877400182,0,0,0,0,0,0,0.016936269410415,0,0,0,0,0,0
X600276.SH,0,0.158362145514221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186346104150294,0,0,0,0,0,0,0,0,0.00387183481365625,0.0180192694570784,0,0.0317826252897755,0,0,0,0,0,0,0,0,0.251424556498449,0.0177302574578546,0,0,0.0579885185221618,0,0,0,-0.01877733387397,0,0,0,0,0,0,0
X002304.SZ,0,0.332834378074894,0,0.332048599430447,0.0786926130772422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199612804602663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071543379203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0930425341131498,0,0,0,0,0.0790513856963674,0,0.0435417406219447,0,0,0,0,0.120153594930015,-0.0730181491509657,0,0,0,0.115684029136154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00587112609645712,0,0,0,0.0285086639748738,0,0,0,0,0,0,0,0.00777409413343404,0.00359763742112324,0,0,0,0,0,0
X000651.SZ,0,0.129470095938331,0,0,0,0,0,0.185315577089861,0,0,0,0,0,0,0,0,0,0,0,0,0.0697290227069096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489339273906334,0,0,0,0,0,0,0,0,0,0,0,0,0.00570487046800407,0,0,0,0.00791695614025739,0,0,0,0,0,0,0
X002475.SZ,0,0,0.148102893948573,0,0,0,0,0,0,0,0.113342411933785,0,0,0,0,0,0,0.0629151845000631,0,0.237756694070681,0,0,0,0,0,0,0,0.0506232909251937,0,0,0,0,0,0,0,0,0,0,0.169416956783184,0,0,0,0,0,0,0,0,0.16790247506425,0,0,0.0870646301352611,-0.0125439868750217,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0.0890639906530003,0,0,0,0,0.24877693394505,0,0,0,0,0,0.133504805501079,-0.0272436501993554,0,0,0.1527218203047,0,0,0,0,0,0,0,0,0,0,-0.0464440930479962,0,0,0,0,0,0,0,0,0.0534318734961135,0,0,0,0,0,0,0,0,0,0,0,-0.015990846360296,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732051534019022,0.0169956492028451,0.405692520513567,0,0,0,0,-0.0378581339267236,0,0,0,0,0,0,0,0.0211035520567844,0.140758263326415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0827350914943954,0,0,0,0,0,0,0,0,0,0.0669411652363616,0,0.0202997187434211,0,0,0,0,0.0875279227846711,0,0,0,0,0,0,-5.13421716631736e-05,0,-0.00418711791364457,0,0,0,0,0,0,0,0.166043940884271,0,0.0167739582252438,0,0,0,0,0.0619662795957893,0,0,0,-0.102712617589359,0,0,0.0211106896385989,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0.018950549474408,0,0,0.0619289335727274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122634506304165,0.0848888285311257,0.0879554723040401,0,0,0,0.0633797913529766,0,0,0,0.0734114733100667,0,0,0,0,0.0239559226797368,0,0,0,0,0,0,0,0.00068122409004516,0,0,0,0,0.000624482505588899,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253570285849663,0,0,0,0,-0.00965689024189351,-0.00381016276733741,0,0,0,0,0.014725118751345,0.215007171702574,0,0,0,-0.0220977279779808,0.00169010922583815,0,0,0,0,0,0,0,0,0.074234752440633,0,0,0,0,0,0,0,0,0,0,0,0.00889358046504463,0,0,0,0,0,0,0
X600031.SH,0,0.247716383976162,0,0,0,0,0,0.0917287502081097,0,0,0.12076627353117,0,0,0,0,0,-0.0146516700595642,0,0,0,0,0.0486692503019823,0,0,-0.0316224053708897,0,0,0,0,0,0,0,0,0,0,0,0.323133395933527,0,0,0.0997827815384947,0,0,0,0,0,0,0,0,0,0,0,-0.0398563675834178,0.0378566972833212,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0895638463360414,0,0,0,0,0,0.128145922638783,0,0.137905682089232,0,0,0,0,0,0,0,0,0,0,0,-0.026302330718859,0,0.184387897743303,0,0.149560952179547,0,0,0.0762370835527559,0,0,0,0,0,0,0,0,0,-0.0411797345634869,0,0,0.0371314564576369,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0.0238080683859414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199125172426408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409424079064161,0.080000436704612,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X000596.SZ,0.130368430222798,0,0,0,0.276036968938795,0,0.0559374269953792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013158736193681,0.149272472194237,0,0,0,0,0,0,0,0,0,0,0.0775816713214283,0,0,-0.0323433841380109,0,0,0.101195041429069,0,0,0,0,0,0.00772042148569945,-0.0179122203221586,0.124388004515573,0,0,0,0,0
