,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X002236.SZ,X000100.SZ,X000661.SZ,X600809.SH,X002008.SZ,X300003.SZ,X300124.SZ,X000596.SZ,X600487.SH,X002007.SZ,X002456.SZ,X600776.SH,X600498.SH,X000625.SZ,X000050.SZ,X002179.SZ,X000157.SZ,X002180.SZ,X002371.SZ,X300142.SZ,X000977.SZ,X002241.SZ,X600089.SH,X600372.SH,X600118.SH,X300146.SZ,X600867.SH,X600522.SH,X600177.SH,X002129.SZ,X600066.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896864749276335,0,0,0,0,0.0914867196686891,0,0,0,0,0.036056699127209,0,0,0,0,0,0,0.0435509383031986,0,0,0,0,0,0,0,0,0,0,0,0,0.023539702734124,0,0,0,0.034560523240196,0,0,0,-0.0165393439181406,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.123778321209811,0,0,0,0.0900258108441442,0.0462553741088221,0,-1.73472347597681e-18,0,0,0.00165626536691876,0,0.35481892259369,0.0215961018325662,0,0,0,0.011182825968506,0,0,0,0,0,0,0,0,0,0.0258144288348706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246937431424958,0.0230763142035796,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0849286702398626,0.100617817570715,0,0,0.171279803557315,0,0,0,0,0,0.0975010516748557,0,0.0456335263420553,0,0,0,0,0,0,0,0,0,0,0,0.0125252209876005,0,0,0,0,0,0.0112828523452486,0,0,0,0,0,0,0,0,0,0,0.111075794565935,0,-0.00208786087650326,-0.0211293521294572,0,0,0,-0.10978442531633,0,0
X000858.SZ,0,0.0688538068821703,0,0,0,0.00413169994524942,0.00529242491666419,0,0,0,0,0,0,0.299016711287068,0,0,0,0,0.0518698843371997,0,0,0.0824017221719786,0,0,0,0,0,0,0,0.018272726178612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157606001258626,0,0,0,0,0,0,0
X000651.SZ,0,0.00524986505793097,0,0.334666037127023,0,0,0,0,0,0,0,0,0,0,0.0614565995081682,0,0,0,0,0.0350106337618063,0,0,0,0,0.000183801644006211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641715025317045,0,0,0,-0.00912875972887911,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881232230381734,0.183063567285158,0,0.415321894903801,0,0,0,0,0,0,0,0,0.0978426770064577,0,0,-0.00681462479925326,0,0,0,0,0,0,0,0,0,0,0,-0.0510171782187258,0,0.0527173994208744,0,0.00957468373095572,0.040776694612116,0,0,0,0,0,0
X002304.SZ,0,0,0.0545409918517512,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.133373866637199,0.051855770539063,0,0,0,0,0,0,0,0,0.145718335436394,0.11418422247073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142475644310941,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0658813253439121,0,0,0,0,0,0,0,0,0.0532857848585372,0,0,0,0.0760728452464036,0,0,0,0,0.0639427198076175,-2.71050543121376e-20,0,0.0820819533192906,0.120011489323884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347348544627478,0.0129889791592629,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379969103298677,0,0,0.00288716082796324,0,0,0,0,0,0,0,0.392017011725272,0,0.100292528574336,0.00913910268815159,0.231981883525765,0.0888797126551215,0,0,0,0,0,0,0.104425252946807,0,0,0,0,0.00961926128721561,0,0,0,0,0,0,0,-0.0117217076704911,0,0,0,0,0,0,0
X600690.SH,0,0,0.19342141845699,0.11420325729726,0.152415102068174,0,0,0,0,0,0,0,0.113576485934594,0,0,0,0,0.0197293605762017,0.0108310920270226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385173892416947,0,0,0,0,0.168429350898169,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307550036494239,-0.00498985856794256,0,0,0,0,0,0
