,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X000063.SZ,X300124.SZ,X600104.SH,X000725.SZ,X000625.SZ,X003816.SZ,X002371.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X002236.SZ,X000977.SZ,X002241.SZ,X600741.SH,X000157.SZ,X601877.SH,X600584.SH,X000661.SZ,X600522.SH,X002180.SZ,X600702.SH,X002074.SZ,X000733.SZ,X300142.SZ,X600460.SH,X601799.SH,X002463.SZ,X000800.SZ,X002007.SZ,X000066.SZ,X002028.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.308001734935341,0.147991930280119,0,0.00670875191043317,0.0775357303661207,0,0,0,0.0268486052288912,-0.0687627868144563,0,0,0,0,0,0,0,0,0.0470927591560427,0,0,0,-0.00903196852062191,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.0220729746790242,0,0,0,0,0,0,0.0108454752821589,0.0189178119536116,0,0,0,0,0,0
X000858.SZ,0,0,0.49225632862663,0,0,0,0,0.0187812668962427,0.184141598469491,0,0,0,0,0,0.0203132425191205,0,0,0.0272197604739099,0,0,0,0.0406350464099727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924015094132534,0,0,0,0,0,0,0,0,0,0,0,0,-0.00245153870186464,0,0,0,0,0,0,0
X000568.SZ,0.0551983249501533,0.472289245425072,0,0,0,0,0,0,0,0,0,0,0,0,-0.0297693763010845,0,0.064254981179027,0,0.0451492723699979,0,0,0,0,-0.0284426080346544,0,0,0,0,-0.0405755258267727,0.0113869780389019,0,0,0,0,0,0,0,0,0.262530079558236,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,-0.0356675912463295,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158791137601719,0,0.0752267823432462,0,0,0,0,0,0,0,0,0.30982990271249,-0.00287128571258695,0,0,0,0,0,0,0,0.149181394697369,0,0,0,0,0,0,-0.0428426623945196,0,0,0,0,0,0,-3.3881317890172e-21,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,-0.0115468523393188,0,0,0.139144917059698,0,0,0,0,0,0,0,0,0,0.0904648062033613,0,0,0,0,0,0,0,0,0,0.00599461127086218,0,0,0,0,0,0,0,-0.0927178633762371,0.0108506300052199,0,0,0,0,0,0.0404644311980559,0,0,0,0,0,0,2.16840434497101e-19,0.0688256026354531,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217119885316265,0,0,-0.170297018983057,0,0,0,0,0,0.0696947958298056,0,0,0,0,0,0,0.247976253916441,-0.0219105477483838,0,0,0,0,0,0,-0.149196361770252,0,0,0,0.154991600228199,0.0576786183081341,0,0,-0.058143534193858,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.109311756043873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315422487219681,0,0.115308734118662,0,0.424558875369023,0,0,0,0.136069464903607,0,0,0,0.0262331939367389,0,0,0,0,0,0.008719777564141,0,0,0,0,0,0,-0.0201633399796718,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,-0.000356155854199681,0.0925748493856744,-0.0332230270673442,0,0,0.167532655180062,0,0,0,0,0,0,0,0.0746514784397633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548726311635371,0,0,-0.0216191899199777,0,0,0,0,0,0,0.00614309337853326,0,0,0,0,0,0,0
X002304.SZ,0,0.150297620280911,0.331665342477323,0,0.0182313687821973,0,0,0,0,0.091565228134219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147453835532093,0,0,0,0,0,0,0,0,0,0.0391548976764141,0,0,0,0,0,0,0,0,0,0,0,0,0.0242295249608366,0,0,0,0,0,0,0
X000651.SZ,0,0,0.0756725460016442,0,0,0,0,0.438408433165693,0.119753463963046,0,0.049915857288063,0,0,0,0.0382754937163131,0,0,0,0,0,0.0973617768499819,-0.0901766426283299,0,0,0,0,0,0,-0.0450358994202506,-0.0481954506654115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122268673519539,0,0,0,0,0,0,0.0489407866854499,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.114386969187164,0,0,0,0,0.0775975778542995,0,0.0400467113982072,0,0,0,0,0,0,1.38777878078145e-17,0,0.228504400967573,0,0,0,0,0,0,0,0.105468663709287,0.207650748612327,0,0,0,0,0.0222554676654653,0,0,0,0,0,0,0,0,0,0.0795086007824052,-0.239564359912774,0,0.28934198656277,0,0,0,0.0461214028342892,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0.0133973629060685,0,0,0.0225001002660449,0.0413528004852231,0,0,0,0.188356751521902,0,0.0651952050775109,0,0,0,0,0,0,-0.0541891559036014,0,0,0,0.0844056184247297,0.117922176584199,-0.0152757217291828,0,0,0,-0.186945564957249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113498834464372,-0.0370237803238026,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0193470030265453,0,0,0,0,0.111019983885661,0,-0.0130780682909939,0.14828508937077,0,0,0,0,0,0,0,0.0379632157487322,0,0,0.0058107451979979,-0.0163787276028614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107074068985288,0.00784010314726893,0,0,0.00988768146025558,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.030425463884148,0,0,0,0,0,0,0,0,0,0,0,0,0.0747815526541968,0,-0.117012191441287,0,0,0,0,0.245083780366421,0,0,0.0655024750394107,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0239241778737556,0.0555544919898326,0,0,0,0,0,0.151733175524247,0.00591647263550772,0,0,0,0,0,0,0
