,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002304.SZ,X600031.SH,X000725.SZ,X000661.SZ,X000568.SZ,X003816.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X002241.SZ,X002007.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002371.SZ,X300142.SZ,X600741.SH,X600183.SH,X300003.SZ,X300124.SZ,X002129.SZ,X002236.SZ,X601877.SH,X000157.SZ,X600584.SH,X000625.SZ,X002049.SZ,X000977.SZ,X300136.SZ,X000800.SZ,X002456.SZ,X002414.SZ,X002179.SZ,X002463.SZ,X000066.SZ,X002185.SZ,X002008.SZ,X600118.SH,X002223.SZ,X600522.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0380171947147551,0.132222761162415,0,0,0,0,0,0.116176936561194,0,0,0,0.0304724724480502,0,0,0,0,0,0.0439782459101511,0,0.193083720408301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00687514318834508,0.00732156976668198,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0432917295985987,0,0,0,0.262221011771082,0,0.188222658147075,0,0,0,0.0503642380657016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.00172598262568625,0,0,0,0,0,0
X600276.SH,0,0.0823353508347666,0,0,0,0,0,0,0,0,0,0.394794466774772,0,0,0.0416705076744675,0,0,0,0,0,0,0,0,0,0.122671838225168,0,0.215914476601705,0,0,0,0,0,0,0,0,0.0189411719809047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111544333663761,0.00171478798840789,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115090485017979,0.308679534929084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242838450188359,0.0746564813595203,0,0,0,0,0,0,0.11997510154557,0,0,0,0,0,0,-0.0138433337372041,-0.00290761702140911,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.071257979142222,0,0.0665660732731709,0,0,0.0647005793776546,0,0,0.227051416767898,0,0,0,0,0,0.00807691113880689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246496299461286,0,0,0,0,0,0,0,0,0,0,0,0.0257754129031085,0,0,0.00282871180329807,0.00411447911125438,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0593061432438697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00422448695552963,0,0,0,0,0,0,0,0,0,0,0,0.151270274513218,0,0,0,0,0.169078511908024,0.0796859367768294,0,0,0,0,0,0,0,0,0,0,0,0,0.213565335496296,-1.73472347597681e-18,0.00557166411052823,-0.0154850927940431,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078483745457701,0,0.0875880538515485,0,0,0,0,8.67361737988404e-19,0,0.368509106096463,-2.16840434497101e-19,0,0,0,0,0.0609524458017544,0,0,0.0661194277631549,-0.0230353850596467,0,0,0,0,0,-0.0548571367584088,0.0020771739810045,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834193264273164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244256053668452,0,0,0,0,0.0299814501155638,0,0.0937261550457301,0,0.00953230174240956,0.0818784331552511,0.180939659436258,-0.0328091749507742,0.0173764033290109,-0.0384738672254477,0,0,0,0,0,0
X002304.SZ,0,0.237266671803591,0,0,0,0,0,0,0,0,0,0,0.0553409497363108,0,0,0,0.18576780048129,0,0,0,0,0,0,0,0.0797912855638064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00529791701510541,0,0,0,0,0,0
X600031.SH,0,0,0,0,0.146884790593883,0,0,0,0.0647650811064293,0,0,0,0,0,0,0,0.00401838009505533,0,0,0,0.100422593874153,0,0.11376926812152,0,0,0,0,0.0661397185265272,0,0,0,0,0.216388473398059,-0.102611783721413,0,0.0484647774480908,0,0,0,0,0,0,0,0,0,0.157119997910242,0,0,0,0,0,-0.0110571796712007,0.000756046682330741,0,0,0,0,0,0
