,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X002304.SZ,X600031.SH,X003816.SZ,X000661.SZ,X000725.SZ,X000568.SZ,X600809.SH,X000338.SZ,X600690.SH,X600703.SH,X002371.SZ,X000596.SZ,X002007.SZ,X002241.SZ,X000100.SZ,X300142.SZ,X300003.SZ,X600183.SH,X300014.SZ,X600741.SH,X300124.SZ,X000977.SZ,X601877.SH,X000157.SZ,X002129.SZ,X000625.SZ,X600584.SH,X000800.SZ,X002236.SZ,X002049.SZ,X002414.SZ,X000066.SZ,X002463.SZ,X002456.SZ,X002179.SZ,X300136.SZ,X600118.SH,X600522.SH,X002185.SZ,X600498.SH,X000021.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.35895285154196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102376590601433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390419649308492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367381164793429,0,0,0,1.43443194359299e-05,-0.0178406654470613,0,0,0,0,0,0
X000858.SZ,0.239782125394065,0,0.0155092830320223,0,0,0.0166742059350274,0,0,0,0,0,0,0,0.243016177684556,0.385837393607419,0,0,0,0,0,0,0.107891534189097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0874375151893905,0.00737419099968827,0,0.000588275169973657,0.00504266727684412,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153564138788225,0,0,0,0,0,0,0,0,0,0.111509750850623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515309348576914,0,0,0,0,0,0,0,0,0,0.117785841627098,0,-0.00440440171544069,0.0122049162688109,0,0,0,0,0,0
X000651.SZ,0,0.0716857813657855,0,0,0,0.0364775262107618,0.0596294335543488,0,0,0,0,0,0,0,0,0,0.175501409834698,0,0,0.0271615507122221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524910282742477,0,0,0,0,0,0,0,0,0,0,0,0.0522963808270436,0.027906622938056,0.0106457873641665,0.0111924330816143,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0601648246212579,0,0,0,0,0,0,0,0,0,0,0,0.000884080709890509,0.0385326900495321,0,0,0,0,0,0,0,0.196048388688002,0.0151016439723923,0,0,0,0,0,0,0.0216028967357905,0,0,0,0,0,0,0,0,0,0,0,0,0.110119049217671,0,0,0,0.0238580207439133,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147644380356572,0.0804994205487629,0,0,0.116665607554611,0.0725119802148941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113527787155692,0,0,0,0,0,0,0.013881941890477,0,0,0.0202112758800901,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.00174727618089541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134940157584125,0,0,0,0,0.116890908768747,0,3.46944695195361e-18,0.316671517835381,0,0.104682637833502,0,0,0,0.0870489195599641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144766000852804,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824588761387535,0,0,0,0.004234810727244,0.0394607128441483,0,0,0,0,0,0,0.0679999304596956,0,0,0,0,0.112366543934039,0,0,0,0,0.0279155027545813,0,0,0,0.29374431215407,0,0,0,0.0314122400887026,0,0,0,0,0,0,0
X002304.SZ,0,0.113905125903357,0,0,0,0,0,0,0,0,0,0,0,0.0524537631218127,0,0.221773270625726,0,0,0,0,0,0,0,0.0241969284263017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.00735905401475974,0,0,0,0,0,0,0.00307601454692377,0,0,0,0,0,0,0
X600031.SH,0,0.0734963263443103,0,0.042016164002425,0,0.0480081602628664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508253003095264,0,0,0,0,0,0.0698881194789968,0,0.0790002287190956,0,0,0,0.265813413534555,0,0,0,0,0,0,0,0,0.0386443743219736,0,0,0,0,0,0,0,0,0,0,0.00704769253584392,0.0465064544200369,0,0,0,0,0,0
