,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000568.SZ,X600031.SH,X000725.SZ,X000661.SZ,X000063.SZ,X600809.SH,X003816.SZ,X600690.SH,X002241.SZ,X000596.SZ,X000338.SZ,X600703.SH,X000100.SZ,X002007.SZ,X300014.SZ,X300124.SZ,X300142.SZ,X002371.SZ,X600741.SH,X002049.SZ,X601877.SH,X000800.SZ,X300003.SZ,X002236.SZ,X000157.SZ,X002129.SZ,X002414.SZ,X600584.SH,X300136.SZ,X000625.SZ,X600183.SH,X002179.SZ,X000066.SZ,X000977.SZ,X601799.SH,X002456.SZ,X002294.SZ,X600118.SH,X002185.SZ,X000050.SZ,X300146.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0977331467493139,0,0,0,0,0,0,0.217995681169237,0,0,0,0,6.93889390390723e-18,0,0,0.00410975990258246,0.0658287042659638,0,0,0,0,0,0,0,0,0,0.068731750270988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110565709327006,0,0,0,0,0,0,0,0.000351051514001227,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0768139585311893,0,0,0,0,0.181971222259806,0,0,0,0,0.324906147767484,0,0,0,0.120901207654542,0,0,0,0,-0.0085855664167144,0,0,0.0438451981934061,0,0,0,0,0,0,0,0,0,0,0.037103823378839,0,0,0,0,0,0,0.00542786780291837,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.105964540674177,0.0660364911079224,0,0,0.178123885133286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302987906277671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123568924424031,0,0,0,0,0,0,-0.0236642425182524,0.00859213664168656,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342901501375843,0,0,0,0.0669063572253294,0.0102352853176076,0,0,0,0,0,0,0,0,0,0,0,0.0945076018278653,0,0,0,0,0,0,0,0,0,0,0.0413565946587155,0.0224148374364137,0.18254406178848,0,0,0,0,0,-0.0112139170641111,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107331883524079,0,0,0,0,0,0,0,0,0,0,0,0.0720842944755616,0,0,0,0.159628339899201,0,8.67361737988404e-19,0,0,0.0244340126815607,0,0,0,0,0,0,0,0,0,0,0,0.0982536550609611,0,0,0,-0.00341285251147586,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0363229001518678,0,0,0,0.109529773604765,0,0,0,0,0,0,0.102664438549975,0,0,0.00243123239182494,0,0.1037411600156,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0.00802064994281091,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.097743805213445,0,0,0,0,0,0,0,-0.0295179172203405,-0.00888028184634124,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0608778367149355,0,0,0,0.0348079337845064,0,0,0.112404042114915,0,0,0,0,0,0,0,0,0,0,0.0839453292522268,0,0.0720483969448874,0,0,0,0,0,0.0127179690990253,0.0402433567914556,0,0,0,0,0.134538588297532,0,0,0.0533956994684548,0,0,0,0,-0.0287000153441277,0,0,0,0,0,0,0
X002304.SZ,0,0.238181543494737,0,0,0,0,0,0,0.410145257566894,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0196869763134167,0.0148437981066386,0,0,0,0,0,0.0372801559839067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117819347062882,0,0,0,0,0,0,0
X000568.SZ,0,0.445271841543794,0,0,0,0,0,0.170172495555724,0,0,0,0,0,0.0985649437258902,0,0,0,0.0215860042595222,0,0,0,0,0,0,0.0527052935085492,0.00142025835543992,0,0,0,0,0,0,0,0,0,0.0629821461315596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00834032053936583,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.0542289690832569,0,0,0,0,0,0,0,0,0,0.040953132117038,0.420228658035148,0,0,0,0,0,0,0,0,0.0686916818790596,0,0,0,0,0.187324788087231,0,0,0,0.0489688471992663,0.0148022226344932,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0410320155318039,-0.0125954276210469,0,0,0,0,0,0
