,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X300014.SZ,X002371.SZ,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X002241.SZ,X600703.SH,X000063.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X000625.SZ,X000338.SZ,X002049.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X600460.SH,X000100.SZ,X600089.SH,X600741.SH,X002074.SZ,X002236.SZ,X000799.SZ,X600779.SH,X600702.SH,X000733.SZ,X600884.SH,X601799.SH,X000157.SZ,X002414.SZ,X600183.SH,X600522.SH,X600584.SH,X002007.SZ,X600563.SH,X000800.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.426832951216002,0,0.0330991445368751,0,0.0642208197959779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131568826605173,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0448078624431547,0,0,0,0,0,0,0,0,0,0.0362942096254158,0,0,0,0.00495543972851048,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.459557468508792,0,0.0903464404720616,0,0,0,0,0.0411633045612859,0,0,0,0,0,0,0,0,0,0,0.0447737116965361,0,0,0,0.169944256618521,0,0,0,0,0,0,0,0,0,0.0444183616150275,-8.67361737988404e-19,0.00713479350147666,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00536476501831081,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.101490967238855,0.15434331082135,0,0,0,0,0,0,0,0,0,0,0,-0.016912160038529,0,0.00175955382957347,0,0,0,0,0,0.0968440191094961,0,0,0,0,0,0,0,0,0,0,0.0278375887632218,0,0,0.0578056121184341,0,0,0,0,0.00861665459812319,0,0,0,0.0132943896173752,0,0,0,0,0.0355862117864418,0,0
X600809.SH,0,0.140126655722362,0,0,0.0154236109849327,0,0,0,0,0,0,0,0,0,0,0,-0.00377293318947415,0,0,0,0,0,0,0,-0.0118829823911628,0.0655342597261671,0,0,0,0.0391450381431899,-0.0285445821016492,0,0,0,0,0.546978569456717,0,0.0293365669702147,0,0,0.136689401496531,0,0,0,-0.075753674017745,0,0,0,0,0,0,-0.0425624563207661,-6.93889390390723e-18,0,0,0,0.0349240415098507,0,0
X600276.SH,0,0,0,0,0,0,0,0.199067637106319,0.0337575782514946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220589423966331,0,-0.247049375590765,0,0,0,0,0,0,0,0.312668369042359,0,0,0,-0.169812161032283,0,0,0,0,0.0925963263846973,0,0,0,0,0,0,0.0115203583695787,0.00793679202901193,0,0,0,0.0316163423423746,0,0
X000568.SZ,0,0.28383045713659,0,0.168891883343677,0,0,0,0.0170070578851967,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108072201561898,0,0,-0.0119939464737946,0,0,0,0,0,0,0,0,0,0,0.138283697706117,0.0705210573759738,0,0,-0.0664432969586476,0,0,0,0,0,0,0,0,0,0,0,0.0477066455521482,0,0,0,0,0,0,0
X002475.SZ,0,0.0602704637365671,0,0,0,0,0,0,0,0,0,0.0438543288452792,0,0,0,0.0450848924475724,0.0196096426679361,0.173766793002839,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104743345086341,0,0,0,0,0.0524248262023836,0,-0.0883139833513451,0,0,0,0,0,0.0844307546501366,0,0.0700098025089749,0,0,0,0,0,0,0,0,0,0.102165377875889,0,0
X002304.SZ,0,0.1242015336676,0,0.223954301893543,0,0,0,0,0.161849324643414,0,0,0,0,0,0,0,0,0,0,0,-0.129022483047163,0.0487262590546663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135115804433449,0.0659277443956314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253141319949023,0,0,0,0,-0.046671359634042,0,0
X600690.SH,0,0.0652960326816277,0.085194052605586,0,0,0,0,0.00712436687302286,0,0,0,0,0.0925850480979875,0,0,0,0,0,0,0,-0.0321127112385832,0,0,0,0,0,0,0,2.16840434497101e-19,-0.0285153540372432,0.254635611081955,0.0539154143176385,0,-0.00291662398654124,0,0,0.0331842858908267,0,0,0,0,0,0,0,0,0,0,0.0387789147085604,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,-0.0306852287632821,0,0,0,0,0,0.0261636036956546,0,0,0,0,0,0.137684324447697,0,0,0.0286059233338499,0,0,0.0725711822770001,0.0370102096487825,0,-0.00669673976842862,0,0,-0.0355514454315395,0.0426636897211783,0,0,0,0,0,0.108899325528865,0,0,0,0,0.0551859293584757,0,0,0,0.000838043880173053,0,0,-0.0735778245627881,0.040299783867459,0,0,0.0232706684197134,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112165908886567,0,0,0,0,0,0,0,0,0,0.132259661603571,0.107120059703877,0,0,0,0,0.074477010000133,0,0.137195873846576,0,0,0.0745205399360471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940352647789505,0,0,0,0.168195928565032,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211264598877621,0,0,0.382997043364985,0,-0.1019065949111,0,0,0.213919343045728,0,0,-0.199548249989522,0,0,0,0.121993857201851,0,-0.246191245240729,0.334898376530297,0,0,0,0,-0.0943539367322762,0,0,0.191503768547027,0,0.15650337953695,0,-0.0337179076012128,0,0,0,0,0.0829239995274637,0,0
