,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X600104.SH,X600031.SH,X000725.SZ,X300014.SZ,X000596.SZ,X002129.SZ,X000063.SZ,X003816.SZ,X000625.SZ,X002371.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002180.SZ,X002241.SZ,X600702.SH,X601877.SH,X300142.SZ,X600741.SH,X000157.SZ,X000977.SZ,X000733.SZ,X600522.SH,X002074.SZ,X000799.SZ,X600584.SH,X600460.SH,X300003.SZ,X601799.SH,X000066.SZ,X600779.SH,X600884.SH,X002007.SZ,X002236.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.216267847911312,0,0.277625898194684,0,0.013403463062704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544606587192422,0,0,0,0,0,0,0,0,0,0,0,0.00642519730621063,0,0,0,0,0,0,0
X000858.SZ,0,0,0.101613481729057,0.0622274483080998,0.229006333236791,0,0.479230926592216,0,0,0.0954946534525868,0,0,0.035721089273677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260366551066185,0,0,0,0,0,0,0,0,0,0.00922942519184081,0,-0.0408184493355035,0.0181206758349171,0,0,0,0,0,0
X000568.SZ,0,0.428959609772324,0,0,0,0,0.249377016660168,0.29006194032936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172003148561005,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.0457088321213199,0,0,0,0,0,0,0,0.0929981483591818,-0.0998719864050895,0,0,0,0.0159153074379215,-4.33680868994202e-19,0,0,0,0,0,0,0
X002415.SZ,0,0.0695658440497852,0,0,0,0.177059291437662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143370152776115,0,0,0.0216776127225001,0,0,0,0,0,0,0,0,0,0,0,0.0437423592721506,0,0,0,0,0,0,0,0,0,0,0,0.0120882327001136,0,0,0,0,-0.0158145184274669,0,0,0,0,0,0
X600809.SH,0,0,0.125551708795359,0.0850512824951113,0,0,0.20857506732036,0.0507836937573223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0470826396147495,0,0.178312317302896,0,0,0,0,0,0.130483951387381,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0,0.108363487692891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.088709518154507,0,0,0,0,0,0,0,0,0.0943865714900042,0,0,0,0,0,0.0618067010973364,0.137984614678827,0,0.0820067864584092,0.0424857199519955,0,0,0,0,0,0,0.00602002395414473,0.061891602747149,0,0,0,0,0,0,-0.00943091086478189,1.73472347597681e-18,0,0,0,0,0,0
X002304.SZ,0,0.356069760508946,0.286297398770371,0,0,0,0,0,0,0,0,0,0,0,0,0.205559263516826,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235280584176427,0,0,0,0,0,0.0328272531220613,0,-0.00777750806187398,0,0,0,0,0,0,-0.0646136284799969,0,0,0,0,0,0,-0.00371981989562199,0,0,0,0,0,0,0
X600690.SH,0,-8.67361737988404e-19,0.0992499540092141,0.0324382248508976,0,0,0,0,0,0,0,0,0.216988269060589,0,0,0.0190488233389566,0,0.0202838036648229,0,0.00776619567655306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100041779787631,0,0,0,0.0143737876349816,0,0.0611609831556518,0,0,0,0.0222224047989353,0,0,0.00359520548161432,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0401187153050063,0,0,0,0.0853698519225142,0,0,0,0,0,0.202887017122056,0,0,0,0,0,0,0,0,0.0884917758922699,0,0.0394954406886452,0,0,0,0,0,0.109161336761469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189577262444479,0,0,0,0,0,0
X000651.SZ,0,0.168266088921155,0.116341307697075,0,0,0,0,0.0649243555342637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281614242743288,0,0,-0.0252150737340351,0,0,0,0,0,0,0,-0.00105799813439845,0,0,0,0,0,0,0,0,0.00626645663793925,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.118714255689381,0,0,0,0,0,0.0663347953837033,0,0,0,0,0,-0.0382226506384643,0,0,0,0,0,0,-0.0126292258604926,0.16792984103285,0.0900338136609689,0.050831345446795,0,-0.0340041666079932,0,0,0,0,0.0167304151684592,0,0,0,0,-0.0737246826744465,0,0,0,0,0.325715776292592,0,0,0.00152330874144626,-0.0234044344109022,0,0,0,0,0,0,0
X600104.SH,0,0,0.0296546638261637,0,0,0,0,0.141787604307305,0,0,0,0,0.0390052846680239,0.167918642445666,0,0,0,0,0,0.0773739459169663,-0.0944646012710781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395861998270617,0,0,0.031878753036554,0,0,0,0,-0.015968021834112,0,-0.0292489339550014,0.0278983642589212,0,0,0.0469069056588057,0,0,0.0193403488708314,-0.00362606629989635,0,0,0,0,0,0
X600031.SH,0,0.019084647403232,0,0,0.125108993378329,0,0.134228281450201,0.0756939026997259,0,0,0,0,0,0,0,0,0,0,0,0.0379985736082018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168618684766468,0.0371167135090477,0,0,0,0,0,0,0,0,0,0.0417588433778411,0,0.0963398516953403,0,0,0,0,0,0,0,0,0,0,0
