,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X002415.SZ,X000651.SZ,X600809.SH,X003816.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X600031.SH,X002304.SZ,X000063.SZ,X000625.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X002179.SZ,X000100.SZ,X002241.SZ,X002463.SZ,X600089.SH,X000157.SZ,X600584.SH,X600372.SH,X600703.SH,X000977.SZ,X600066.SH,X002028.SZ,X002236.SZ,X600741.SH,X600418.SH,X002049.SZ,X600522.SH,X600183.SH,X000921.SZ,X601877.SH,X000661.SZ,X002180.SZ,X000800.SZ,X601799.SH,X002129.SZ,X600487.SH,X002074.SZ,X002294.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.101660830759922,0,0,0,0,0,0.117626556676615,0,0.16981183093751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14424124415358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00644596565646588,-0.0878176085227254,0,0,0,0,0,0
X000858.SZ,0.326717700633657,0,0.0750545086758191,0,0,0,0,0.269573829689632,0,0.11542291942849,0,0,0,0,0,0,0,0,0,0.0409844960811919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351881937577492,0,0,0,0,0,0,0,0,0,0.0713645722991915,0,0,0.0111471372192663,0.0188413388969052,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0087849237381651,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0795193345277746,0,0.124390615640565,0,0,0,0,0,0,0.301278122460668,-0.008374391746172,0,0,0.0643163573228435,0,0.04630626099127,0.313003059458573,0.166817679305291,0,-0.0178362237166543,0,0,0,0,0.00619094466250877,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.03256391304998,0,0,0,-0.0500513911824509,0,0,0,0,0,0,0,0,0,0,0,0.367693353362814,0.118166368284851,0,0,0.225984171819396,0,0,0,0.0150649631104664,0,0,0,0.0263484443402507,0,0.0801676305564553,0,0,0,0,0,0,0,0,0.0223207319286242,0,0,0,0,-0.0340986691257807,8.67361737988404e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.421392549245409,0,0,0,0,0,0.114021777326566,0,0,0,0,0,0.118510455827185,0,0.00981499262371933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660169778204461,0,0,0,0.183704583892049,0.0250160667475396,0,0,0,0,0,0,0,0,0.0310758679968284,0,-0.00215504339942961,0,0,0,0,0.0145230408184024,0,0
X002415.SZ,0,0,0,0,0.165436984577269,0,0,0,0,0,0,0,0,0,0.0326760925792712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388633565499606,0.256596674547761,0,0,0,0,0,0,0,0.0361986242654079,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.221991724500111,0,0,0,0,0.0429875595474439,0,0,0,0,0,0,0,0,0,0,0,-0.0284504568278989,0,0,0.00811084920557121,0,0,0,0,0,0,0.0115711781325823,0.0784668682641667,0,0,0,0,0,-0.016051899896498,0.0810071108974402,0,0,0,0,0,0,-0.0375291188057285,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.0623138112387184,0.569270211485013,0,0,0,0,0,0,0,0,0,0.327078119407186,0,0,0,0,0,0,0,-0.0637523359881645,0,0,0,0,0,0,-0.0417652247822021,0.0693524761058727,0,0,0,0,0,0,0,0,0.0135833893408526,-0.00629066370462848,-0.0227105197176282,0,0,0,0,-0.00349185786289665,0,0.0133787294380829,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0318550442408592,-0.250916192126252,0,0,-0.107733965060043,0,0,0,-0.0911323738461913,0,0,0,0,-0.193659275965138,-0.0784642334319587,0,-0.0929786149444542,0,0,0.176936295984925,-3.46944695195361e-18,0,0.107506577145314,0,0,-0.0234882036287593,0,0
X000568.SZ,0.0941684530156709,0.375703613382587,0,0,0,0,0,0.428346260981816,0,0,0,0,0,0,0,0,0,0,0,0.0161233548144294,0,0,0,0,0,0,0,0.102691519638221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105453377608369,0,-0.0211299790779482,0,0,0,0,0
X002371.SZ,0,0,0,0.0129556250198856,0,0,0,0.123737350983476,0,0,0,0,0,0.0890566823530744,0,0,0,0,0,0,0,0,0,0,0.0310031532686688,0,0,0.264679061255249,0,0,0.0499404022681447,0.0833267461451798,0,0,0,0,0,0.159567622481904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526315360786169,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.272839874155545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307638423420104,0,0,0,0,0,0,0,0,0,0,0.00892070588637291,0,0.105626119016998,0,0.0564793807788873,0,0,0.0481488751100439,0,0,1.0842021724855e-19,0,0,0,0,0,0,0.01044188680522,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401520773335518,0,0,0.561160768083587,0,0.0183159610074232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127611895208502,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,-0.0688356709770831,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.00298870857625266,0.314279705268954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104650468774069,0.227817577527569,0,0,0,0,0.240919669080532,0,0,0,0,-0.155518254680118,0,-0.0959904628263757,0,0,0,0,0
X600031.SH,0,0,0,0,0.188809011748504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248406298035473,0,0.139362166136693,0,0,0,0.0815216968335026,0,0,0,0,0,0,0,0.0326614581800825,0,0,0,0,0,0,0.0631379477009767,0,0,0,0,0,0,-0.0124984473351387,0,0,0.00933358230299735,0,0,-0.049753551383588,0,0,0,0.0811417652342911,0,0
X002304.SZ,0,0,0,0,0,0,0,0.113665796137973,0,0.279683435431108,0,0,0,0,0,0,0,0,0.0229220536444277,0,0,0,0,0,0,0,0,0.0928957262281052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938689412118046,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512393342973053,0.0655138515255088,0,0,0,0,0.00288498614809518,0,0,0,0.0528709955749136,0,0,0,0.092042659276434,0,0,0.105321724685055,0,0,0.0991751006433853,0,0,0.0185078052927117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402518649279971,0,0,0,0,0,0
