,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X600703.SH,X000568.SZ,X000338.SZ,X300003.SZ,X600741.SH,X601877.SH,X600271.SH,X002236.SZ,X300124.SZ,X002007.SZ,X002008.SZ,X000100.SZ,X600487.SH,X600498.SH,X002456.SZ,X000661.SZ,X600566.SH,X000625.SZ,X002179.SZ,X300142.SZ,X600867.SH,X300146.SZ,X600809.SH,X000157.SZ,X000596.SZ,X600177.SH,X002180.SZ,X600372.SH,X600089.SH,X002294.SZ,X300136.SZ,X600066.SH,X002506.SZ,X000977.SZ,X002241.SZ,X600522.SH,X000050.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.690723873524268,0.0594242309318702,0,0,0,0,0,0,0,0,0,0,0,0,-0.0432799993035964,0,0,0,0,0.0632992568603834,0,0,0.00515112412080155,0,0,0,0,0,-0.0422321995955308,0,0,0.174472451895526,0,-0.00593410477052222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00614007057559291,0,0
X600104.SH,0,0,0,0,0,0.000857543755083718,0,0,0,0,0,0,0,0,0,0.0996813697902422,0.372015234682585,0,0,0,0.249155396152196,0,0,0,0,0.0813393024378868,0,0,0,0,0,0,-0.0115206528362336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483105516753881,-7.12825091819433e-06,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.050336543158198,0,0,0,0,0,0,0,0,0,0.670202586544033,0,0,0.0684028205534019,0,0,0.0784068985978291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013328929714005,0,0,0,0,0,0,0
X600276.SH,0,0,0.13697712676958,0,0,0,0,0,0,0.0425992329990417,0,0,0,0,0,0.448323815134449,0,0,0,0,0,0,0.00576234066480463,0,0,0,0,0,0,0,0,0,0.00203036728609881,0,0,0,0,0,0.0858896576005104,0,0,0,0,0,0,0,0,0,0.0852171749196963,0,0,0,0.0387142434901215,0,0,0,0,0,0
X000651.SZ,0.106524301952524,0,0,0.0367247399459107,0,0.261460252636004,0,0,0,0,0,0,0,0.112956619064725,0,0.06035775296158,0,0,0,0,0,0,0,0,0,0.0272398482677599,0,0,0,0,0,0.0256436621656249,0.0730901262037801,0,0,0,0,0,0.00898040710081987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.147155955290298,0,0,0,0,0,0.159101010216614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387856151230627,0,0.118089981650508,0,0,0,0,0,0,0.0380365381579181,0,0,0,0,0,0,0,0.0116547175557818,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364863779356061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260016129772521,0.0672449452964734,0.308353693833983,0,0.320856674344769,0,-0.0605055959336103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290676886833737,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101550210556395,0,0,0,0,0.0670583024669585,0.198625425392651,0,0.135139208377851,0,0,0.307870078262217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158739946794256,-0.0284815745840731,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.348061228713757,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360782641863835,0,0,0,0,0,0,0,0,0,0,0.101845312831024,0,0.243309098959125,0,0,0,0,0,-0.02885120264153,0,0,0,0,0,0,0
X000063.SZ,0,0,0.13058953784484,0,0,0,0,0,0,0,0.212330042004863,0,0,0,0,0,0,0,0,0.0438071940035286,0,0,0,0,0.22862754481259,0.263088838048824,0.132945136371864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0237359173184654,-0.0439254245760124,0,0,0,0,0,0
