,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002241.SZ,X002236.SZ,X000568.SZ,X000100.SZ,X600031.SH,X600271.SH,X002475.SZ,X600118.SH,X002292.SZ,X000157.SZ,X600177.SH,X002456.SZ,X000338.SZ,X002180.SZ,X002007.SZ,X000559.SZ,X600372.SH,X300003.SZ,X600867.SH,X002085.SZ,X601877.SH,X002506.SZ,X600498.SH,X300124.SZ,X002426.SZ,X002508.SZ,X002294.SZ,X002074.SZ,X600522.SH,X600089.SH,X000977.SZ,X000050.SZ,X600418.SH,X600487.SH,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0476295657090984,0.092297932735367,0,0,0,0.318159958607379,0,0,0.108738936601342,0,0,0,0,0,0,0,0,0,0,0,0,-0.00391599076493771,0,0,0,0,0,0.141584657024722,0,0,0,0,0,0,0,0,0,0,0,0,0.0406386471480499,0,0,0,0,0,0,0,0,0.126447063166165,0,0,0,0,0,0,0
X600104.SH,0.0913655214164369,0,0.00280874555667505,0,0,0,0,0,0.422196941212624,0,0,0.0282383190276791,0,0,0.0429403187121717,0,0,0,0,0,-0.0331935071730629,0,0,0,0.147302942997272,-0.0964374294604804,0,0.0295876573578869,0,0,0,0,0,0,0,0,0.126303154123536,0,0,0,0,0,0,0,0.00170607610905746,0,0,-0.0657512777855002,0.0437952143217709,0,0,-0.0667445889776035,0,0,0,0,0,0
X002415.SZ,0,0,0,-0.0347788713259861,0,0,0,0,0,0,0,0,0,0,0.0105836022330793,0,0.0460973189190998,0,0,0,0.106716024333313,0,0,0,0.0609515528741104,0,0,3.46944695195361e-18,0.12360165989664,0,0,0,0,0,0.00862947125849879,0,0.0957744277199206,0,0,0.24485173028233,0.0951529954496974,0,0,0,0,0,0,0,0.00408778800044147,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652154468953465,0,0,0,0,0,0,0.0590945304261245,0.0352335632332546,0,-0.0456982345258915,0,-0.0673741922619444,0,0,0,-0.0945586331338611,0.0124179279881809,-0.0252306518930426,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.0750412370662625,0,0,0,0.0175269518488006,0,0,0.459005962794683,0,0,0,0,0,0,0,0,0,0,0,0.147159740888729,0,0,0,0,0,0,0,0.0873518729150473,0,0,0,0,0.062879387917813,0,0,0,0,0.0170097037198273,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.062211904325029,0,0.0655625861116155,0,0,0,0,0.0677253945621513,0,0,0,0,0,0,0,0,0,0,0.041844084627172,0,0,0,0,0,0,0.0921125553231247,0,0,0,0,0,0,0.102406329718014,0,0,-0.048685039935787,-0.0453649784968956,0,-0.00172258191380397,0,0,-0.0109287602042651,-0.0469061388131285,0,0,0,0,0,0
X002304.SZ,0.0271174496510686,0,0,0,0.0129951305740976,0,0,0,0,0,0,0,0,0,0,0,0.29019571357358,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0884860531486369,0,0,0.128773193937002,0,0,0,0,0,-0.0822599848230817,0,-0.00104902075742016,0,0,0,0.146430155665182,0,0,0,0,0,0.00185008238224022,0,0.0171162213446825,0.0751252569262591,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0819975108078477,0,0.0513327307945682,0,0.0640090675985599,0,0.202102768904714,0,0,0,0.00218341494682378,0,0,-0.0194134664403079,0.0255749331501929,0,-0.0275031109176655,0,0.0682978458965994,0,0,0.0541435289723242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365214378198997,0,-0.0612724006773155,0,0,0,0,0,0,0
X000625.SZ,0,0.115405842219964,0,0,0.00651610737457899,0,0,0,0,0,0,0.0853579549054307,0,0,0,0.0976856886041207,0.0204348953976294,0,0,0,0,0,0,0,0,-0.0173947905953392,0,0,0,0,0.0409871940511089,0,0,0,-0.00570389670535183,0,0,0,0.0534699704012055,0,0,0,0.0712981968758728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.0500088670200505,0.138443821888871,0,0.0635695607717549,0,0,0,0.223409720775419,0,0,0,0,0.169279419548646,0.0351889135057375,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.127744727751891,0,0,0,0,0,0.033351790990861,0,0.00576666075058929,0,0,0,0.184012886723391,0,0,0,0,0,0,0,0,0,0,0.0163808717627042,0,0,0,0,0,0
