,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002475.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X000100.SZ,X601877.SH,X002508.SZ,X300124.SZ,X300003.SZ,X600089.SH,X600177.SH,X300136.SZ,X600271.SH,X002085.SZ,X600522.SH,X002294.SZ,X000157.SZ,X002007.SZ,X002008.SZ,X600118.SH,X600809.SH,X600487.SH,X600566.SH,X600699.SH,X600867.SH,X002074.SZ,X600372.SH,X000559.SZ,X000623.SZ,X000596.SZ,X300115.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0124576375164238,0,0,0.0124656875560216,0,0,0,0.178461216479343,0,0.0693555935876331,0,0,0.0378927836422877,0,-0.0124214143802939,0,0,0,0,0,0,0,0,0.0622985682083135,0,0,0,0.120309491061578,0,0,0,0,0,0,0.143996226678795,0.0192542115878946,0,0,0,0,0,0,0,0.228940449114765,0,0,0.0099309186228088,-0.0199544289541168,0,0,0,0,0,0
X600104.SH,0,0,0,0.152389982887011,0,0,0,0,0.171477523276194,0,0,0.285613852587654,0,0.0750820116735731,0,0,-0.146125330594326,0,0,0,0,0,0,0.0889460733353488,0,0,0,0,-0.0979016639223679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168249258495181,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.175388375435305,0,0.121680535679939,0,0,0,0,0.202599479965662,0,0,0.185562359721338,0,0,0,0,0,0,0,0,0.0942182215947984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114909131709525,0.0258215820088845,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0579727206881533,0,0.209431926251891,0.0535305449814246,0.0564664652193167,0,0.0593103652145455,0,0.0445731185634238,0,0,0,0,0,0,0,0,0.111089298745834,0.0665725302914732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217449718761049,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0329620494520821,0,0,0,0,0,0.609078922992664,0,0.0652935129334985,0,0,0,0,0,0,0,0.083795861718839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000481198976514813,0,0,0,0,0,0,0
X600276.SH,0,0.0678926266662731,0.0119797546549009,0,0.124030524777266,0,0,0,0,0,0,0.139926835253038,0,0,0,0,0,-0.0387429089198686,0,0,0,0,0,0,0,0,0,0,0,-0.197490836393278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142757344629823,0,1.0842021724855e-19,0,0,-0.00612469423996435,0.00184744477039259,0,0,0,0,0,0
X000725.SZ,0,0,0.131430732102238,0,0,0,0,0,0,0,0,0,0,0,0,-0.110961639730277,0,0,0,0.222787608247488,0,0,0,0.064247763064391,0,0,0.192505886084386,0,0,0.279350837562056,0.254566119873916,0,0,0,0,0,0,0.0321698541308726,0.0445494290011565,0,0,0.0671776839245052,0,0.194686869299937,0,0,0,0,0,0,0.0390327149205223,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.339401041086614,0,0,0,0.179448491356186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788263291814555,0,0,0,0,0,0,0,0,0,-0.10569511946218,0,0,0,0,0.0266500663023253,0.10326719808135,0,0,0,0,0,0,0.162640334173737,0.196457066471536,-0.135045524140821,0,-0.0032063079995248,-0.0121853905329093,0,0,0,0,0,0
X600690.SH,0,0.239019218511304,0,0.0409650547215636,0,0,0,0,0,0,0,0.337724897613206,0,0,0.136470321400161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260807932579835,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0139406815769568,-0.0199258310024075,-0.0376016010189244,0,0.184446902320382,0,0,0,0,0,0,0,0,0,0.0633462663965109,0,0,0,0.129341208861984,0.109264857545181,0,0,0,0.0521754278437833,-0.0366497294061001,0,0,0,0,0,0,0,0.0290872314480597,0,0,0,0,0.0831647121293864,0,0,0,0.0992746532524754,0,-0.00542803566985829,-0.015012686038784,0,0,0,0,0,0
