,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X600741.SH,X000596.SZ,X600809.SH,X000661.SZ,X601877.SH,X600703.SH,X000100.SZ,X300142.SZ,X000157.SZ,X002236.SZ,X600271.SH,X002007.SZ,X300003.SZ,X300124.SZ,X002008.SZ,X002179.SZ,X000625.SZ,X002506.SZ,X600487.SH,X600498.SH,X600183.SH,X600177.SH,X600867.SH,X000977.SZ,X002241.SZ,X002371.SZ,X600066.SH,X300014.SZ,X000066.SZ,X000050.SZ,X600522.SH,X300146.SZ,X600118.SH,X600776.SH,X600372.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.197796542463539,0,0,0,0,0,0,0,0.0225712614661896,0,0,0.0193883891024358,0,0.0290001840402417,0,0,0,0,0,0,0.0508743191044315,0,0.141768316599995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398673710894855,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150533307694353,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0276650353653775,0.210943218028038,0,0,0.489001123834047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360313489374275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.281271874564797,0.0842116749838417,0,0,0,0.249932982678715,0.173480030795751,0,0.0189404685063619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250744797065656,0,0,0,0,0,-0.0309946758885304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291502921169019,0,0,0,0,0,0
X600104.SH,0,0,0.100180958373193,0,0,0.0172929981648741,0,0,0,0,0,0,0.0134572773418749,0,0.172470523207919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240626840533438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00749366153088625,0,0,0,0,0.00412262678444564,0,0
X600276.SH,0,0,0.0270428699714668,0,0,0,0,0,0,0,0,0,0.219172023991232,0,0.0565980227549636,0,0,0.102433280573006,0,0,0,0.112820620407896,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0545279267272345,0,0.0710825929660399,0,0,0,0,0.0427382830085999,0,-0.0219263078140555,0,0.0341859194734391,0,-0.0402983979962418,0,0,0.0664485735791174,-0.0211699233974319,0,0,0,0,0,0,0
X002415.SZ,0,-0.00994782679042235,0,0,0,0,0,0,0,0,0,0,0.332101593559104,0,0,0,0,0,0,-0.0724556529037088,0,0,0,0.583727417039316,0,0,0,0,0,-0.0231362234246133,0.0558071502949489,0,0.145536733554863,0,0,0,0,-0.129052393247433,0,0,0,0,0,0,0,0,-0.024353692658514,0,0,0,0,0.00627238810627514,0,0,0,0,0.0253679784253016,0,0
X002304.SZ,0,0.145697657870059,0.214650957001514,0,0,0,0,0,0,0,0,0,0,0,0,0.175770336434955,0.116029525985398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060013176811691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00382488996857061,-0.0576980584622191,0,0,0,0.0117510716881321,0,0
X000063.SZ,0,0,0.215295080621123,0,0,0,0,0,0,0.0296136105813452,0,0,0.231782570824638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728297574985067,0,0,0.079921901659302,0,0,0,0,0,0,0.045729641383592,0,0,0,0,0,0.226831161078225,0,0,0,0,-0.0551443384432874,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265552661043764,0,0,0,0,0,5.95112732886885e-05,0,0.11317353839592,0,0,0,0,0,0,0,0,0,0,0.11110353230445,0,0,0,0,0.0872733508648632,0,0,0,0,0.0941795254621001,0.314271959838864,0,0,0,0,0,0,0,-0.00603222375374832,0,0,0,0,0.00198678712522076,0,0
X000568.SZ,0,0.233108461410496,0,0,0,0,0,0.0262949144454809,0,0,0,0,0,0,0,0.00837908414298014,0.196263561577162,0,0,0.0667064615095624,0,0.0215009257106859,0,0.0147860050624045,0,0,0,0,0,0,0.0555034530999495,0,0,0,0,0,0,0,0.144173547437029,0,0,0.0400985589231115,0,0,0,0,0,0,0,0,0,-0.0249400114516766,0,0,0,0,0,0,0
