,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002475.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002304.SZ,X600031.SH,X000725.SZ,X003816.SZ,X000661.SZ,X000568.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X000100.SZ,X002241.SZ,X002371.SZ,X002007.SZ,X000596.SZ,X300014.SZ,X300142.SZ,X600741.SH,X600183.SH,X300003.SZ,X300124.SZ,X000977.SZ,X002129.SZ,X601877.SH,X002236.SZ,X000157.SZ,X000800.SZ,X000625.SZ,X600584.SH,X300136.SZ,X002456.SZ,X002049.SZ,X002414.SZ,X002463.SZ,X000066.SZ,X002179.SZ,X600118.SH,X002185.SZ,X600522.SH,X000021.SZ,X600498.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.197581668037959,0,0,0,0,0,0,0,0,0.0633219389720109,0,0,0.0737198249773322,0,0,0,0,0.00218816972969953,0,0,0,0.147740014927218,0,0,0,0,0,0,0,0.0194077144682837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035896614103904,0.00268331197914038,-0.0125908661877632,0,0,0,0,0,0
X000858.SZ,0.217322611875408,0,0,0,0,0,0,0,0,0,0,0,0,0.252388047155523,0.388988271865856,0,0,0,0,0.0958428779686574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682103734469484,0,0,0,0.00367951811293677,0,0,0,0,0,0,0
X600276.SH,0,0.198124407201935,0,0,0,0,0,0,0.0674992241216273,0,0,0,0.189404563365497,0,0.0649991767284775,0,0,0,0,0,0.0312971465436467,0,0,0,0,0.095678365880715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113551710483239,-0.00318498996774797,0,0,0,0,0,0
X000651.SZ,0,0.021882047288174,0,0,0.115447202953997,0,0,0,0,0,0,0,0,0,0,0.208028472966665,0,0,0,0.0251883596238657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272128182540205,0,0,0,0,0,0,0,0,0,0,0,0.00739846124448645,-0.00961730975964179,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236951576590007,0,0,0,0.204673842143867,0,0,0,0,0,0,0.0762837801514087,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.203464010848324,0.0750078625921233,0,0,0,0,0,0.00578710066664015,-0.0116164428824659,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.106562932285517,0,0,0,0,0,0,0,0,0,0,0,0,0.0489218137353273,0,0,0,0,0,0.12288749487329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821398077793137,0,0,0.019495828762861,-0.0265629415511428,0,0,0,0,0,0
X600104.SH,0,0.00137105243766839,0,0,0.0486410942774405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905065804966673,0,0,0.303789996592771,0,0.0640134034847047,0,0.123279799830113,0,0,0,0,0.0424107279535052,0.0360747696767506,0,0,0,0,0,0,0,0,0,0,0,0,-0.0719624651963358,0,-0.0170877566528559,0.0268116862154916,0.0187085687607943,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459221829764781,0,0,0,0.0215744427749116,0,0,0,0,0,0,0,0,0,0,0,0.0734493010279957,0,0.0602769444874128,0,0,0.114358006595699,0,0,0,0,0,0,0,0.289971492131992,0,0,0.0315174572990294,-0.00684647577541689,0,0,0,0,0,0
X002304.SZ,0,0.148348366541359,0,0,0,0,0,0,0,0,0,0,0,0.091405401411244,0,0,0.0957922970839666,0,0,0,0,0,0,0,0.0858696090092367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012251063491792,0.0612116427056369,0,0,0,0,0,0,0,0,0
X600031.SH,0,0.114005364159583,0,0,0,0,0.193742685142905,0,0,0,0,0,0.0354658342552197,0.0119267763362729,0,0,0,0,0,0,0,0,0,0,0,0,0.187209551726753,0,0,0,0,0,0,0.0928181113252054,0,0,0,0,0,0.0633309512902341,0.0557045291468126,0.0202200872933472,0,0,0,0,0,0,0,0,0,0.000205845328049685,0,0,0,0,0,0,0
