,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X000063.SZ,X002371.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X600089.SH,X002179.SZ,X600703.SH,X002049.SZ,X000977.SZ,X000100.SZ,X002236.SZ,X600372.SH,X002241.SZ,X600584.SH,X600741.SH,X601877.SH,X000157.SZ,X000661.SZ,X600522.SH,X002180.SZ,X000066.SZ,X600702.SH,X002074.SZ,X600460.SH,X300003.SZ,X002463.SZ,X300142.SZ,X000733.SZ,X002156.SZ,X002007.SZ,X300146.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.240657117158217,3.46944695195361e-18,0,0.0401256396455661,0.0196852267050566,0,0,0,0,0,0.0544248550562461,0,0,0,0,0.0461607994331579,0,0,0,0.0238391854784875,0,0,0,-0.0725747869552733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112648528349926,0,0,0,0,0,0
X000858.SZ,0,0,0.207158284099664,0,0,0.0695743927416456,0,0,0,0,0,0,0,0,0,0,0.0875228753285691,0.0795403645419445,0,0,0,0.00622896869015191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013946123516,0,0,0,0,0,0,0,0,0,0,-0.0521644923477795,0,0,0,0,0,0
X000568.SZ,0,0.267515912490997,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285022939084053,0,-0.0702433406396765,0,0.0917502308168126,0,0,0,0,0,0,0,-0.0328675394797032,0,0,0.117602790521959,0,-0.0778385270465061,0,0,0,0,0,0,0,0,0,0,-0.00137630034756952,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0810829791682322,0,0,0,0,0,0,0,0,0.249186951041797,0,0,0,0.17205779404446,-0.0198883103963754,-0.000118126638915229,0,0.229389091659917,0,0,0,0,0,0,0,0,0,0.0906957002718974,0,0,0,0,-0.14550704728037,0,0,0,0,0,0,0,-0.0130198490379796,0,0,0,0,0,0,0
X600276.SH,0,0,-0.0211729667789153,0.0944756697504375,0,0,0,0,-0.0842229891782594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165091411122952,0,0,0.120291860777522,0,0,0,0,0,0,0,0.0185767313846655,0,-0.0282093847327665,0,0,0,0,-0.310642555979388,0,0,0,0,0,0,0,0.0237079439370836,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.220884858757337,0,0.138984033479384,0,0,0,0,0,0,0,0,0,-0.213450175151463,0.0498381681423385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253178118377191,-0.0446257879214292,-1.38777878078145e-17,0,0,0,0,0,0,0,0,-0.397307333906462,0,0,0.143476675216818,-0.0188253503371372,0.0293903837637265,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0922537828906076,0,0,0,0,0.11865106604579,0,0,0,0,0,0.310366925954153,0,0,0,0,0,0,0,0,0,0,0.000529571957417984,0,0,0,0,0,0,0,0,0,0.00808462079128629,0,-0.11682500554196,0,0,0,0,-0.0155751423336279,0,0,-0.0619552001439424,0,0,0,0,0.0515042839967528,0,0,0,0,0,0,0
X002304.SZ,0,0.195247146505636,0.123219068174469,0,0,0.0595254931661919,0.0562473560377096,0,0,0.0798149236868467,-0.0373975249913312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10171889942059,0,0,0.0469651214169601,0,0,0,0,0,0,0,0.121337823953152,0,0,0,0.0200137513608724,0,0,0,0,0,0,0,0,-0.0146339787038456,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203037518117495,0,0,0,0,0,0,0,0,0.108079234008332,0,0.407579095818657,0.0232895926126942,0,0,0,0,0,0,0,0,0,0,0,0.0369507951398518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353835433434881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
