,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600690.SH,X600703.SH,X000625.SZ,X600031.SH,X002236.SZ,X600741.SH,X002475.SZ,X002241.SZ,X000338.SZ,X002456.SZ,X600066.SH,X000100.SZ,X601877.SH,X300124.SZ,X600809.SH,X600089.SH,X600177.SH,X300003.SZ,X002508.SZ,X000157.SZ,X002008.SZ,X002085.SZ,X600487.SH,X300136.SZ,X600271.SH,X600522.SH,X002294.SZ,X600118.SH,X000050.SZ,X600867.SH,X000981.SZ,X600699.SH,X600372.SH,X300115.SZ,X002074.SZ,X000559.SZ,X600566.SH,X000596.SZ,X002007.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.266691235557523,0,0.0305901425330484,0,0,0.205695576797883,0,0.00561274372095653,0,0,0,0,0,0,0,0,0,0,0,0,0.0443772453923865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471834253568453,0,0,0,0,0,0,0,-0.00902584436597684,0,0,0,0,0,0
X600104.SH,0,0,0,0.160846779693126,0,0,0,0,0,0,0,0,0,0,0.0522882542940337,0.35690643115512,0,0,0,0,0.113848317462463,0,0,0,0,0,0,0.0962600089615188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019577133252301,0,-0.279988648827745,0,-0.00150137032091036,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.12042318833814,0,0,0,0,0,0.0762118813531428,0,0,0,0.179015078325068,0.199980194316623,0,0,0,0,0,0,0,0,0,0,0,0,0.107147771081567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0.112683444077218,0,0,0.205015965929659,0,0,0,0,0,0.140677478969117,0,0,0,0.0311992861339449,0.0131979829386912,0,0,0,0,0,0,0,0,0,-0.0196837963828364,0,0,0.0641226253878465,0,0,0,0,0,0,0,0,0,-0.0528133529838948,0,0,0,0,0,0,0,0,0,0,0,0.139649565606725,0,-0.00276681600883465,0.0210491377925601,0,0,0,0,0
X000858.SZ,0,0,0.10602422816299,0.123697145764376,0,0,0,0,0,0.371478409204285,0.00923333325164007,0,0,0,0.0740252586072689,0,0,0,0,0,0,0,0,0,0.0539479736099926,0,0,0.0290531147062743,0,0,-0.0206416937519795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.0547719370987271,0.106370685417872,0,0.38914548564791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112972352036133,0,0,0,0.00112266450805103,0,0,-0.129035224677929,0.0172962940448195,0.00573814756755628,0,0,0,0,0,0
X002304.SZ,0,0.0314060837924769,0,0,0.290738266926369,0,0,0,0,0.180169401562821,0,0,0,0,0,0.113482432728926,0,0,0.0153364848666458,-0.0843871489251483,0,0,0,0,0,0,0,0,0,0,-0.0121057162701523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0.168265579348506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232378874689992,0,-0.032117029568537,0,0,0,0,0,0,0,0,0,0,0.057482644937335,0.0527583742683534,0,0,0,0.0714834590292356,0,0.110966230275583,0,0,0.136596602699106,0,0,0,0,0,0,0,0,0,-0.00829905101010569,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.254155088331375,0.0857827192359544,0,0.0825981363306141,0,0,0,0,0,0,0.114755072746745,0,0,0,0,0,-8.67361737988404e-19,0,0.257553416552232,0,0,0,0,0,0,0,0,0,0.00810759090204541,0,0,0,0,0,0,0,0,-0.0175975116722114,0.047327017120563,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.539696427313367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583682713990533,0,0.12465094321985,0,0,0,0,0.0286215237653279,0,0,0,0,0,0,0,0,0.176738100200658,0,0,0,0.0149870608487361,-0.0226642122015538,0,0,0,0,0,0
