,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X003816.SZ,X002129.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X000661.SZ,X600089.SH,X002180.SZ,X000100.SZ,X601877.SH,X002241.SZ,X300142.SZ,X600702.SH,X000733.SZ,X600741.SH,X002074.SZ,X600522.SH,X000157.SZ,X600460.SH,X600584.SH,X000799.SZ,X600884.SH,X300003.SZ,X002294.SZ,X002007.SZ,X600779.SH,X300146.SZ,X600563.SH,X601799.SH,X002236.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300124.SZ,0,0,0,0,0,0,0,0,0.174227324605692,0,0,0.081735667841987,0,0,0,0,0,0,-0.0539725318800721,-0.0849422917705293,0,0,0,0,0,0,0,0,0,0.0253804662016547,0,0,0.123236753145089,0,0,0,0.0250716235750936,0,-0.051717032125924,0,0,0,0,0,0.123311157505969,0,0.0181840387443251,0,0,0,0,1.73472347597681e-18,-0.0188600254105214,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,-0.0652049011580582,0,-0.0498837493399327,0,0,0.393500529113697,0,0,0,0,0,0.156969842055328,0,0.196803272238389,0,0,-0.0120301335469962,0,0,0,-0.0695320272773224,0,0,0,-0.0435148992224128,0,0,0,0,0,0.223263213531277,0,0,0,-0.0480431523342785,0,0.438676954076257,0,-0.0591413031640827,0,0,0,0,0,0,-0.120088396212619,-0.0405006441697402,-0.0104212976350083,0,0,0,0,0,0
X600104.SH,0,0,0.00392358192468869,0,0,0,0,0.0465821407131186,0,0,0,0,0,0,0,0.136144923025453,0.0643937534866363,0,0,0,0.00457100335155227,0,0,0,0,0,0,0,0.0541174562845518,0,0.00212466634851495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039537691640435,0,0,0,0,0.011748566568173,0.0120775956675284,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188955084945485,0,0,0,0,0,0,0,0,0,0,0,0,0.40634826140936,0,0,0,0.0325263608153542,0,0,0,0,0,0,0,0,0,0,0,0.0276327089040075,-0.0413168623605008,0,0,0,0,0,0.00428430396228567,0.0157278949113772,0,0,0,0,0,0
X000596.SZ,0,0,0.253584653329601,0.101160510647542,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137908995266502,0,0,0,0,0,0,0,0,0.0459823167105793,0,0,0,0,0,0,0,0,0,0,0,0,-0.0466703912375345,0,0.0919721451729686,0,0,0,0,0.0577297109036439,0,0,0,0,0,0.0128257237511287,0,0,0,0,0,0,0
X600031.SH,0,0.0106158193068047,0,0,0,0.0625636187916455,0,0,0,0,0,0,0,0.270823742520394,0,0,0.0311453172143528,0,0,0,0,0,0.0520654785197418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833342190773547,0,0.151829243678501,0,0,0,0,0.011959838358131,0.0154483684477251,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0.106735092562337,0,0,0,0,0,0,0,0,0,0,0.0595008405276941,0,0,0,0,-0.0253318087491345,0,0,0.136551133417783,0,0,0,0,0.262564092520558,-0.00167543632695057,0,0,0,0,0.0794111203276752,0,0,0,0,0,0,0,0,0,0.0335126005782675,1.0842021724855e-19,0,0,0,0,0,0
X003816.SZ,0,0.0323523879100982,0.0106016230851979,0,0,0,0,0,0,0,0.042527759130067,0,0,0.142201076246442,0,0,-0.0357517521763698,0,0,-0.0249710948793786,0.0470612734023459,0,0,0.0690517572962739,0,0,0.0203457080162695,0,0,0.017118832553752,-0.0128916105298,0,0.0177644135400471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00950242498638957,0,0,0,0,0.00169853863245032,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0.0197342041622115,0,0,0.0609336530821972,0,0,0,0,0,0,0,0.197588117043092,0,0,0,0,0,0,0.187931650574046,0,0.0907173409979036,0.134557541933965,0,0.0280043403826576,0,0,0,0,0.0909187936448889,0,0.0392521250479927,0,0,0,0,0,0.0661167570979749,0,0,0,0,0,0,0.0114022986154853,0.0230447739253926,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0.0235640778709706,0,0,0,0,0,0,0.0613344797790121,0,0,0,0,0,0.1646002724332,0,0,0,0,0,0,0,0,0.127964660900395,0,0,0.100968667336753,0,0,0,0,0.175822277697801,0.10300010512251,0,0,0.165927944501512,0,-0.0483296463984316,0,0.0239193742946127,0,0,0,0,-0.0124905025876079,0.0224742841482356,0,0,0,0,0,0
