,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X002475.SZ,X600690.SH,X600276.SH,X000625.SZ,X300014.SZ,X600104.SH,X000651.SZ,X300124.SZ,X002129.SZ,X000725.SZ,X600031.SH,X003816.SZ,X002371.SZ,X002049.SZ,X000596.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X000661.SZ,X600522.SH,X601877.SH,X002074.SZ,X002180.SZ,X300142.SZ,X600741.SH,X600884.SH,X000100.SZ,X000733.SZ,X600460.SH,X600702.SH,X000157.SZ,X601799.SH,X000799.SZ,X600563.SH,X600418.SH,X002236.SZ,X600584.SH,X002176.SZ,X000800.SZ,X002414.SZ,X002056.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.267833689257771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352533953697213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601117954410718,0,0,0,0,0,0.0442591592463219,0,0,0,0,0,0,0,0,0.00763918314234518,0,0,0,0,0.00290425203436522,0,0
X000858.SZ,0,0,0.214020052436305,0.138550806344904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306406932617,0,0,0,0,0,0.232118678790377,0,-0.0352833392016976,0.0238458840184942,0,-0.0196151674776618,0,0,0,0,0,0.0373741413155892,-0.0735294768011817,0.00486395049820203,0.0232665451114497,0,0,0,0,0,0
X600809.SH,0,0.134177837956158,0,0.590516722217776,0.0204167422372813,0,0,0.0397728311256133,0,-0.0234631692201301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167683639388552,0,0,0,0,0,0,0.0303592829160783,0,0,0,0.0682970620110548,0.00853992137647832,0,0,0,-0.0927038749888201,0,0,0,0,0,0.00472360401963141,0,0,0,0,0,0
X000568.SZ,0,0.0744199410498196,0.309603639615565,0,0,0,0.0118203980824424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108542769272695,0,0,0,0,0,0.0327789162144563,0,0,0,0,0,0,0,0,0,0,0,0.239711293299602,0,0,0,-0.022906329885186,0,0,0,0,0,0,0,0,0,-0.0248472565779018,0,0,0,-0.0168139087893282,0,0
X002415.SZ,0,0,0,0,0,0.409613265603679,0,0,0,-0.123532451479166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065439750516395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019663202603997,0.0214859009433635,0,0,0.727153725963557,0,0,0,0,0.0266822597892432,0,0.140571582736168,0,0,0,0,0,0,0
X002304.SZ,0,0.0103940159530141,0.0555866870566133,0.102678555314595,-3.46944695195361e-18,0,0,0.0277898180952148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686977442461002,0,0.275979606773968,0,0,0,0.0393661000116306,0.02697757488864,0,0,0,0,0,0,0,0.0166376792735555,0,0,0,0,-0.0211712351463691,0,0
X002475.SZ,0,0,0,0,0.0111519485511358,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0540797227996532,0,0.109634988141867,0,0,0,0.186682640630011,0.0965105645046324,0.0629973257829518,0,0,0,0,0,0,0.00335145990375842,0,0,0,0,0,0,0,0,0,0,0.237006549344077,0,0.129638506600313,0,0,0,0,0,0,0,-0.0959419064463273,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,-0.0545913525059473,0,0.361916196340037,0,0,0,0.0865136814742027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17160043147335,0,0,0,0,0,0.0410707614402974,0,0,0,0,0,0,0.131345839497468,0,0,0,0,0,0.00145341114522654,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.156413269509801,0,0,0,0,0,0.0448278718601442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100179191037429,0,0,0.118082278706185,0.0761445057685048,0,0,0,0.121088559241056,-0.091834537052868,0,0.0568442239650314,0,0,0,0,0,0,0.108634232711829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716791403465646,0,0
X000625.SZ,0,0,0,-0.0863435340623439,0,0,0,0,0,0,0,0,0,0,-0.0736955871678865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881049018911009,0,0,0.41495931930198,0.330173611792873,0,0,0,-0.116156995486116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479717841549453,0,0
