,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X000100.SZ,X600276.SH,X600031.SH,X600690.SH,X000338.SZ,X600372.SH,X000157.SZ,X002241.SZ,X600741.SH,X600703.SH,X600066.SH,X600271.SH,X600089.SH,X600118.SH,X000581.SZ,X000550.SZ,X601877.SH,X002236.SZ,X002475.SZ,X600582.SH,X600177.SH,X000800.SZ,X000559.SZ,X000568.SZ,X000623.SZ,X600060.SH,X300124.SZ,X002129.SZ,X002294.SZ,X000050.SZ,X002456.SZ,X000977.SZ,X300146.SZ,X300003.SZ,X002292.SZ,X002465.SZ,X000869.SZ,X600839.SH,X000400.SZ,X002007.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.174154738794128,0,0,0,0.123761179872308,0,0.101478302207649,0,0,0,0,0,0.275288179019329,0,0,0,0.0804249839421036,0,0,0,0,0,0,0,0.0590948081506151,0.07846645349938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00480120140622126,0,0,0,0,0,0
X600519.SH,0,0,0.0959264310122879,0,0,0,0.0288636639070932,0.267564980613916,0,0,0,0.00954290534075998,0.0229201094363091,0,0,0,0,0,0,0,0,0,0,0.0656776265525723,0,0.0872387792870307,0,-0.0250653616464473,0,0,-0.0402747697266343,0,0,0.0452859380809921,0.0122731622562038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.0198486494962073,0,0,0.205561285035759,0.00307553548806487,0.15774064418493,0,0,0,0.0636897645809538,0,0,0,0,0,0,0,0,0,0,0.11739986032414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104931453466481,0,0,0,0,0,0,0,0,0,0,0,0,0.01780974019998,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.166469493696144,0,0,0,0,0,0.158196797393634,0,0,0,0,0.0417420693245465,0,0.108652046516703,0,0,0,0,0,0,0.0854625622145162,0.0996603522487602,0,0.0822004351609444,0.0754463542564246,0,0,0,0,0,0,0,0,0,0,0.113694929602836,0,0.116188596109119,0,0,0,0,0,0.00675067734774889,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.241761449085434,0,0,0,0.111130936950591,0,0,0,0,0,0,0,0,0,0.0578165952394293,0,0,0,0,0.0759300920756396,0,0.223510143616094,0,0,-0.0995257279686447,0,0,0,0,0,0.0100942195605076,0,0,0,0,0,0,0,0.0668111804550108,0,0,0,0.10229152878728,0,0,0,-0.00524076939838983,-0.00290811777131706,0,0,0,0,0,0
X000625.SZ,0.281579274546578,0,0,0.070075007365486,0.117195875479769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256462684661146,0,0,0,0,0,0,0,0,0.134654900239727,0,0.0152096774615559,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.022251906126571,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.402378158881334,0.0396438348371094,0,0.0353447701093232,0,0,0,0,0,0,0,-0.0107744724175691,0.0921851143175742,-0.0742612694086026,0,0,0,0,0,0,0,0,0.0631167105662812,0,0,0,0,0,0,0,0,0,0,0,0,-0.0775904165778657,0,0,0.419934017602807,0,0,0,0,0,0,-0.00396473136970759,0,0,0,0,0,0
X000858.SZ,0,0,0.0415107273401096,0,0,0,0,0,0.0752746742089306,0.0937759462870434,0,0.000727578502146512,0.0847875288394208,0.103633777620579,0,0.179941875594296,0,0,0,0,0,0,0,0.00837402105910051,0,0,0,0,0,0,0.066593127794596,0,0.0428325199284483,0,0,0,0,0,0.0461091895170261,0,-0.0103105148118722,0,0,0,0,0,0,0,0,0,0,0,-0.00666854353837341,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.0197650620189412,0,0,0,0.112602921624669,0,0,0,0,0,0,0,0.00515065221087054,0,0.00315678800000106,0,0,0,0,0,0.044164612697356,0.028617395021096,0,0,0.167975669191813,0.037800261948858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00330105397117222,0,0,0,0,0,0
X000100.SZ,8.67361737988404e-19,0,0,0.154201114323839,0,0,0,0.0694747007205649,0,0,0,0.0939501785440835,0.0524805293579751,0.0728343355899786,0,0,0,0,0,0.0012882355903867,0,0,0,0,0.0371994748602339,0,0,0,0,0.0360480291844012,0,0,0,0.0109563130059977,0.229665143537495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155748851317202,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.167683888798383,0,0,0,-0.0970027452562014,0,0,0,0,0,0,0,0,0,0.0606716300721394,0.0915104796912965,0.0494776909970845,0,0,0,0,0,0.00240954545323969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0.0912739036254123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800764290940626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816517657373389,0,0,0,0,-0.00793284856699516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137781917196639,0,0,0,0,0,0,0
X600690.SH,0.0174069166401955,0.0111504906400261,0.0367072297620658,0,0,0,0,0.204430224289199,0.0272162899709489,0.170251665111035,0,0,0,0.141957190149816,0,0,0,0.00917841818694066,0,0,0,0,0,0,0.102291331988157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0918574479466581,0,0,0,0,0,0,0.614672041185988,0,0,0,0,0.0168647837168318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301053534212518,0.00371763770104345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00523647032224816,0.00471755633401211,0,0,0,0,0,0
