,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X300124.SZ,X300014.SZ,X000651.SZ,X600104.SH,X002129.SZ,X003816.SZ,X000725.SZ,X600031.SH,X002049.SZ,X002371.SZ,X000625.SZ,X000596.SZ,X000063.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002180.SZ,X600522.SH,X000661.SZ,X300142.SZ,X000733.SZ,X601877.SH,X002074.SZ,X002241.SZ,X000100.SZ,X600741.SH,X000157.SZ,X600702.SH,X600460.SH,X600884.SH,X300003.SZ,X600584.SH,X600487.SH,X000799.SZ,X002414.SZ,X002176.SZ,X000980.SZ,X601799.SH,X600563.SH,X002236.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.108643864134234,0.189625998858159,0,0.151545081123513,0,0.0408329833720599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413711083537597,0,0,0,0,0,0,-0.153982449956793,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.106402293961474,0,0,0,0,0,0,0,0.0285613891770456,0,0,0,0,0,0,0
X000858.SZ,0.245982788116273,0,0.0143239490289005,0,0.324535155301786,0.00565583085680077,0,0,0,0,0,0,0,0,0,0,0,0,0.0352576534010589,0,0,0,0,0,0,0,0,0,0.0525303476790583,0,0,0,0,0,0,0,0,0.106584219452736,0,0,0,0,0,0,-0.0207247286353284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0.419916316937074,0,0,0,0.419651659842117,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409881182736191,0,0,0.0211393779257241,0,0,0,0,0,0,0,0.0530186628059702,0,-0.129660248045787,0,0,0,0,0,0,0.0721030235599275,0,0,0.000969471696615166,0,0,0,0,0,0,-0.0133436301426525,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0145617748740724,0,0,0,-0.0510093620342535,0,0,0,0,0,0,0,0,0.176013318182438,0,0.211876728929054,0,0,0,0,-0.0153809326458348,0,0,0.0358503123123687,0,0,0,0.100690103122062,0,0,0,0,0,0,0,0,0,0.0170414069608589,0,0,0.0376807387085479,0.153348670093103,-0.207344499691063,0.137576009573536,0.339181585600836,0,0,0,0,0,0,0,0
X000568.SZ,0,0.14853832519118,0.844902331666639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724518279248893,0.054733071148252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490738385875407,0,0,0,0,0,0
X600276.SH,0,0.10916717932359,0,0,0,0,0,0,0,0,-0.0127699308372546,0,0,0,0,0,0,0,0,-0.0020540657414033,0,0,0,0,0,0,0,-0.111876691294628,0.14998132212291,0,0,0,0,0.0491290582354711,0,0,0,0,0,0,0.131306914930986,0,0,0.103239458602293,-0.02246561823739,0,0.0104702736200583,0,-0.0714207528954382,0,0,0,0,0,0,0,0,0,0
X600690.SH,0.0275354043632713,0,0,0,0.352056992160782,0,0,0,0,0,0,0.0293134318467529,0,0.0725824500442812,0,0,0,0,0,0,0,0,0,0,0.129547743334511,0.0213323963711648,-0.0635734196578782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0804627610553659,0,0,0,0,-0.0167549274310141,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.283118270885069,0.214698307808922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357790574000511,0,0,0,0,0,0,0.103528486416695,0,0,0,0,0,0,0.0950675519779612,0,-0.0732791968843719,0,0.145459182551286,1.38777878078145e-17,-0.0738862730120499,0,0,0.120322035488041,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.22323777508512,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144710824837538,0,0,0,0,0,0,0,0,0,0,0.0489317816490748,0.0321660785504598,0,0,0,0,0.291455224458994,0,0,0,0,0,0,-0.0310007523466646,0,-0.00977538489704358,0,0,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0.0782479027222456,0,0,0.0847636692662199,0,0,0,0,0,0,0.019398923590639,0,0,-0.180174169686191,0,0,0,0,0,0,0,0,0,0,0.0355313805547981,0.259298118509349,0.0201283139423701,0,0,0,0,0,0,0,0,0,0,0,0.16265078544404,-0.169891894214335,0,0,0,0,-0.0344730198569721,0,0,0,0,0,0,0
