,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X600809.SH,X000725.SZ,X600690.SH,X002241.SZ,X000661.SZ,X000063.SZ,X003816.SZ,X000338.SZ,X000596.SZ,X300124.SZ,X300014.SZ,X600703.SH,X002007.SZ,X600741.SH,X000625.SZ,X000100.SZ,X002371.SZ,X300142.SZ,X002129.SZ,X601877.SH,X002236.SZ,X002049.SZ,X000157.SZ,X600584.SH,X000800.SZ,X300003.SZ,X002179.SZ,X002414.SZ,X600183.SH,X300136.SZ,X601799.SH,X000977.SZ,X000066.SZ,X002008.SZ,X002456.SZ,X300146.SZ,X002185.SZ,X600118.SH,X600066.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.18173054793364,0,0,0,0,0,0.0210184731306096,0,0,0.358008917821653,0,0,0,0,0,0,0,0,0,0,0,-0.017129923710037,0,0,0.0900261587793566,0,0,-0.0592928387343171,0.0289258209022138,0,0.0206986076214047,0,0,0,0,0,0,0,0,0,0,0,-0.0181022922870856,0,0,0,-0.0124609601949142,0,0,0,0.0425280083456223,-0.00388064487211437,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.237094721950755,0,0,0.233358827226056,0,0,0.027083350337986,0,0,0,0.11137943309836,0.10606628823016,0.0172018261479051,0,0,0,0,0,0,0,0,0,0,0.00567360810013418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144020073748523,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0630321102914613,0,0.0385302624624612,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0.094670174291332,0.00508202158093284,0,0,0,0,0,0,0,0,0.0230485643772473,0,0,0,0,0.0368835262365181,0,0,0,0,0,0,-0.000354079042815044,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.110012854745774,0,0,0,0,0,0,0,0.279348251596422,0,0,0,0,0,-0.0127000583087931,-0.0834418645335413,0,0,0,-0.0149853169997797,0,0,0,0,0,0,0.107282587667066,0,0,0,0,0,0,0,-0.0342384284031923,0.0158389155821281,0,0,0,0,0,0,0,0,0.0405909093976055,0,0,-1.0842021724855e-19,-0.000834363207678839,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0632667433933535,0,0,0,0,0,0.408747165119298,0,0,0,-0.0263583217850993,0,0,0.0468587080628507,0,0,0,0,0.0646564526710246,0,0,0,0,0,0,0,0.0243155581424311,0,0,0,0,0,0.00459479956839868,0,0,0,0,0,0,0,0.0441751073521018,0,0.201386984268347,0,0,-0.00532335613098836,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339595416882384,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.131952259728355,0.0449433607353564,0,0.0208732978330515,0,0,0.0842062334557208,0,0,0,0,0,0.0605498757195576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102537655122131,-0.00423074500181933,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0231330901243701,0,0,0,0,0,0,0,0.243827933272008,0,0,0,0.0289478532735723,0,0.0980667902490055,0.0156867764995363,0,0.0336456540151126,0,0,0,0,0,0,0,0.0144436641154116,0,0,0.0421462721271074,0,0,0,0,0,0,0,0.0505227016157675,0,0,0,0,0,0,0.00205819105087965,0,0,0,0,0,0
X000568.SZ,0,0.126100527779345,0,0,0,0,0,0,0.167787647123203,0,0.094246136203486,0,0,0.0245739978736552,0,0,0,0,0.0272698947937035,0,-4.33680868994202e-19,0,0.116647109426431,0,0,0,0,0,0.0161890000218461,0,0,-0.0437901083458096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.221758023803097,0,0,0,0,0,0,0,0,0,0,0.0709724368137628,0,0.261830167435691,0,0,0,0,0,0,-0.0736920715520629,0,0,0,0,0,0,0,0,0.0425644179493566,0,0,0,0,0,0,0,0,0.100669444644713,0,0,0,0,0,0,0.00364744233021865,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.0267843503080875,0,0,0,0,0,0.210894811887693,0,0,0.404946661321341,0,0,0,0,0,0.0763728047864897,0,0,0,0,0,0,0,0,0.0755766360078944,0,0,0,0,0,0,0,0,0,0,0,0,0.0669613077812453,0,-0.0235730504216826,0,0,0,0,-0.00917505311148075,0,0,0,0,0,0
X600809.SH,0.0639906536268902,0.226560480185958,0,0,0,0,0,0.247450898044008,0,0,0,0,0,0,0,0,0,0,0.00960317648260649,0,0,0,0.165719602680306,0,0,0,0,0.00222069982943663,0,0,0,-0.0771292315092718,0,0,0,0,0,0,-0.0629647809585121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368149083484317,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00786874398944907,0,0,0,0.0103996321896485,0,0,0.117813951257471,0,0,0,0,0.456234196557429,0,0,0.0372365592453094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759675455507716,0,0,0,0,0.157560016819001,0,0,0.00558626352611888,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731704565782842,0.0367350563362869,0,0,0,0,0,0,0,0,0.132942191060989,0,0.063553756656514,0,0,0,0,0,0,0,0,0,0,0,0,0.0911768161753559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0.340094807170513,0,0,0.170990811970641,0,0,0,0,0,0,0,0,0,0,0,0,0.11341972360303,0,0,0,0,0,0,0,0,0,0,0,0,0.303108458439136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0639141988530835,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0.115554676842014,0,0.382489941867839,0,0,0,0,0,0,0,0,0.205432588303221,0,0,-0.0813450293724211,0,0,0,0,0,0.322294116955437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249566213051514,0,0,0,0,0,0,0,0,0.00779535679396606,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,-0.08071215309224,0,0,-0.0805078082509396,0,0,0.0174730827432251,0,0,0,0,0,0,0.00945411335035089,0.0345870920161001,0.0764810502200986,0,0,0.044935699178269,0,0,0,0,0.170903355788539,0,0,0,0,0,0,0.0959475604557603,0,0,0,0,0,0,0,0,0.0157279492170861,0,0,0,0,0.0556153612285741,0,0,0,0,0,0,0
