,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000858.SZ,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X600703.SH,X600741.SH,X000338.SZ,X000568.SZ,X300003.SZ,X600271.SH,X601877.SH,X002008.SZ,X002456.SZ,X002236.SZ,X600487.SH,X300124.SZ,X600809.SH,X000596.SZ,X000661.SZ,X000100.SZ,X600867.SH,X000977.SZ,X000625.SZ,X600066.SH,X300136.SZ,X300142.SZ,X600566.SH,X002179.SZ,X600498.SH,X002007.SZ,X002294.SZ,X000157.SZ,X002241.SZ,X300146.SZ,X600522.SH,X002180.SZ,X002049.SZ,X600177.SH,X000869.SZ,X600089.SH,X000050.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.354998881901641,0,0,0,0,0,0,0,0,0,0,0,0.0911074528732006,0,0,0.0742785931841887,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.029677456002701,0,0.0902908901721495,0,0,0,0,0,0,0.0350088635056221,0,0,0,0,0,0,0,0,0,0,0.000806933275283862,0.00132414943931659,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0683797697257914,0,0,0,0,0,0,0,0,0.414520757789282,0.0684490190950856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703741748978964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478412316747401,0.00888233774948824,0.00784776058783766,0,0,0,0,0,0
X002415.SZ,0,0,0,0.063017720224499,0,0,0,0,0,0,0,0.0814469704583546,0,0,0,0,0,0,0,0.165385705428741,0,0.205847858050482,0.00243621255335764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008427851416663,0.0223058138687599,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170001835849956,0,0,0,0,0,0,0,0,0.0476764379568032,0.101381579607691,0,0,0,0,0,0,0,0.117518451834383,0,0,0,0.326826818856234,0,0,0.132797372661713,0,0,0,0,0,0,0.0471135113433948,0,0,0.0311991981415201,0.0314052051853332,0,0,0,0,0,0
X000858.SZ,0.0690834445501583,0,0,0,0,0.00528152568618639,0.263276454017676,0,0.0480460825933368,0,0,0,0,0,0,0.284151532845776,0,0,0.0175804062298118,0,0,0.0430994611696477,0,0,0,0.0190378048315597,0,0,0,0,0,0,0,0.036408106050052,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.00880895087677032,0.00357593373126288,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0389556700347227,0,0,0,0,8.67361737988404e-19,0,0,0.140694114823335,0,0,0.10597737868274,0,0,0,0.198644043268368,0,0,0.0283759773207268,0,0,0,0,0,0.0523013856970229,0,0,0,0.0512374099707633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186067866817548,0.029029496488151,0,0,0,0,0,0
X002304.SZ,0,0,0,0.101303219998641,0.668104981525201,0,0,0,0,-0.0804482834061497,0,0,0,0,0,0.278897444118741,0,0,0,0,0,0,0,0.153961051482243,0.0816206581474204,0,0,0,0,0,0,0,0,-0.037166385830822,4.33680868994202e-19,0,0,0,8.67361737988404e-19,0,0,-0.0719473760045171,0,0,0,0,0,0,0,0,0,-0.00202055564099587,-0.0123170877259706,0,0,0,0,0,0
X000725.SZ,0,0,0.0660671741486777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761632875893357,0.0226251729802463,0,0.0069703273635256,0,0,0,0,0,0.302535536088239,0,0.00910464397335888,0,0,0.0349798043177638,0,0,0,0,0,0,0,0,0,0.56614366263993,0,0.0360733641191955,0,0,0,0,0,0,0.00781630226551718,0.0271035495145433,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0882568142461394,0.0737028165896023,0,0,0,-0.0130284673745712,0.122284053967127,0,0,0.160783659756261,0,0,0,0,0.0113027205471323,0,0,0.112627389096331,0,0,0,0,0,0,0.122654226652335,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142982751585224,0.0114378501669398,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233519629629494,0,0,0,0,0,0,0,0,0.0903399494422965,0,0,0,0,0,0,0,0,0.00038432759152279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536252618522041,-0.0568415417640413,0,0,0,0,0,0
