,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X002304.SZ,X000651.SZ,X600104.SH,X600690.SH,X600031.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X000625.SZ,X000063.SZ,X002241.SZ,X000661.SZ,X002371.SZ,X600703.SH,X003816.SZ,X000596.SZ,X002129.SZ,X000100.SZ,X002049.SZ,X300142.SZ,X000799.SZ,X600460.SH,X002179.SZ,X600741.SH,X000157.SZ,X600702.SH,X600779.SH,X600584.SH,X002007.SZ,X601877.SH,X002236.SZ,X002414.SZ,X601799.SH,X002074.SZ,X300003.SZ,X600183.SH,X000800.SZ,X300146.SZ,X600089.SH,X002508.SZ,X002185.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.151518715996785,0.176004924203674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342774798279128,0,0,0,0,0.0843861314722956,0,0,0.0264505270374481,0,0,0,0,0,0,0,0,0,0,0,0,0.0227604547173636,0,0,0.0211820149614471,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0192914648387295,0,0.356790101810185,0,0,0,0,0,0,0,0.00818824838041493,0,0,0,0,0,0.0137891917099897,0,0,0,0,0,0,0,0,0.134701269924543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047015876549112,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.147043741304504,0,0,0,0,0,0,0.139307795469632,0.0833451351893441,0,0.0644453807252792,0,0,0.0772862766808797,0,0,0,0,0,0,0,0,0,0,0,0.103237946855757,0,0,0,0,0,0,0,0,0,0.00632314629549302,0,0.00551538078075772,0,0,0,0,0,0,0,0,0.0943145455294028,0,0,0,0,0,0,0.015177343762348,0,0
X600276.SH,0,0,0,0,-0.0767457869716105,0,0,0.0588501597283605,0,0,0.0420347812282933,0.126486799526186,0,-0.00222428206412362,0.179254239484673,0,0,0.151964783045748,0,0,0,0,0,0,-0.0555429982912299,0,0,0.0318265455813459,0,0,-0.00107661784872548,0,0,0,-0.0552427598681257,0,0,0.0476064573068235,0,0,0,0,0,0,0,0,-0.10516062847118,0,0,0,0,0.159555991298464,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.118060583962345,0,0.0900947561986613,0,0,0,0,0,0,0.129302907250647,0,0,0,0,0,0,0,0,0.0342835334143934,0,0,0,0,0.48209437279352,0,0,-0.14093612771308,0,0.00436968969045577,0.046908175628813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265513250107451,0,0,0,0,0,0
X000568.SZ,0,0.702524326379329,0,0,0.0346164969913958,0,0,0.0567810038005767,0,-0.179531727293878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18205761215331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458175622979273,0.0292910127054973,0,0,0,0,0,0,0,0,0
X002475.SZ,0.298853735746973,0,0,0.134818426126378,0,0,0,0,0,0,0,0,0,0.13961167676721,0,0,-0.02429255248895,0,0.118397022855336,0,0,0.169818064741707,0,-0.0595146211807891,0,0,0,-8.67361737988404e-19,-0.0778327251062652,0,0,0,0,0.0235929826407929,0.00565327057237716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805779932753401,0,0
X002304.SZ,0,0,0,0,0,0.350880528444006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326215314009885,0,0.0137498166786596,0,0,0,0,0,0,0,0,0,0,0.024337995931263,0,0,0,0,0,0,0,0,0,0,0.0455177129660299,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.180169376346187,2.16840434497101e-19,0,0,0.0271320648329582,0,0.00528002616181219,0,0,0,0.00921428087759218,0,0,-0.0701389269411277,0,0,-1.73472347597681e-18,-0.0150897827668878,0,0,-0.037661773190522,0.0968968088846625,0,0.0438005275036315,0,0.0665804700125048,0,0,0,0.0551156204915678,-0.0971554856693059,0,0,0,0,0,0.0170023510621398,0,0,0,0,0,0.0383473504609375,0,0,0,-0.0144258653889427,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.161256932017043,0,0.00577335878759826,0,0,0.102978062035803,0,0,0,0,0.00553188485113698,0,-0.101752168857192,0,0.00743857717790776,0,0.0628626265686311,0,0.0195918809756722,0,0.00884621543785543,0,0.0572288670074464,-0.00853925951300465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401553685220551,0,0,0,0.0186064333041394,0,0
