,X600519.SH,X600104.SH,X000651.SZ,X000858.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X000568.SZ,X002475.SZ,X600703.SH,X600741.SH,X300003.SZ,X601877.SH,X600271.SH,X002008.SZ,X600487.SH,X000596.SZ,X002236.SZ,X300124.SZ,X002007.SZ,X000100.SZ,X600809.SH,X002456.SZ,X002179.SZ,X600867.SH,X600566.SH,X000661.SZ,X600498.SH,X300146.SZ,X000625.SZ,X600066.SH,X000157.SZ,X300142.SZ,X002294.SZ,X600177.SH,X002506.SZ,X600089.SH,X002180.SZ,X000977.SZ,X000981.SZ,X600372.SH,X002241.SZ,X600522.SH,X600699.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.428338896526428,0,0,0,0,0,0,0,0,0,0,0,0,0.13403598987576,0,0,0,0,0.0443736225806447,0.00876648211711334,0,0,0,0.071813227068419,0,0,0,0,0,0.0671098470234263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00316189022572471,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0733203404084792,0,0,0,0,0.0245043521523018,0,0,0.258683912431558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151435449144456,0,0,0,0,0,0,0.0506670842013036,0,0,0,0,0,0,0,0,0,0.182423254623729,0,0,0,0,0,0,0,0.00703333405464532,-0.0115779232272149,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.205671125916422,0.0383523401959947,0,0,0,0,0,0.0816300283746008,0,0,0,0,0,0,0.221096925493033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588265511291981,0.0141502297549726,0,0,0,0,0,0
X000858.SZ,0.0952930179997044,0.10953367565188,0,0,0,0,0.100824647202946,0,0,0,0,0,0.250527851014442,0,0,0,0,0,0,0,0,0.136845924961473,0.0403980619071777,0,0,0,0.108840601265168,0,0,0,0,0,0,0,0,0,0,0,0.0224986671686464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131874078291936,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.00624504726627938,0,0,0,0,0,0,0,0,0,0.0260504479645208,0,0,0.622323119362237,0,-0.00972343467900858,0,0,0,0,0,0,-8.67361737988404e-19,0.0679801961591588,0,0,0,0,0,0,0,0,0,0.0957746625975684,0,0,-0.0490021871360952,0,0,0,0,0,0.019707850521791,0.0563021795366087,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282185196721522,0,0,0.278690949984587,0,0,0,0,0,0.150877489491546,0,0.153709519181423,0,0.0585914076811812,0,0,0,0.057290060980172,0.00455870458927163,0,0.234470675616475,0,0,0,0,0.0997828251886822,0,0,0,0,0,0,0,0,0,0,0,0,0.0272353843868451,0.0273313339049486,0,0,0,0,0,0
X002304.SZ,0,0,0,0.552038881690188,0,0,0,0,0,0.127198215456202,0,0,0.258544943140193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159146068176426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00882577496717713,-0.00388073073743982,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135441236177171,0,0,0,0.0660590934174282,0,0,0,0,0.203897958065019,0,0.0463734931270692,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.0343968632356464,0,0,0.0849008998659189,0,0.447608454961578,0,0,0,-0.0120436907645838,0,0,0,0,0,0,0
X600690.SH,0,0.0430328799922503,0,0,0,0,0,0,0,0,0,0,0.0276798812100868,0,0,0.0240399043801377,0,0,0,0,0,0,0.108159973398817,0.169597207174237,0,0,0,0,0,0.0927386056233043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355236235118713,0.0219064115102777,0,0,0,0,0,0,-0.00274117768651641,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129965973142697,0,0,0,0,0,0,0.452895476330215,0,0,0,0,0,0.0858918035927776,0.27447995233322,0,0,0,0,0,-0.134958112248991,0,0,0,0,0,0,0,0,0.140611788165192,0,0,0,0,0.0720942976709756,0,0,0,0.0317336160140448,0,0,0,0,0,0,0
