,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002475.SZ,X002304.SZ,X600276.SH,X600690.SH,X300014.SZ,X600104.SH,X002129.SZ,X000651.SZ,X002371.SZ,X000625.SZ,X300124.SZ,X000725.SZ,X002049.SZ,X600031.SH,X003816.SZ,X000596.SZ,X002241.SZ,X000063.SZ,X600703.SH,X000338.SZ,X002179.SZ,X600089.SH,X000661.SZ,X600522.SH,X601877.SH,X002180.SZ,X002074.SZ,X300142.SZ,X000733.SZ,X600741.SH,X600884.SH,X000100.SZ,X600460.SH,X600702.SH,X000157.SZ,X600584.SH,X000799.SZ,X002236.SZ,X600563.SH,X002176.SZ,X601799.SH,X002414.SZ,X600418.SH,X600183.SH,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.256468247402489,0,0,0,0,0,0,0,0,0,0,-0.045321191124832,0,0,0,-8.12607338943056e-05,0,0,0,0,0,0,0,0,0,0.0127956260704142,0,0,0,0,0.0557899619188226,0,0,0,0.0572079168893492,0,0,0,0,0,0,0,0,0,0.00929989742396904,0,0,0,0,0.0202369190321235,0,0,0,-0.0039084189972021,0,0
X000858.SZ,0,0,0.259285624160359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146772535707499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433298581191987,0,0,0,0,0.251160164948077,0,0,0,0,0,0.0424757840344361,-0.0616341520944644,0,0,0,0,0,0,0,0,0,0,0.0040871500980437,0,0
X600809.SH,0,0.139063120993733,0,0.261820029530549,0,0,0,0,0.0134801275259493,0,0,0,0.0669102939400078,0,-0.063782123682106,0,0,0,0,0,0.0243022755143894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138365009134198,0,0,0,0.189914781304497,0,0,-0.0614200605216993,0,0,0,0,0,0,0,-0.00342694654678973,0,0,0,-0.0179165084960374,0,0
X000568.SZ,0,0,0.254351179081309,0,0,0.0768327349512738,0,0,0,0,0,0,0,-0.0294071209877569,0,0,0,0,0,0,0.00656293009076599,0,0,0,0,0,0,0.0601222548252711,0,-0.00973736512004123,0,0,0,0,0,0,0,0,0.327358238382347,0,0,0,0,0,0,0,0,0,0,0,0,-0.000874854281764541,0,0,0,0,-0.0121889835999896,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0313469776286163,0,-0.0688265580698293,0,0,0,0,0,0,0,0,0.0199375859569389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752252187698232,0,0,0,0.719088755753906,0,0,-0.0521559793677111,0,0,0,0,0,0,0,0,0,0,0.0132907401272427,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00663850486380427,0,0,0,0,0,0,0.279629855831948,0,0.143975155160364,0,0,0,0,0.0304613202436874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187522797122947,0,0,0,0.0320615635233295,0,0,0,-0.0279148263368781,0,0,0,0,0,0,0
X002304.SZ,0,0.180562996271997,0,0.205674348318784,0.0168038583256475,0.034258864026102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278153451716286,0,0,0,0,0.0507091705745486,0,0,0,0,0,-0.0305058866787268,0,0.0885447019637721,0,0,0,0,0.109970112987942,0,0,0,0,0.00812030469294089,0,0,0,0.022700586600605,0,5.42101086242752e-20,0,0,-0.0120342301743455,0,0,0,-0.00561186925372044,0,0
X600276.SH,0,0,0,0,0.111518192054125,0,0,0,0,0,0,0,0,0,-0.0042131009316701,0,0,0,0,0,0,0,0,0.0899691978106218,0,0,0,0.117822099441561,0,0,0.112304603770885,0,0,0,-0.00296074534281081,0,0,0,0,0.0616109349023453,0,0,0.325749877022446,0.0466633908169704,0,0,0,0,0,0,0,0,0.0526998035689976,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0995519353047694,0,0,0,-0.0493112515792767,0,0,0,0,0,0,0,0,0.103262945967895,0,0,0,0.0586618760479902,0,0,0,0,0.0999223670327034,0,0,0,0,0.0436910955440535,0,0.112784549124572,0,0.098876072179318,0,0.0948952597699379,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205304626706447,0,0
X300014.SZ,0,0,0,0,0,0.155071072383877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578575126067168,0.11297990731208,0,0.102940454161597,0,0,0,0.138708748269462,0,0,0.0352065912450924,0,0,0,0,0,0,0.127764730206985,0,0.0731457130985733,0,0,0,0,0,0,0,0,0.00102339286143521,0,0
