,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X600031.SH,X002304.SZ,X000568.SZ,X600809.SH,X000725.SZ,X000063.SZ,X000661.SZ,X600690.SH,X003816.SZ,X002241.SZ,X000338.SZ,X000596.SZ,X600703.SH,X002007.SZ,X300124.SZ,X300014.SZ,X300142.SZ,X002371.SZ,X600741.SH,X000100.SZ,X002049.SZ,X002129.SZ,X000625.SZ,X000157.SZ,X601877.SH,X002236.SZ,X300003.SZ,X600584.SH,X002414.SZ,X600183.SH,X000800.SZ,X002179.SZ,X300136.SZ,X000066.SZ,X000977.SZ,X601799.SH,X600118.SH,X002456.SZ,X002185.SZ,X000050.SZ,X000547.SZ,X002008.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0.153157924815641,0.265052363954569,0,0,0,0,0,0,0,0.0539241502000367,0.0287094057095185,0,0,0,0,0,0,0,0,0,0,0,0,0.0146849720957647,0,0.0849607436842219,0,0,0,0,0,0,0,0.0302982033199793,0,0,0,0,0,0,0,0,0,0.0117840640241185,0,0,0,0,0,0
X000858.SZ,0.101169263839346,0,0,0,0,0,0,0,0.150262160834207,0.0464380388521341,0.414244480161636,0,0,0,0,0,0.0322829038657248,0,0.00821031958858653,0,0,0,0,0,0,0,0,0.00468194024494317,0,0,0,0,0,0,0,0.0407824248240739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359432504393926,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.106906564712277,0.0336232033472983,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0758131848162118,0,0,0,0,0.0219594614696526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288726874094893,0,0,0.0117779683989641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231193756370214,0,0,0,0.00580373173954412,0,0,0,0.0221271400376256,0,0.0924277567575941,0.00463550957904734,0.0973827219559222,0,0,0,0,0,0.225626362770032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0741911912606031,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.00996495339775286,0,0,0,0,0,0,0,0,0,0.0897435533224281,0,0,0,0,0,0.212149766792559,0,0,0,0,0,0,0.0520307036771442,0,0,0,0,0,0,0,0,0,0,0,-0.0314319882631219,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17064794373684,0,0,0,0,0,0,0,0,0.00639647009433105,0.0281039974204484,0,0,0.0160169295301026,0.0410310773005323,0,0,0,0,0,0,0,0,0,0.0412379623929482,0,0,0,0,8.67361737988404e-19,0,0.100315261314784,0,0,0.0238708972527807,0,0,-0.0543608050620194,-0.017050076058674,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894826571298621,0,0.0592571721797356,0,0,0,-0.0102412408927181,0,0,0,0,0,0.041477574146319,0,0,0,0,0,0,0.0932084694492346,0.0484861997248316,0,0,0.16924683415686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249841841979379,0.0529224703019016,0,0,0,0,0,0,0.0630483391658247,0,0,0.0437142920402158,0,0.343967509044697,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0195656548040507,0,0,0,0,0,0
X002304.SZ,0,0.290185984208081,0,0,0,0,0,0,0,0.246923801264443,0.0302313899574074,0,0,0,0,0,0,0,0.0808749843536196,0,0,0,0,0,0,0,0,0,0.185030329429791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000780336681067833,0,0,0,0,0,0
X000568.SZ,0,0.212675961410536,0,0,0,0,0,0,0.131850604183311,0,0.137167253416059,0,0,0,0,0,0.0201582414157606,0,0.0620045591180723,0,0.105055428962676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482927312848415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484550590487561,0.00476282914455544,0,0,0,0,0,0
