,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X002475.SZ,X000651.SZ,X600031.SH,X000568.SZ,X600809.SH,X600690.SH,X002304.SZ,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X300124.SZ,X000063.SZ,X000338.SZ,X600703.SH,X003816.SZ,X002241.SZ,X000100.SZ,X000596.SZ,X002371.SZ,X000625.SZ,X600741.SH,X000157.SZ,X002129.SZ,X002007.SZ,X601877.SH,X002179.SZ,X002049.SZ,X600584.SH,X002414.SZ,X002236.SZ,X600183.SH,X000799.SZ,X601799.SH,X300142.SZ,X000066.SZ,X002008.SZ,X000800.SZ,X300003.SZ,X002074.SZ,X600118.SH,X000977.SZ,X600089.SH,X600779.SH,X000547.SZ,X002185.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.368575440922413,-0.0926663825248916,0,0,0,0,0,0.196059989086026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336274180272457,0,0,0,0.078796639206975,0,0,0,0,0,0,0,0,0,0,0,0.0264093862573747,0,0,0,-0.0122820733570411,0.033384245821111,0,0,0,0.00392415765892053,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.306182744025126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727728285623855,0,0,0,0,0,0,0,0.0654296737125404,0,0,0,0,0,0,-0.0102504912773818,-0.0249859905591957,0,0,0,-0.00399114662830212,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.087912925206087,0,0,0,0,0,0,0.0139437026596606,0,0.218515535271047,0.200044469925509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593311437806773,1.0842021724855e-19,0,0,0,-4.55656548730895e-05,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376595051357997,0,0,0,0,0,0,0,0,-0.0359832135987569,0,0,0,0.126188715374808,0,0.0295129301243961,0,0.0142149869577973,0,0,0,0,0,0,0.0102500614025157,0,0.0305121200712026,0,0,0.00959782791796835,0,0,0,0,0,0,0,-0.00542861477914459,-0.0114804917740317,0,0,0,0.00493800429844394,0,0
X002475.SZ,0,0,0,0,0,0,0.164251609023486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375830318466277,0,0,0,0,0,0,0,0,0,-0.0747591770258734,0,0,0,0,0.0581755572715945,0,0.0452069201062541,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226528448593164,8.67361737988404e-19,0,0,0,0.0184293127672312,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0545315841471143,0,0.17578470195866,0,0,0,-0.0805401499510282,0,0,0,0,0,0,0,0,0,0,0,0,0.20687906147545,0,0,0,0,0,0,0,0,0,0,0,0.0338321162298882,0,0,0,0,0.155627480639925,0,0,0,0,0,0.0799586973775843,0,0.00711754087364083,0,0,0,0,-0.0132937171333135,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.123770811067445,0.0441357757766061,0,0,0,0,0,0,0,0,0,0,0,0.0671305884151684,0,0,0,0,0.195791455913779,0,0,0,0,0,0,0,0,0,0.051099089417673,0.136667679796436,-0.0198069959600739,0,0,0,0,0.0942964935305488,0,0,0,0,0,0,0,-0.023514072220647,0,0,0,0,-0.00337094403548986,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0.425020101201402,0,0,0,0,0,0,0,0,0,0.0189773079507167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205274354133214,0,0,-0.040457428508328,0,0,0,0,0,0,0,0.158440159997347,0,0,0,0,-0.030903407285121,0,0,0,-0.00817387511444529,0,0
X600809.SH,0,0.15146425005887,0,0,0,0,0,8.67361737988404e-19,0,0,0.0813610018801603,0,0,0,0,0,0,0,0,0,0,0,0.181269089892233,-0.0583227645343441,-0.0497541823184748,0,0,0,0,0,0,0,0,0,0,0,0.109625102160505,0,0,0,0,0,0,0,0,0,0,0.0044427243532504,0,0,0,-0.0162654566306074,0,0,0,0,0,0,0
X600690.SH,0,0,0.158036024894879,0,0,0,0.149857978177903,0,0.275444103976844,0,0,0.0623821127133573,0,0,0,0,-0.00727670920695845,0,0,0,0,0,0,0,0.014289183229497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181283960090002,0,0,0,0,0,0,0,0,0.0371523967508027,0,0,0,-0.0152741699372651,0,0
