,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X000625.SZ,X300124.SZ,X002304.SZ,X003816.SZ,X600104.SH,X000725.SZ,X002371.SZ,X000063.SZ,X000338.SZ,X000596.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002241.SZ,X600372.SH,X002129.SZ,X002236.SZ,X000661.SZ,X000157.SZ,X002049.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600183.SH,X002463.SZ,X002007.SZ,X600522.SH,X000800.SZ,X002028.SZ,X600460.SH,X601799.SH,X002074.SZ,X002294.SZ,X600418.SH,X300142.SZ,X002156.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.146160695058538,0.292444345784879,0,0.0726878708831006,0,0.00572593890308053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183060585604227,0,0,0,0,0,0,0.00100010523162793,0.150726633474341,0,0.049321704867188,0,0,0,0,0,0,0,-0.00330776274212486,-0.00531499842650843,0,0,0,0,0,0
X000858.SZ,0.163279385552566,0,0,0,0,0.408174850506534,0,0.0407895101850842,0,0,0,0,0,0,0,0,0,0,0,0,0.0605408736914352,0,0.0600881943530462,0,0,0,0,0.030675815814027,0,0.00236420290697973,0,0,0,0,0,0,0,0,0,0.0421112974080233,0,0,0,0,0,0,0.00286024380231239,0,0,0,0,0,-0.0047286130955224,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0534696031258464,0,0,0,0,0,0,0,0,0,0.0428863651373366,0,0,0.036959123751006,0.136424913535046,0,0.063225890566083,0,0,0,0,0,0,0.0206128274267151,0,0,0,0,0,0,0,0,0,0,0,0.00505683126765982,0.0225500483710275,0,0,0,0.0125515956427702,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.149036137563068,0,0.00371677769775261,0,0,0,0,0,0,0,0.121529102518397,0,0,0,0,0,0,0,0,0,0,0,0.162388279047793,0,0,0.0168414956010319,0,-0.0477144733348306,0,0,0,0.0680579551731257,0,0,0,0,0,0,0.141086355800542,0,0,0.00712963510932841,0.0766687105518078,0,0.0182582199574962,-0.0252420477055697,0,0,0,0,0,0
X600809.SH,0.171267468493489,0,0,0,0,0.43423033461218,0,0,0,0,0,0,0,0,0,0,0,0,0.223214988872729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606142080743006,0,0,-0.0614025739867602,0,0,0,0,0,0,0,0,0,0,-0.0127697554226613,0.0247375071212427,0,0,0,0,0,0
X000568.SZ,0,0.301884353484983,0,0,0.581516141693148,0,0,0,0,0,0,0,0,0,0,0,0,0.0226752307467818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0268095192143198,0,-0.140364907978797,0,0,0,0,0,0,0,0,0,-0.0396443355419523,0,0,0,0,0.00855934018043589,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841056004474103,-0.0549320033051769,0,0,0,0.287553690352044,0,0,0.0319561939431394,0,0,0,0,0,-0.075583481726167,0,0.00783800681538561,0,0,0.0972033845088111,0,0,0,0,0,0,0.0755642232916989,0,0,0,0,-0.00902024074211954,0.0373254388795016,0,0,0,0,0,0
X600690.SH,0.0257737454394486,0.00563682436399138,0,0,0,0.364744187129531,0,0,0.0760933250549518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428698608155904,0.00863360459603776,0,0,0,0,0,0,0,0,0,0.00272018501792852,-0.00783586625856431,0.0372724546567119,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.204113522857483,0,0.0179143219637067,0,0,0,0,0,0,0,0.0291666623323834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00719108046904251,0,0,0.0638914513294588,0,0,0.00703992162574088,0.032451295567077,0,0,0,4.33680868994202e-19,-0.0365266430392659,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0810685954987444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379727152368124,0,0,0.0650862113211856,0,0,0,0,-0.0288789116024503,0,0,0,0,0,0,0,0,0,0,0,0.0502026758887729,0,0,0.00783663314181474,0,-0.163712404206099,0,3.46944695195361e-18,0,0.336311612751671,0,0,0,0,0.00606421349863324,-0.00983971988897024,0,0,0,0,0,0
