,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X002241.SZ,X000338.SZ,X600066.SH,X002236.SZ,X000100.SZ,X601877.SH,X600271.SH,X300124.SZ,X002508.SZ,X600089.SH,X600118.SH,X002456.SZ,X002085.SZ,X000157.SZ,X600177.SH,X600522.SH,X600372.SH,X002007.SZ,X300003.SZ,X300136.SZ,X000981.SZ,X600487.SH,X002294.SZ,X600867.SH,X002074.SZ,X600699.SH,X000066.SZ,X002008.SZ,X002180.SZ,X000559.SZ,X002426.SZ,X002292.SZ,X600566.SH,X600809.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.116603061693515,0,0,0,0,0,0,0,0,0.191771569781024,-0.029045058855281,-0.0322013552401265,0,0,0,0,0,0,0,0,0.0583775058004588,0,0,0,0,0,0,0,0,0,0,0,0.000914030880002314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1578310916335,0,0,0.00530328927993253,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685160946271292,0.0791756772565803,0,0,-0.0381027123128194,0,0,0,0.0231569621423392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153714241519306,-0.00460921092227908,-0.00855327799419303,0,0,0,0,0,0
X002415.SZ,0,0,0,0.224880214685326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168392549859523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140258950992898,0,-0.0231072793816381,0.0508064198343457,-0.0910117581833812,0,0,0,0,0,0.0217424032383998,0,-0.0116301455276291,0.00258510797269168,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0117189701665363,0.288799996901934,0,0,0,0,0,0,0.0042540780768004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445587223277269,0.0120595444580401,0,0.0165411935586649,-0.00410313021938803,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0242656678753683,0,0,0,0.210311829039232,0,0,0,0,0.260689561359714,0,0,0,0,0,0,0.130626011479839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192290144355312,0,0,0,0,-0.120089884041313,0,0,0,0,0,0,0,0,0.00191149438866293,0.00379729527346199,0,0,0,0,0,0
X000725.SZ,0,0,0,0.179636414353389,0,0,0,0,0,0,0,0,0,0,0,-0.0409267029666033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109484066595343,0,0,0,0,0,0,0,0,0,0,0,0,0.138597133986665,0,0,0,0,0.106098608071966,0,0,0,-0.023029692142298,0.00806427757826567,0,0,0,0,0,0
X600276.SH,0,0,0,0.129704135527809,0,0,0,0,0,0,0,0.184315148376697,0,0,0,0,0,0,0,-0.0696832071030453,0,0,0,0,0,0,0,0.0467654567594627,0,-0.109285068451478,0,0,0,0,0,0,0,0.0706494173076799,0,0,0,0,0,0,0,0,0,0,0,0.0713883911913764,-0.0705654201896283,0,0.0035857410726602,-0.037089623934554,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0227051236849922,0,0,0,0,0,0,0,0.370411576493907,0,0,0,0,-0.010672859475123,0,0,0.21456697616267,0,0,0,0,0,0,0.0888632602399615,0,0,0,0,0,0,0,0,0,0.0998520719502551,-0.00773450144310697,0,0,0,0.0645209953836912,-0.0312713177810401,0,0,0,0,0,0.0709832075608141,0,0.00958919574779399,-0.00176232244013761,0,0,0,0,0,0
X000625.SZ,0,0.0186897813250172,0,0,0,0.0672124174250066,0,0,0,0,0,0,0,0.278800046871986,0,0,0,0,0.0582934657558849,0.120643780550229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054501427891049,0,0.026744165848525,0,-0.0298227911777592,0,0,0,0,0,0,0,0.0584427174902896,0,0,0,0,0.00809702675022584,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.038238002697374,0,0,0.0344900351646695,0,0,0,0,0,0,0,0,0,0.00127990132465312,0,0,0,0,0,0,0,0,0,0,-0.0872312244292533,0,0,0,0,0,0,0.0738013896944131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239619688688152,0,0.00580566532830179,-0.00855635747362885,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0550889272874025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171545651481088,0,0,0,0,-0.182659535723086,0,0,0,0,0.090830993679227,0,0,0,0.0465688455603085,0,0,0,0,0.0624546865321412,0,0,0,0,-3.46944695195361e-18,-0.023105803928342,-0.078977022393969,0,0.000538208055997668,0,0,0,0,0,0,0
X600703.SH,0,0,0,0.10669703483976,0,0.0243590984579069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677586294752807,0,0,0,0,0,0,0,0.134419731829984,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000355641015621858,0.0243446837224288,0,0,0,0,0,0
X000568.SZ,0,0,0,0.0746668585315499,0.408234803332371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407310719864861,0,0,0,0,0.00136116863649848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0862066928738186,0,0,0,0,0,0,0.230252342296626,0,0,0.00908559506155318,0,0,0,0,0,0
X600741.SH,0,0.249432187806084,0,0.0461894960714887,0.0766988684844145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119440196765969,0,0,0.00785501440237267,0,0,0,0,0,0,0,0,0,0,-0.0118448663425663,0.00715172593339552,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.12660766965159,0,0,0,0.0100685897275157,0,0,0,0,-0.158860464781383,0,0,0,0,0,0,0,0,0,0,0,0,0.317983048631282,0,0,0,0,0,0,0,0.254523501540032,0,0,0,0,0,-0.0328576630820523,-0.0350791086763447,0,0,0,0,0,0,0.0191838737168432,-0.00532185643095037,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,-0.0285547732756917,0,0,0,0,0,0,0,0,0,0.0921190387560769,0,0,0.135156160234692,0,0,0.172284367702845,0,0,0,0,0,0,0,0,0,0.0131448843254802,0.0730160363450799,0,0.109911412507756,0,0,0,0,0,0,0,-0.0278486411201684,0,0,0,0,0,0,0,0.0140632738564205,-0.00142365435778447,0,0,0,0,0,0
X002241.SZ,0,0,0,-0.07249308578451,0,0.169008401064046,0,0,0,0,0,0,0,0,0,0.428377044846281,0,0,0,0,0,0,0,0,0.0446304782091735,0,0,0.100734661435701,0.11811296922467,0,0,0,0,0,0,0.138234207179587,0,0.158651543198725,0,0,0,0,0,0,0,0.0673436714487386,0,0,0,0,0,0.0309230947595186,-0.000929143636984712,0,0,0,0,0,0
