,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002475.SZ,X600741.SH,X002236.SZ,X600031.SH,X000625.SZ,X002456.SZ,X000338.SZ,X002241.SZ,X002008.SZ,X600487.SH,X300136.SZ,X601877.SH,X600066.SH,X000100.SZ,X600522.SH,X600809.SH,X300124.SZ,X002508.SZ,X002294.SZ,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X600089.SH,X000981.SZ,X600498.SH,X600177.SH,X600699.SH,X000157.SZ,X300142.SZ,X600584.SH,X000596.SZ,X600118.SH,X000661.SZ,X000050.SZ,X002049.SZ,X600566.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.389251075339281,0,0,0,0.0312188067751458,0,0.0253970831614723,0,0,0,0,0,0,0,0,0,-0.0175423382692091,0.0389443767080006,0,0,0.148601324665349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00109098303015911,0.0288044325963351,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0264896742852932,0,0,0.0950067958800126,0.202349726225061,0,0,0,0,0,0,0.0376442806026271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0391661858632122,0,0,0,0.0449821912428907,0,0,0.0126562661625789,0,-0.0189130808338343,0.0198644235458827,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0791702122650222,0,0,0,0,0.0892751898860727,0,0,0,0,0,0.208247964485105,0.0932129171214921,0,0.0567297202605572,0,0.0152605601987573,0,0,0.136138251390698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355051508186422,0,0,0,0,0,0,0,0,-0.00667428732633197,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.16569252557756,0,0,0,0.141010150450194,0,0,0,0,0,0,0,0,0.063960332496633,0.0338290645937575,0,0,0,0,0,0.302221340361842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240266602515963,0,0.0232985863891612,0,0,0,0,0,0,0,0.000724168530913218,0.00103749821444143,0,0,0,0,0,0
X000651.SZ,0,0,0,0.254499180733316,0,0,0,0,0.0360292974247665,0,0,0,0.00968524712803959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088691095530534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842695873001714,0,0,0,0,0,0,0,0.071698766570104,0,0.00789042963611665,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.322911396991265,0,0,0,0.0520193020641062,0,0,0,0,0,0,0,0,0,0.0809213567756256,0,0,0.146113332705267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925675094347361,0.125076376871434,0,0,0,0,0,0,0,0,0.0378092117459955,0,0,0,0,0,0
X600276.SH,0,0,0.0313711471129796,0,0,0.17536360250497,0,0,0,0.0593848656713654,0.0191774328655205,0,0.103730101374007,0,1.73472347597681e-18,0,0,-0.1340270678868,0,0,0.019495625056278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147058532880903,0,0,0,0.0427784987626305,0,-0.0408567265173312,0,0,0,0,0.031302541846132,0,0,0,0,0,0
X002304.SZ,0.213059167089938,0,0,0,0,0,0,0,0,0,0,0.0941192922570805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147215847808374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110843698079404,0.0416113100825951,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.275150183877968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422748821580539,0,0,0,0,0,0,0,0,0,0,0.134098256921991,0,0,0,0,0.275977752878372,0,0,0,0,0.00370131200652113,0,0,0,0,0.0282505614410224,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.143559750819852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273485657975243,0,0,0.0488635825901315,0,0,0,0.0826327085279174,0,0,0,0,0,0,0,0,0,0.282776123356406,0,0,0,0,0,0,0,0.137894600249447,0,0,0,0,0,-0.0337979611218852,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0622343969440945,0,0,0.117649361269605,0,0.0324405263882775,0,0,0,0,0.15203105818387,-0.074538886003114,0,0,0,0,0.172614204270072,0,0,0,0,0.115830605818376,0.240888409467071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166588055605452,0,0,0,0,0,0,0,0,4.33680868994202e-19,8.67361737988404e-19,0,0,0,0,0,0
X000568.SZ,0,0,0,0.161442988422855,0,0,0,0.0262208837008388,0,0,0,0,0,0,0.0875630500194399,0,0,0,0,0,0.121177943654042,0,0,0,0,0,0,0.118217165482231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115517953355384,0,0,0,0,0,0,0,0.0109833968934471,0,0,0,0,0,0,0
X002475.SZ,0,0.0384892514078722,0,0,0.0334729830196863,0.0291082110288044,0,0,0.187408833104088,0,0.0530456312284824,0,0,0,0,0,0,0.128106136927903,0,0,0.19009935712668,0,0.0212403586137042,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.025618601508123,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247133458664562,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546300161316023,0.258750597631278,0,0,0.039177835780355,0,0,0.0892532904645832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351251918184365,0,0,0,0,0,0,0,0,0,0,0.0195615694751493,0,0,0,0,0,0
X002236.SZ,-0.116503819722919,0,0.508908536410145,0,0.181907481636145,0,0,0,0.160546732237556,0,0.0878825676304139,0,0,0,0,0,0,0,0,0,0,0.0113339617943655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292170644463198,-0.0179859043667844,0,0,0,-0.205672758529072,0,0,0,-0.0094589411644771,8.67361737988404e-19,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.126620786192899,0,0,0,0,-0.0508485561253497,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.152619497579803,0.132934522755466,0,-0.0679411291904479,0,0.000514440019961157,0,0,0,0,0.00759495499668408,0,0,0,-0.0664338390140979,0,0,0,0,0,0,0,0,0,0,0,-0.010666532273143,0,-0.00241927037614011,-6.7762635780344e-21,0,0,0,0,0,0
