,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X000338.SZ,X002241.SZ,X600031.SH,X002456.SZ,X000625.SZ,X002008.SZ,X600487.SH,X601877.SH,X000100.SZ,X600066.SH,X300136.SZ,X600809.SH,X300124.SZ,X600522.SH,X002508.SZ,X300003.SZ,X600867.SH,X600089.SH,X002294.SZ,X600699.SH,X600498.SH,X002085.SZ,X600271.SH,X000981.SZ,X000157.SZ,X000050.SZ,X600177.SH,X000596.SZ,X300142.SZ,X600566.SH,X000559.SZ,X600584.SH,X600118.SH,X000661.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.150878585326765,0,0,0.0447391027364727,0.0253879135332794,0,0,0.0909999478938784,0,0,0,0,0,0,0,0,0,0,0,0.115268602702912,0,0,0,0.0272110218255841,0,0,0,0,0,0,0,0.0623850007712219,0,0,0,0,0,0,0,0.108932463873627,0,0,0,0,0,0,0,0,0.0080827550053495,0.00493006994354432,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.264574966851049,0,0.0312554141344824,0,0,0,0.0334954345952182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126717288581153,0,0,0,0,0,0.00112712149529527,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109379973893811,0,0,0,0,0,0,0,0,0,0,0.198179920706851,0,0,0,0,0,0,0,0.000674131676251809,0,0,0,0,0,0,0,0,0,0,0.0298007840798868,0,0.0772567840626732,0.0367731388997975,0,0.0147662534740655,0,0,0,0,0,0,0
X000858.SZ,0.0114197908881749,0,0,0,0,0,0,0.11886424419244,0,0,0,0.364966144440526,0,0,0,0,0,0,0,0,0,0,0.0161092370783295,0,0,0,0.246280386409432,0,0.0185644840702723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110784013437556,0,0,0.0112817112238982,0,0,-0.0158488237380361,0,0,0,0,0,0,0
X000651.SZ,0,0.102153937006483,-0.0443771483896462,0.170404118615351,0,0,0,0,0,0,0,0,0,0.096316870183216,0,-0.0738303670502893,0,0.0786876915391149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442399267552997,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.130107306173106,0,0,0,0,0,0,0,-0.0358161139967787,0,0,0,0,0,0,0.194060499571517,0,0.319844852840723,0,0,0,0,0,0.0379064130368741,0,0,0,0,0,0,0,0,0.212138294901243,0,0,0,0,0.046898808303658,0,0,0,0,0,-0.0423172329732914,0.0484279696807704,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0313953885114249,0,0,0,0,0.185257956909384,0,0,0,0,0,0,0,-0.0779090379377352,0,0,0,-0.0239931194485133,0,0,0,0.0384373274943146,0,0,0,0,0,0,0.148806228667646,-0.075266312465341,0,0,0,0,0,0,0,0,0,0,-0.0537010035662605,0,0,0,0,0,0,0.022320526248904,0,0,0,0,0,0
X002304.SZ,0,0,0,0.509012921048465,0,0,0,0,-0.0130642589957573,0,0.075028796664767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0773962639574518,0,0,0,0,0,0.00294087137831904,0,0,0,0,0,0,0,0,0,-0.0687718520599916,0,0.0608901496577427,-0.029581891381399,0,0,0.0274518850567975,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.20651863613331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647423082082967,0.127528593482052,0,0,0,0,0,0,0,0,0,0,0.201867781275166,0,0,0,0,0,0.0234189183618425,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.00674394891451668,0,-0.0281947144136705,0,0.0775462869896738,0,0.111439363932096,0.136026051720033,0,0,0,0,0,0,0,0,0,0,0,0.107845510323712,0,0,0.244868575446714,0.0392728464055866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15870567253736,0,0,0,0,0,0,0,0,0,0,0,0
