,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X300124.SZ,X600104.SH,X000625.SZ,X002304.SZ,X002371.SZ,X000725.SZ,X000063.SZ,X000338.SZ,X000596.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X600703.SH,X000157.SZ,X002236.SZ,X002241.SZ,X002049.SZ,X000977.SZ,X600372.SH,X002463.SZ,X002129.SZ,X600741.SH,X000661.SZ,X600522.SH,X600584.SH,X601877.SH,X002028.SZ,X600183.SH,X601799.SH,X600066.SH,X000800.SZ,X000921.SZ,X002156.SZ,X002007.SZ,X600418.SH,X002180.SZ,X002074.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.100761614602565,0,0.251827682576288,0,0,0,0,0,0,0,0.1754134840977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166704887349414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00145185044672138,0,0,0,0,0,0,0
X000858.SZ,0.13232300082499,0,0,0.0136630369516349,0,0.443560581743303,0,0,0,0,0,0,0,0,7.30686487168727e-05,0,-8.67361737988404e-19,0,0.0163852514806697,0,0,0.0303731152850096,0,0,0,0,0.0180475774791741,0,0,0,0,0,0.0331601748697892,0,0,0,0,0,0,0,0,-0.0518322022886793,0,0,0.0605064055839919,0,0,0.0217661222419853,0,0,0.0228329625542818,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.143216043019959,0,0,0,0,0.169415760692124,0,0.0676718211802174,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0439544252639857,0.132785513166116,0,0,0.0320976234731787,0,0,0,0,0,0,0,0,0,0.0592030216912099,0,0,0,0,0,0,0,0,0,0,0.0763856649757677,0,0,0,-0.0178207769772419,0,0,0,0,0,0,0
X600809.SH,0.222200900505755,0,0,0,0,0.396519185292008,0,0,0,0,0,0,0,0.0284809080448617,0,0,0,0,0.286296987966523,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404718468733098,0,0,-0.089479292215547,0,0,0,0,-0.0114777242541123,0,0.032746007178747,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.076363579748798,0,0,0,0,0,0,0,0,0.0597999035842513,0,0.0682138738060707,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.231838673686217,0,0.18505004532507,0,0,0,0,0,0,0,0,0.057359459726853,0,0,0,0,0,0,0,0.00843338938443532,0,0,0,0,0
X000568.SZ,0,0.702146551614999,0,0.168591507692665,0,0,0,0,0,-0.0381843588512501,0,0,0,0,0,0,0,0,0,0,0.0941283565117045,0,0,-0.0362673503550051,0,0,0,0,0,0,0,0,0.0589842904079167,0,0,0,0,0,0,0,0,0,0,0,-0.027953186371636,0,0,0,0,0,0,0,0.019631915578748,0,0,0,0,0,0
X600690.SH,0,0,0,0.101992774225299,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209503900544134,0,0,0,0,0,0,0,-0.0071635660889087,0.115844971562126,0,0,0.0716191498756285,0,0,0,0,0,0,0,0,0.00970391479039839,-0.0102734268571439,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0551404981358913,0,0,0,0,0,0,0,0,0,0,0.0892304651802968,0,0,-0.0551619193207281,0,0,0,0,-0.0140440307065985,0,0,0,0,0,-0.0112916786791492,0,0,0,0,0,0.156035380737645,0,0,0.201217868451537,-0.0387573775419602,0,0,0,0,0,0,0,-0.0164368188205576,0,0,0,0,0,0
X002475.SZ,0.326069616718789,0,0,0,0.0649345049657739,0.0367985517989056,0,0,0,-0.015192711574951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217701273536009,0,-0.0303699695674401,0,0.514020319349541,0,-0.0200857262518356,0,-0.0682585667504161,0,0,0,0,0.0634880305734887,0,0,0,0,0,0,0,0.129778887789497,0,0,0,0,0,0,-0.0179526081765833,0,-0.0244069743739446,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.0636831280105871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15424513244045,0,0.0909248296105702,0,0,0,-0.243501981729624,0,0,0,0,0.0257954930434504,0,0,0,0,0,0,0,0,0,0.0472890128002296,0,0.355733353718766,0,0,0,0.01290605107179,0,0,0,-0.0421899205983286,-0.000173083871666874,0,0,0,0,0,0
