,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X601877.SH,X600809.SH,X600703.SH,X000100.SZ,X600271.SH,X300003.SZ,X000157.SZ,X002007.SZ,X002236.SZ,X300142.SZ,X300124.SZ,X002008.SZ,X000625.SZ,X002179.SZ,X600177.SH,X000977.SZ,X002371.SZ,X600498.SH,X600776.SH,X002506.SZ,X600487.SH,X600867.SH,X000066.SZ,X600183.SH,X300146.SZ,X000050.SZ,X600066.SH,X002129.SZ,X600118.SH,X600522.SH,X002049.SZ,X600566.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.163209421961061,0,0,0,0,0,0.0576080536677013,0,3.46944695195361e-18,0,0,0,0.0532112415848955,0,0.0747255870607737,0,0,0,0,0,0,0,0,0,0,0.0505186457137875,0,0,0.0230777644034007,0,0,0,0,0,0,0,0.0695879147546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0192183504929862,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0467200445904168,0,0,0,0,0,0.209994567519127,0.070353867081158,0,0.030156618376553,0,0,0.456433120833093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174898644115328,0,0,0,0,0,0,0,0,0,0,0,0.0328699958285074,0,0,0,0,0,0,-0.0194831695740339,0,0,0,0,0,0,0
X000651.SZ,0,0.133290824224369,0,0,0,0,0.114734693316558,0,0,0,0.0616422707266642,0,0.00316800781922938,0.112037333765826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359647637623104,0,0.0199398762444368,0.0307679902164557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394742059942844,0,0,0,0,-0.0191516501398404,0,0
X600104.SH,0,0,0.160717115938567,0,0,0.0906160040815922,0,0,0,0.0708093629836211,0.0173114502290662,0,0,0,0.00143577402922522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583038357678757,0.0976021502682882,0,0,0,0,0,0,0,0,0,0.120413461227071,0,0,0,0.0827267309377075,0,0,0,0,0,0,0,-0.0282747894531648,0,0,0,0,-4.33680868994202e-19,0,0
X600276.SH,0,0,0.10077112147991,0,0,0,0,0,0,0,0,0,0,0.226217918972469,0.0436055078977383,0,0.121025573669319,0.0641576970637369,0,0,0,0,0,0,0,0,0.03749597161852,0,0,0.000528345270022096,0,0,0,0,0,0,-0.0264924615923946,0,0,-0.0197071687677096,0,0.0929581078725379,0,0,0,0,0,0,0,0,0,-0.0116925882314365,0,0,0,0,-0.00648919948528148,0,0
X002415.SZ,0,0,0.0510211549672563,0,0,0,0,0.0231332375029824,0,0.0475261412196927,0,0,0,0.0665793341583298,0.0959161905306724,0,0,0,0,0,0,0,0,0,0,0.453643998924637,0,0,0,0,0,0,-0.0176716472968687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337587535407559,0,0,0,0,-0.0359105430301196,0,0
X002304.SZ,0,0.137813329659714,0.215133964975158,0,0,0,0,0,0,0,0.0495728297038801,0,0,0,0,0.204568909713431,0,0,0.114134661359514,0,0,0,0,0,0.116917182123287,0,0.0153876662295334,0,0,0,0,-0.00904928291028021,0.0209914889573977,0,0,-0.00943243390218411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353581680741655,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146081791175142,0,0,0,0,0,0.146382996860613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131379752553835,0,0.121019074907166,0.0850121094793832,0,0.0033366530306253,0,0.159649488047132,0,0,0,0,0,0,0,0,0,0,-0.0557724017377011,-0.0651601130501183,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190133390840464,0.00574911909360175,0,0,0,0,0,0,0,0.0111776203725343,0,0,0,0,0,0.07246335330983,0,0,0,0.0602910612637936,0.194129745431925,0,0.129841311481845,0,0.125728807476,0,0,0,0,0,0,-0.0297188552614446,0,0,0,0,0.0393775833454709,0,0
X000568.SZ,0,0.322643388669658,0,0,0,0,0,0,0,0,0,0,0.173894903548711,0,0,0.0315375532743644,0,0,0.155862129043754,0,0,0,0,0,0,0,0,0,0,0.0899329749314017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00336708814404671,0,0,0,0,-0.0184901888715548,0,0
