,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X002304.SZ,X000568.SZ,X600104.SH,X600809.SH,X600031.SH,X000725.SZ,X600690.SH,X000661.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X000596.SZ,X300014.SZ,X000338.SZ,X000625.SZ,X600703.SH,X002241.SZ,X000100.SZ,X600741.SH,X002007.SZ,X002371.SZ,X000157.SZ,X002129.SZ,X601877.SH,X002049.SZ,X002179.SZ,X600584.SH,X600183.SH,X002236.SZ,X002414.SZ,X300142.SZ,X000800.SZ,X601799.SH,X300003.SZ,X000066.SZ,X002074.SZ,X002008.SZ,X300146.SZ,X000799.SZ,X002508.SZ,X000977.SZ,X600779.SH,X002456.SZ,X300136.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.142513379431113,0,0,0,0,0,0,0,0.132410662487241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312653162663869,0,0,0,0,0,0,0,0,0.023577763455458,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.00915295917267034,0,0
X000858.SZ,0.123371570176575,0,0,0,0,0,0.126628055979589,0.199753757570967,0,0.0734708080662156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451232030262193,0,0,0,0.048240075970991,0,0,0,0,0,0,0,0.0129799759570794,0,0,0,0,0,0,0,0,0,0,0.0297392155989306,0,0,0,0,0.124545289637879,0.0230352924617515,0,0,0,0,0.0495387581789153,0,0,0,0,-0.00425691461889426,0,0,0,0.0012490019433317,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.00633864113816159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117356120890453,0.0386249516809694,0,0,0,0,0,0.0970229535192028,0,0,0,0,0,0,0,0,0,0.246653928385108,0,0,0,0,0,0,-0.00818003992491631,0,0,0,0,-0.0128483882808333,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.112009189820246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194569369806411,0,0,0,0,0,0.00679463978999562,0,0,0.0580761330197381,0,0,0,0,0.0894570457261225,0,0,0,0,0,0,0,0,0,0,-0.0305225339063943,0,0,0,-0.0213938350549349,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017972354987869,0,0,0,0.403560633428539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136509139199187,0,0.0260131359592219,0,0.0384442197342744,0,0,0,0,0.00610173348027347,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.142612187741119,0,0,0,0,0,0,0,0,0,0,-0.0263467709780012,0,0,0,0,0,0,0,0,0,0.0226085590067786,0,0,0,0,0.0248777544197137,0,0,0,0,0,0,0.0397568285312052,0,0.13109494527802,0,0,0.0365538410611549,0,0,0,0.0168465848873913,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0.0744567948385096,0,0,0.404246991179001,0,0,0,0.0125331711075534,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305808876311564,0,0,0,0,0,0.171969132743015,0,0,0,0,0,0,0,0,-0.00782040864757248,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0838545276138786,0,0,0.137084251641291,0,0,0.00951811397565616,0.0770756072463383,0.115468807017192,0,0.0947732491805846,0,0.15675492686413,0,0,0,0,0,0,0,0,0,0,0,0,0.0309996815873594,0,0,0,0,0.0161547036728727,0,0,0,0,0,0,0,0,0.00884320665855455,0,0,0,0,-0.0188797477039753,0,0
X600809.SH,0,0,0,0,0,0,0.0811916297104833,0.25670819390896,0,0,0,0,0,0,0,0,0,0,0,0,-0.13058900896083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025093910567099,0,0.049944055819614,0,-0.139561100406453,0,0,0,0.110688034829778,0,0,0,0,0,0,0,0.0622527958822263,0,0,0,0.0289002955144483,0,0
