,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X000625.SZ,X600741.SH,X600031.SH,X000338.SZ,X002456.SZ,X600066.SH,X300124.SZ,X000100.SZ,X601877.SH,X300136.SZ,X300003.SZ,X002008.SZ,X002085.SZ,X600809.SH,X600487.SH,X600089.SH,X002508.SZ,X600271.SH,X600177.SH,X600522.SH,X000157.SZ,X600118.SH,X300115.SZ,X600867.SH,X002294.SZ,X000050.SZ,X000981.SZ,X600699.SH,X600372.SH,X000559.SZ,X600498.SH,X600566.SH,X002074.SZ,X002180.SZ,X600525.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.207719398443878,0,0,0.00139491926565478,0,0.026127470194007,0,0.0949717018586888,0,0,0,0,0,0,0,0,0,0.0415616418849188,0,0,0,0,0,0,0,0,0,0.0604617582226208,0,0,0,0,0,0,0,0.0221089207580769,0,0,0,0,0,0,0,0,0.026578824304743,0,0,0.0137993719954592,-0.0244699227638648,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0241351404576542,0.116953232334849,0,0,0,0.38574528354147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130390410001129,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0678141636918552,0,0.257750836233393,0.0145524139653206,0,0,0.0590142899138567,0,0,0,0,0.0336898859229769,0,0,0,0.0938355800307124,0,0,0.0588604780739689,0,0,0.0121789005926445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278127583156565,0,0,0,0,0,0,0
X000651.SZ,0,0.087016660966711,0,0,0.198291866295602,0,0,0,0,0,0.201694252539779,0,0.0679589791719472,0,0,0,-6.93889390390723e-18,0.0954787957267573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217360059396272,-0.0276776952019088,0,0,0,0,0,0,0,-0.0597222111605192,0,0,0,0,0,0,0,-0.0335429206689043,0,0,-0.00983751759527304,0.0194160944051596,0,0,0,0,0,0
X000858.SZ,0,0,0,0.106862011508294,0,0,0,0,0,0,0,0.397789348239889,0,0,0,0,0,0.0106715516128199,0,0,0,0,0,0,0,0.0221640941390115,0,0,0.100995803734507,0,0,0.0879666064529625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880393797024535,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,-0.1331356354699,0.0176107700722966,0,0.124431042651613,0.0128264828297721,0,0,0,0,0,0,0,0,-0.000440594635105489,0,-0.146223417942832,0,0,-0.0178436663961357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131616070630327,0,0,0,0.0454335025438686,0,0.0212369196163453,-0.0210549793146734,0,0,0,0,0,0
X000725.SZ,0,0,0.0818475175602404,0,0,0,0,0,0,0,0.102141081480093,0,0,0,0.0640128433542568,0,0.00707749621588878,0,0.0563266325755041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290180566143723,0.111151549720031,0,0.0119758253177834,0,0,0,0,0.00414523091409565,-0.124130150571334,0,0,0,0,0
X002304.SZ,0,0,0,0,0.429164517578116,0,0,0,0,0,0,0.104623819792624,0,0,0,0,0.0573799444174109,0.0957109395716133,0,-0.180503571600108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0240289990315418,0,0,0,0,0,0,0,-0.0578172053756528,0,0,-0.00701020864415679,0,0,0,0,0,0,0
X000063.SZ,0,0,0.168026451565159,0,0,0,0,0,0,0,0,0,0.112781381318902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273969359062801,0.149215476181533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381877356366215,0.0866812659341227,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0987401391481,0,0,0,0,0,0,0.155145754732357,0.0983345983620121,0,0,0.0203717432954317,0,0,0,0,0,0,0,0,-0.0482297888164179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224672027139721,0,0,0,0,0,0,0,0,0,0,0,0.00739492873583581,0.0166539481841879,0,0,0,0,0,0
