,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X002304.SZ,X300014.SZ,X600690.SH,X600104.SH,X002371.SZ,X000651.SZ,X000725.SZ,X600031.SH,X002241.SZ,X300124.SZ,X600703.SH,X000063.SZ,X002129.SZ,X003816.SZ,X000338.SZ,X000625.SZ,X000596.SZ,X002049.SZ,X601877.SH,X000661.SZ,X002179.SZ,X300142.SZ,X600460.SH,X000100.SZ,X600089.SH,X600741.SH,X002074.SZ,X002236.SZ,X000799.SZ,X600702.SH,X600884.SH,X600779.SH,X601799.SH,X000157.SZ,X000733.SZ,X002414.SZ,X600584.SH,X600183.SH,X600563.SH,X600522.SH,X002007.SZ,X002180.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.394071316700742,0,0.060793829973076,0.0822530321161595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169454137004126,0,0,0,0,0,0,0,0,0,0,0.034678681370019,0,0,0,0,0,0,0,0,0.0394725297820358,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.431494140681886,0.107592082185872,0,0,0,0.0296792740011064,0,0,0,0,0,0,0,0,0,0,0,-0.0293861822401542,0,0,0.0222309458140895,0,0,0.175096135931401,0,0,0,0,0,0.064347550586011,0,0,0.0167536548983759,0.0396293234702263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176707720590605,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.116815162761607,0,0.169267954822708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884050896569788,0,0,-0.0136260601886313,0,0,0,0,0,0,0,0,0,0,0.0682985373922022,0,0,0,0,0,0.0098307570115332,0,0,0.00611331313672782,0.0141326014847497,0,0,0,0.0290793467624535,0,0
X600809.SH,0,0.197588949432396,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148439897429885,0,0,0,0,0,0,0,0,0,0,0.147410115955456,0,0,0.0202662763726047,-0.0640753442721865,0,0,0,0,0.502088017969263,0,0,0,0.0925806377697775,0,0,0,0,0,0,0,0,0,0,0,-0.0340347596100499,0,0,0,0,0,0,0
X000568.SZ,0,0.209292099308298,0,0.0396178653243029,0,0,0,0.109008358666355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0536957541794543,0,0,0,0,0,0,0,0,0,0,0.218981111874922,0.0451327232016605,0,0.0712628902378402,0,0,0,0,0,0,0,0,0,0,0,0,0.036035851688518,0,0,0,0,0.0139637680626876,0,0
X600276.SH,0,0,0,0,0,0,0,0.137485154657804,0,0.128006976075175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084029409170894,-0.252217834206686,0,0,0,0,0,0,0,0.274463819282473,0,-0.17225373388979,0,0,0,0,0,0,0,0,0.0722671493520073,0.081313071939255,0,0,-0.0304913606641627,0.0147407184968616,0,0,0,0,0.0352608900554215,0,0
X002475.SZ,0,0.058659131915632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249424713648921,0.18290262703233,0,0,0,0,0,0,0.000242780357733216,0,0,0,0,0,0,-0.12175536020399,0,0,0,0,0,-0.00698505094414637,0,0,0,-0.0500970313657224,0,0,0,0,0,0.0916126533110724,0,0,0,0,0.0137401764438751,0,0,0,0.0840747046209218,0,0
X002304.SZ,0,0.111814164761852,0,0.196537562572768,0,0,0,0,0,0.179830902848003,0,0,0,0,0,0,0,0,0,0,-0.147254624542788,0,0,0.0581914262207157,0,0,0,0,0,0,0,0,0,0,0,0.146079273120805,0,0,0.0856427723244036,0,0,0,0,0,0,0,0,0,0,0,0,0.0239253504729349,0,0,0,0,-0.042191033835853,0,0
X300014.SZ,0,0.184773300256728,0,0,0,0.0145565612166122,0,0,0,0,0,0,0,0,0,0,0.128981889898805,0,0,0,0,0.0663911762796778,0,0,0,0.102134133343312,0,0,0,0,0,0,0,0,0,0.0255930665789683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950194991526406,0,0,0,0.13352574096329,0,0
X600690.SH,0,0.0400430144724287,0.161305169886268,0,0,0,0,0.088037450785324,0,0,0,0,0.0464090846624433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118094622063604,-0.0516252959729467,0.20138300527054,0.0558704690380838,0,-0.0204458519319904,0,0,0,0,0,0,0.00623384656484573,0,0,0,0,0.0600348191327405,0,0,0,0,0,-0.00908672408865159,0,0,0,0,0,0,0
