,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X300014.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X002371.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002241.SZ,X600703.SH,X000063.SZ,X003816.SZ,X002129.SZ,X000596.SZ,X000338.SZ,X000625.SZ,X002049.SZ,X000661.SZ,X601877.SH,X300142.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600460.SH,X600741.SH,X002074.SZ,X002236.SZ,X600702.SH,X000799.SZ,X601799.SH,X600779.SH,X000157.SZ,X600584.SH,X002414.SZ,X600884.SH,X600183.SH,X000733.SZ,X002180.SZ,X002007.SZ,X600522.SH,X600563.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.495730878649155,0,0.0290052947898622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235929235931577,0,0,0,0,0,0,0,0,0.0709521607094359,0,0,0,0,0,0,0,0,0,0,0,0,0.00564054541793029,0,0,0,-1.24494489415717e-05,0,0,0,0,0,0
X000858.SZ,0.0638370273525127,0,0,0.350503784687042,0.0891671494795476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0877800984433177,0,0,0,0,0,0.211508185224545,0,0,0,0,0.0349791741160582,0,0.0370632958556338,0,0,0.0915622846892277,0,0,0.0298804483047861,0,0,0,0,0,0,0,0,0,-0.00892704421814667,0,0,-0.0144435863671507,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0808578589386859,0.20804963644145,0,0,0,0,0,0,0,0,0,0,0,0.0683913963387282,0,0,0,0,-0.0261409776251433,0,0,0,0,0,0,0,0.124579545620981,-0.0119586667842892,0,0,0,0,0,0.0391192422656734,0.0117492879385265,0,0,0,0,0,0,0,0,0.0245059471038642,0,0,0,0,0.0262792731556985,0,0
X600809.SH,0,0.291751114772446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121849754524705,0,-0.038245829233091,0,0,-0.187232154468112,0,0,0,0,0,0,0.492875477513352,0.0307041613551533,0,0,0,0,0,0,0,-0.0728841082845644,0,0,-0.0133816580189515,0,0,0,-0.057689594944615,0,0,0,0,0,0
X000568.SZ,0,0.175332328817467,0,0,0,0,0,0.0480825642704672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135384784745019,0,0,0,0,0,0,0,0,0,0,0,0.246878396717225,0,0.146810310523022,0,0,0,-0.0170611949223721,0,-0.0340253886919043,0,0,-0.0385667842853159,0,0,0,0.045512956254061,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,-0.00466437963727007,0.139566928346911,0.151935049141448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396934311447056,0,0,-0.20399333085654,0,0,0,0,0,0,0,0.345668923523263,0,0,0,0,0,-0.17809574817397,0,0,0,0,0.0991236297092664,0,0,0,0,0.0193968164390755,0,0,0,0.0640137081678081,0,0
X002475.SZ,0,0.0939441053933789,0,0,0,0,0,0,0,0,0,0,0.0023442423935829,0,0,0.110570631905934,0,0.153102839792267,0,0,0,0,0,0,0.00778700184613341,0,0,0,0,0,-0.107648245147618,0.0685505686313642,0,0,0,0,0,0,0,0,0,0,0,0,-0.052393668870203,0,0.0975168203466314,0,0,0,0,0,0,0,0,0,0.0963584323934999,0,0
X300014.SZ,0,0.135631684613038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186867025080738,0,0,0,0,0.019286445933847,0,0.112099797146767,0,0,0.035291871818282,0.13782039191797,0,0,0,0,0,0,0,0,0.0777130888514212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750708827652723,0,0,0,0.111348133208956,0,0
X002304.SZ,0,0.251537733439304,0,0.210396280881888,0,0,0,0,0,0.123058285165309,0,0,0,0,0,0,0,0,0,-0.091316701590442,0,0.0223135977576618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1432287498527,0,0,0,0,0,0,0,0,0,0,0,0,0.0312033704239235,0,0,0,0,-0.0254188841286739,0,0
X600690.SH,0,0.00213182470334579,0,0,0,0,0,0,0,0,0,0.0498690408122546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466132188362215,0,0,1.73472347597681e-18,-0.144477160207748,0,0,0,0,0,0,0.11308529945387,0.0685419562831642,0,0,0,0,0,0,0,0,0.0659628910020701,0,0,-0.0112063717693756,0,0,0,0,0,0,0
