,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X002304.SZ,X000725.SZ,X000858.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X002292.SZ,X600271.SH,X002241.SZ,X000100.SZ,X600118.SH,X600066.SH,X600031.SH,X002506.SZ,X000559.SZ,X600741.SH,X600372.SH,X002236.SZ,X000157.SZ,X002475.SZ,X002049.SZ,X600089.SH,X002465.SZ,X000568.SZ,X000338.SZ,X300124.SZ,X600177.SH,X600498.SH,X601877.SH,X002456.SZ,X002294.SZ,X300003.SZ,X000869.SZ,X002129.SZ,X600867.SH,X002085.SZ,X002074.SZ,X002426.SZ,X300146.SZ,X000547.SZ,X000977.SZ,X000623.SZ,X600582.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.0491603765105086,0,0,0,0,0,0.107435246449046,0.0112525742960485,0,0,0,0.0210819809391792,0,0,0,0.0051712330048062,0,0,0,0,0,0,0,0,0.0895925320672064,0,0,0,0,0,0,0.0100383820704179,0,0,0,0,0,0,0,0,0,0,0.00209463748894302,0.0112995984146519,0,0,0,0,0,0
X600104.SH,0,0,0,0.0387972030518104,0,0,0,0,0.150849695609605,0,0,0.00181642611731576,0,0,0.120602108213749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724497462895246,0,0,0,0.0402660220796089,0.0138613912188919,0,0,0,0,0,0,0,0.0151888262388042,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389660423696054,0,0,0.0729813945442255,0,0,0.0380658289970944,0,0,0,0,0.444021829569218,0,0,0,0.0959440973312172,0.0168064193301237,0,0,0.0101085841082526,0,0,0,0,0.0193342184542396,0,0,0,1.73472347597681e-18,0,0,0.0719077180672259,0.0371031360395504,0,0,-0.0317826626005426,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148905186685254,0,0,0.184787033653393,0,0,0,0,0,0,0.0362520046347721,0,0.00652045534919129,0,0,0,0,0,0,0,0,0.0437011139195035,-0.0085398413591484,0,0,0,0,0,0
X002304.SZ,0,0.00690044731887138,0,0.0606958040829737,0,0,0,0,0,0.117325672089979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0503602887099709,0,0,0.194310380996023,0,0,0.0463396150442686,0,0,0,0,0,0,0,0.145009816267136,0,0,0,0,0.00525466550734201,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242571539390514,0,0,0,0,0,0.0551595592822801,0,0,0,0,0,0,0,0,0,0,0,0.050209634165637,0,0,0.030072234814564,0,0,0,0.0682705379652554,0,0,0,0,0,0,0,0.300485921634514,0,0,0.00489459761757249,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0381772013897202,0,0,0,0,0,0,0.00170750821247831,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.185341030155653,0,0,0,0.0675315866161527,0,0,0.0492516537679667,0.0121045120820469,0.105947421807237,0,0,0,-0.0116842524569732,0,0,0,0,0,0
X600276.SH,0,0,0,0.141726778983172,0,0,0,0,0,0,0,0,-0.00579098095954862,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0439227412651051,0,0,0,0,0,0,0,0,0,0,0,0.105463451986098,0,0,0,0,0,0,0.0820964094403617,0,0,0,0,-0.0291223569723669,4.33680868994202e-19,0,0,0,0,0,0
X000625.SZ,0,0,0,0.173735250476755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264412683567607,0,0.0322436456986659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.065581550028477,0,0,0.0100991771281802,0.00948213608650012,0.141822473028631,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722139277427501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213743860951898,0.143907812716724,0,0,0,0,0,0,0.111686351657158,0,0,0,0,0,0.0296540051781219,0,0,0.0463595341082053,0,0.00731335454637464,0,0,0,0,0,0,0
