,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X000661.SZ,X600741.SH,X600703.SH,X002241.SZ,X300003.SZ,X000596.SZ,X002236.SZ,X600183.SH,X002007.SZ,X300142.SZ,X601877.SH,X000066.SZ,X000157.SZ,X000100.SZ,X300124.SZ,X002179.SZ,X000625.SZ,X300014.SZ,X000977.SZ,X300136.SZ,X600271.SH,X002463.SZ,X002008.SZ,X002456.SZ,X002371.SZ,X600177.SH,X002506.SZ,X600584.SH,X600066.SH,X002180.SZ,X600867.SH,X000050.SZ,X600498.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0998856560374265,0,0,0,0,0.0779117512381217,0,0,0,0.296849877354184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0625873595876466,0.0258707604849856,0,0,0,0,0.00793371068179148,0,0,0,0,0,0,0,0,0,0,0,-0.00969062856449636,0,0,0,0,-0.0235361044985613,0,0
X000858.SZ,0,0,0,0,0,0,0.079313377795771,0,0,0,0.511010630780369,0,0,0,0,0.00806421238524968,0,0,0.00750657394228512,0,0.0348789117280981,0.045535153164161,0,0,0,0,0,0.00726809217930477,0,0,0,0,0,0,0.0279269381336684,0,0,0,0,0.0413052823459184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295491695759703,0,0
X600276.SH,0.163205260209024,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.113218149296306,0,0,0.0870937594246962,0,0,0.123756551656343,0,0,0,0.0418621247969509,0,0,0,0,0,0.024115972472892,8.67361737988404e-19,0.0166964480366564,0,0,0,0,-0.00361690212138994,0,0,0.0190752846417274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130238222880641,-0.0416663243860266,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,-0.132505820432822,0,0,0,0.139178593146631,0,0,0,0,0,0,0,0,0,-0.0588706152644063,0,0,0.0610761456565508,0.0192122383337005,0,0,0,0,0,0,0.0365434706475425,0,0,-0.157115099327824,0,0.0207146080494996,-0.0460916809637169,0,0,0,0,0,0,0,0,0.232638397120098,0,0.00957233756033578,-0.0357232739003772,0,0,0,0.0629342312452203,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.019969848834426,0,0,0,0,0,0,0,0,0,0,0,0.541921816828011,0,0,0,0.114203064937642,-0.00268256772908858,0,0,0.0468923557305674,0,0,0,0,0,0,-0.027283419039732,0.0357285300835717,-0.0411566495518034,0,0,0,0,0,0,0,0,0,0,0,0.0391778030372853,-0.0472390826833793,0,0,0,-0.0197270979903726,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0947459851585838,0,0,0,0.0701184374616337,0,0.169457827567534,0.0421787705472402,0,0,0,0,0,0,0,0.041885911855944,0,0,0.000464641796200836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00684317955185111,0,0,0,0,0,0,0
X002475.SZ,0,0.194624118206011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153329832550856,0,0,0,0,0,0,0,0,0.105657544745384,0,0,0,0,0,0,0,0.102474421037189,0,0,0.298652823523966,0.102559149131688,0,0,-0.0603715564349483,0,0,0,0,0,0,0,0,0.0126094630425046,0.0159779396872754,0,0,0,-1.73472347597681e-18,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.194809443132373,0,0,0,0,0,0,0,0,0,0.0510423649799996,0.0312576064553205,0,0,0,0,0,0.0361283348020199,0,0,0,0.169851476635399,0,0,0,0,0,0,0,0,0,0,-0.0793085010964146,0,0,0.0833805435363879,0,0,0,0.0988076313848551,0,0,0,0.069003740978219,0,0,0,0,0.0351700094132628,0,0
X002304.SZ,0.237641428496166,0.0462458608554649,0,0,0,0,0.0133772552312807,0.131768967791653,0,0,0,0,0,0,0,0,0,0,0.00149606479027691,0,0,0.0839489938512586,0,0.0111185211949086,0,0,0.0399660254744821,0.00394173224864689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718469369540407,0,0,0,0,0,0.03061991791818,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0605948032711794,0,0.0977806147825558,0,0,0,0,0,0,0,0,0.0689873691836612,0.121644311662263,0,0.11423989487242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116131763060482,0.0146402874725283,0.0947441611677853,0.00983528717215572,0,0,0,0.00481219241762036,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0
