,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600690.SH,X002475.SZ,X600276.SH,X002304.SZ,X000651.SZ,X600104.SH,X002371.SZ,X300014.SZ,X300124.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X000725.SZ,X600031.SH,X000625.SZ,X000063.SZ,X002241.SZ,X002179.SZ,X600703.SH,X000338.SZ,X600089.SH,X600522.SH,X002180.SZ,X000733.SZ,X000661.SZ,X300142.SZ,X601877.SH,X000100.SZ,X600741.SH,X002074.SZ,X600460.SH,X600884.SH,X000157.SZ,X600702.SH,X601799.SH,X002236.SZ,X600584.SH,X002414.SZ,X000799.SZ,X600487.SH,X600563.SH,X600372.SH,X600418.SH,X002176.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0445153972987644,0.0630955270858851,0,0,0,0,0.0365993385033105,0,0,0,0,0,0,0,0,-0.0165262418033108,0,0,0,0,0,0,0,0,0,0,0,0,0.0600842666054024,0,0,0,0,0,0,0,0,0.0646957932728685,0,0,0,0,0.180432227551246,0,0,0,-0.0217501825485548,0,0,0,0.00567397840178552,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0493007573365049,0,0,0,0,0,0,0,0.063486035077507,0,0,0,0,0,0,0,0,0,0,0,0.0223438705793156,0,0,0,0,0,0,0,0,0,0,0.336589508606859,0,0,0,-0.0750466908003325,0,0,0,0,0,0.0267814656239025,0,0.00224457483225694,-0.0050602714233837,0,0,0,0,0,0
X600809.SH,0,0,0,0.194290259596133,0,0,0,0,0,0,0,0,0,0,0,0,0.0752188795527469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113363263622039,0,0,0,0,0.0566349331533747,0.00467310298408113,0,0,0.0510934710744161,-0.122098941973971,0,0,0,0,0,0,0,-0.058182689156478,0,0.191880568361921,0,-0.0185916231511765,0,0,0,0,0,0
X000568.SZ,0,0,0.221549687856561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708178583972014,0,0,0.0233212100960337,0,0,0,0,0.0327553556975305,0,0,0,0,0,0.00124741925474991,0,0,0,0,0,0,0,0,0.337867656378607,0,0,0,0,0,0,0,0,0,0,0,-0.00379790609125572,0.0010638366874095,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0451316119692267,0,0,0,0,0,0,0,0,-0.0628159661620006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319574941601643,0,0,0,0,0,0.0269530405409048,0,0,0,0.513569286122044,0.111064526800535,0,0.0440732255934442,0,-0.0355680163206013,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0
X600690.SH,0,0,0.180524213806701,0,-0.0308195005727878,0,0,0,0,0.252885989276375,0,-0.10429610773253,0,0,0,0,0.00228381114577504,0,0,0,0,0,0,0,0,0,0.232994711750485,0,-0.00327298204882129,0,0,0,-0.201238877883435,0,0,0,0,0,0,0.0154872605083848,0,0,0,0,0,0,0,0,-0.0235443974851517,0.039987210888928,0,-0.0168852875608905,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00212754283376142,0,0.327583553262317,0,0,-0.114307705333154,0,0,0,0.146329525328299,0,0.196096026640574,0,0,0,-0.126630422607863,0,0,-0.187769656727638,0,0,0,0,0,0,0.189396374185893,0,0,0,0,0,0,0.126409602727359,0,-0.0622400329671461,0,0,0,0,0,-0.0964050661028439,0.00270592803257451,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0209598091789702,0,0,0,0,0,0,0,0.033943815072826,0,0,0,0,0,0,0,0,0.0444076777938286,0,0.0729962733623572,0.183690233892674,0,0,0,0,0,0,0.171170636931467,0,0,0,0,0,0,0,0,0,0,-0.0219079072738651,0,0,-0.00946588633249304,0,0,0,0,0,0
X002304.SZ,0,0.219907595027218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00167321430682051,0,0,0,0,0,0,0,0,0,0,0,0.198266337146768,0,0,0,-0.107708554087432,0,-0.0397679606705678,0,0,0,0.0739972836149422,0,0,0.0265798347693227,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030584725156002,0,0,0.0821127899745894,0,0,0.0220984861303307,0,0,0,0,0.050596969685867,0.125430661113202,0,0,0,0,0,-0.0387568539978773,0,0,-0.0247390321123404,0,0,0,0,0,0,0,-0.0415971725984748,0.0952556527546396,0,0,-0.0644794710788233,0,0,0,0,0,0
