,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X300014.SZ,X600104.SH,X600690.SH,X002371.SZ,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X600703.SH,X002241.SZ,X000625.SZ,X002129.SZ,X000063.SZ,X003816.SZ,X002049.SZ,X000338.SZ,X000596.SZ,X601877.SH,X000661.SZ,X002179.SZ,X600460.SH,X600089.SH,X000100.SZ,X300142.SZ,X600741.SH,X002074.SZ,X002236.SZ,X000799.SZ,X600884.SH,X600779.SH,X601799.SH,X600702.SH,X000157.SZ,X000733.SZ,X600584.SH,X002414.SZ,X600183.SH,X002007.SZ,X600563.SH,X600522.SH,X000800.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600031.SH,0,0,0,0,0,0,0.176338169520081,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0634971138884749,0,0,-0.0308060497593311,-0.0605268113435339,0,-0.016046697995853,0,0,0,0,0,0.0196072082556575,0,0,0.618770272777816,0.111878169752318,0,0.158960916657881,0,0,0,0,0,0,0,0,0.0240125845530932,0,0,0,0.0221637749983997,0,0
X300124.SZ,0.0989243494180908,0,0,0,0,0.187471788668346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045053508675701,0,0,0,0.0913674227369632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362437787879331,0,0,0,0,0,0,0,0,0,-0.0596801892234288,0,0,0,-0.00745148693181565,-0.00728987480282014,0,0,0,0.0243982637663156,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0.233311415916074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00939214022138457,0,0.1023741026167,0,0,0,0,0,0,0,0,0,0,0,0,0.334696943972959,0,0,0,0,0,0,0,0,0,0,-0.0627408861829888,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.269112887823476,0,0.0101486895067166,0,0,0,0,0,0,0,0,0,0,0.00555578353634108,0,0.119589154516015,0,0,0,0,0,0,0.108872399031527,0.0896293032054516,0,0.157734709715006,0,0,0,0,0.0740732773948291,0,0,0,0,0,0,0,0,0,0,0.0271023368674634,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0.256044073685428,0,0.0405170300188359,0,0,0,0,0,0,0.0481605626119675,0,0.0334687238690554,0,0,0,0,0.0409961042788948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468509742957873,0,0.192234745384218,0,0,0,0.0461533151423943,0,0,0,0,0.027519394820549,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0.0298394330402428,0,0,0,0,0,0,0.0180097698284343,0.0284732235285914,0.0126053643180335,0,0,0,0,0,0,0,0.339313826573514,0,0.0311586976737529,0,0,0,0.157614628274786,0,0,0,0,0.181903264654825,0,0.0992386406312383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238480439089947,0,0,0,0.00284882805612637,0,0
X000063.SZ,0,0,0,0,0.0468325656964541,0,0,0,0,0,0,0,0,0,0,0,0.432680650371353,0,0,0,0,0.0877725220960212,0.0261719117681534,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141317382789742,-0.0432961874894094,0,0,0,-0.102778056317849,0,0.0128500663748664,0,0.0349096147257818,0,-0.1958343623315,0,0,0,-0.000966476673171298,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0.0414997040816346,0,0,0,0,0,0,0,0,0,0.0559787627029766,0,0,0,0,0,0,0.0616336643166002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550926738004459,0,0,0,0,0,0,0.0477745694954455,0,0,0,0,0,0,0,0,-0.2054789079511,0,0
X002049.SZ,0,0,0,0,0,0,0,-0.12272526382424,0,0,0,0.282534660541402,0,0,0,0,0,-0.0728597244118189,0,0,0,0,0,0,0,0.0449820172038833,0,0,0,0.064605361634997,0,0.0476455899593607,0,0,0,0,0,0,0,-0.0279567105364866,0,0.198466611840746,0,0,0,0.0352998498635266,0,0.119316780145931,-0.0581055096540753,0,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0285767796347762,0,0,0.0234804177572344,0,0,0,0,0,0,0,0,0,0,0,0,0.0160288902424295,0,0.0643075284244198,0,0,0,0,0.0488273670081211,0,0,0,0,0.157809829271055,0.0142458562485049,0,0.289543202288682,0,0,0,0,0.190479754045051,0,0,-2.16840434497101e-19,0.0111471129436441,0,0,0,0.0853183556379855,0,0
X000596.SZ,0,0,0,0,0,0.196166235184755,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11791268673617,0,0,-0.0347390281897789,0,0,0,0,0,0,0,0,0,0.234459135938089,0,0,0,0,0,0.0661969374185756,0,0,0,0,0,0,0.00515726527203697,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35267546123231,0,-0.147625370766468,0,0,0,0,0,0,0,0.201164460671357,0,0,0,0.216845920923934,0,0,0.358621317607877,0,-0.246116680838567,0.0735667778018392,0,0.0512959336960456,0,0,0,0,0.0180645146513195,-0.0291991683079961,0,0,0,0.0155326524515708,0,0,0,0,0,0,0
X000661.SZ,0,0.493525180869742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0536036196590107,0,0,0,0,0,0,0,0,0,0,-0.426238094973278,0.106742921877859,0.0874535191738655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232944903889593,0,0,0,0.0650528809578371,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0.0563712295338172,0,-0.0194440519132924,0,0,0,0,0,0,0.00134994722917745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930164827459784,0,0,0,0,0.21855695880516,0,0,0,0,0.0122827846438384,0.0528984166764442,0,0,0,-0.00259688001147926,0,0,0,0,0,0,0
X600460.SH,0,0,0,0.261761724788456,0,0,0,0,0.143290112853628,0,0,0.167443081836281,0,0,0,0,0,0.0384863761838868,0,0.0307322277523557,0,0,0,0,0,0,0,0,0,0,0,0.0636836112205403,0,0.241081821661126,0,0,0.0180591035437848,0,0.0645714467610474,0.0668339638423378,0,0,0,0,0,0,0,0,0,0,-0.142271287763066,0,0,0,0,0,0.0392393368211989,0,0
X600089.SH,0,0,0,0,-0.157940784263298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114236721020463,0,0.199179987535913,0,0,0,0.167985835703444,0,0.175428655145016,0,0,0.164289257737681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188103455542429,0,0,0,0,-0.139398644990535,0,0
