,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X600104.SH,X000651.SZ,X300014.SZ,X600031.SH,X000725.SZ,X002371.SZ,X300124.SZ,X000063.SZ,X002129.SZ,X003816.SZ,X000625.SZ,X000338.SZ,X002241.SZ,X600703.SH,X000596.SZ,X002049.SZ,X000661.SZ,X601877.SH,X300142.SZ,X600089.SH,X002179.SZ,X000100.SZ,X600460.SH,X600741.SH,X000799.SZ,X000157.SZ,X002236.SZ,X002074.SZ,X600884.SH,X600702.SH,X600779.SH,X601799.SH,X600584.SH,X002007.SZ,X002414.SZ,X000733.SZ,X600183.SH,X000800.SZ,X300003.SZ,X000977.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.461088099317759,0,0.100574896047914,0,0,0,0,0,0,0,0,0,0,0,0.0314925368251016,0,0,0,0,0,0,0,0,0,0,0.056121604280954,0.0149165180024928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00891416883549585,0,0,0,0.0129863217677542,0,0
X000858.SZ,0.287236712170725,0,0,0,0.0857864721900953,0.0784634516758532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124326939379657,0,0,0,0,0,0,0,0.12168663996924,0,0,0,0,0,0.198260329339438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.102081596325161,0,0,0,0,0,0,0.188576160874408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12017635197391,0,0,0,-0.0398283522592685,0.0125662945570026,-0.0232221152260338,0,0,0,0,0,0,0,0,0.0918416499889881,0,0.0714980278855812,0,0,0,0,0,-0.0960696450697878,0,0,0,-0.102380320217032,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.134944663027106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541381215249963,0,0,0,0,0.140348588142284,0,0,0,0,0,0,0,0,0,0,0,0,-0.00699065930744299,-0.0128296151934597,0,0,0,5.42101086242752e-20,0,0
X000568.SZ,0,0.41410405406701,0,0.20187421900612,0,0,0,0,0,0,0,0,0,0,-0.07336076422704,0,0,0,0,0,0,0,0,0,0,0,-0.0199059947038336,0,0,0,0,0,0,0.103209948623212,0,0,0,-0.0130996742296805,0,0.0406336094896512,0,0,0,0,0,0,0,0,0,0,0,0.00369794032788405,0,0,0,0,0,0,0
X600276.SH,0,0.200807178809638,0,0,0,0,0,0,0,0,0,0.223487854928011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288082010278517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0644912411298468,0,-0.0611720842865092,0,0,0,0,0,0,0
X002304.SZ,0,0.0314766140173228,0,0.302644755482972,0,0,0,0,0.0894527690221179,0,0,0,0,0,0,0,0,0,-0.131860517144223,0.0486855670507717,0,0,0,0.00877078083638937,-0.00404477137430889,0,0,0.0191608143599961,0,0,0,-0.0694045211501948,0,0.101167958300246,0,0,0,0,0,0.0752258160258289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.046927903219544,0,0.00807358218172969,0.0924288451866036,0,0,0,0,0,0.0479860818444242,0,0,0.104353345339866,0,0,0,-0.240150387198901,0,0,0.0403205414100748,0,0.0319775124644007,0,0,0,0,0,0.0142969739734163,0,0,0,0,0,0,0,0,0,-0.0985009606190504,0,-0.00580255139858829,0,0,0,0,0.0165649663789192,0,0
X600690.SH,0,0,0,0,0,0.0306447769480056,0,0,0,0,0,0.0664733846486577,0,0,0,0,0,0,0,0,0,0,0,0,0.0035204705194931,0,0,0,0.00275834274138235,0,0,0,0,0,0.0880691913371121,0,0,0,0,0.156590982393277,0,0,0,0,0,0,0,0,0,-0.000506908776898239,0,0,-0.0199498704419117,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173078613405195,0,0,0,0,0,-0.052742878474109,0,0.0406237063267787,0,0.0157366584811668,0,0,0.206076742943435,0.0975237692899137,0.0207207984624248,0,0.00406517198500941,0,0,0,0,0,0,0,-0.0543101899736571,0,0,0,0,0,0,0,-0.018120080924145,0,0,0,0,0,0
