,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600066.SH,X600271.SH,X002241.SZ,X000100.SZ,X002292.SZ,X600031.SH,X600118.SH,X002236.SZ,X002475.SZ,X000568.SZ,X600177.SH,X002506.SZ,X000559.SZ,X002074.SZ,X600372.SH,X000157.SZ,X000338.SZ,X300003.SZ,X002249.SZ,X300124.SZ,X002456.SZ,X002085.SZ,X600867.SH,X002007.SZ,X000050.SZ,X002426.SZ,X002294.SZ,X002465.SZ,X600089.SH,X002508.SZ,X000869.SZ,X002179.SZ,X600699.SH,X002180.SZ,X600498.SH,X601877.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.118367153398919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021420203973524,0,0,-0.0606883587507723,0,0,0,0,0,0,-0.0179090736669237,-0.0218965986742068,0.0934971833317096,0.0355005292390396,-0.0215514779407412,0,0,0,0,0,0,0,0.143946156751707,0,0,0,0,-0.00263150846271427,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0982015563188858,0,0.114804801199473,0,0.0758493777408252,0,0,0.0205107979007853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320254619525274,0,0,0,0,0,0,0,0,0,0,-0.0145453954627558,0,0.162385425500169,0,-0.00237671106133596,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089146031226748,0,0.0123500548040259,0,0,0,0,0,0,0,0,0.0413438078459839,0,0,0,0,0.19391501942563,0,0,0,0,0,0.0204290458492802,0,0,0,0,0,0,0,0,0,0,0,0.0228810515512961,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.223630929240776,0,0,0,0,0,1.73472347597681e-18,0,0,0.0420360522258215,0,0,0.0158663299218736,0,0,0,0,0,0,0.0204282791200942,0,0,0,0,0,0,0,0,0,0,0,0.0494416436421733,0.0811478447786329,0.0351829844025006,0,0,0,0,0.0678273350586144,0,0,-0.0117897113273291,0,0,0,0,0.00470863745246445,0,0,0,0,0,0,0
X002304.SZ,0.0884548866055204,0,0,0.241976369092472,0,0,0,0,0,0,0,0,0,0,0.0112831241689089,0,0,0,0,0,0,0.16478713749762,0,-0.0758133350845788,0,0.0131268017131019,0,0,0,0,0,0,0,0,0,0.112119960662842,0,0,0,0,0,0,0,0.104735863877601,0,0,0,0,0.144481134406147,0,0.0320949444848927,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.106199989156165,0,0,0,0,0,-0.0263095655486653,0,0,0,0,-0.0306487154368163,0,0.090474110037174,0.0487520727202121,0,0,0,0,0,0.0549473602993066,0,0,0,-0.00490605076894118,0,0,0,0,0.0804034746113078,0,0,-0.0771007320431026,-0.0368823244071367,0.0753036212682111,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132165777537731,0,0.0908247323389872,0,0,0,0,0,0,0.095165433409767,0.129359202768591,0.00627962263691888,0.00524445939149584,0,0,0,0,0,0.089831705280859,0,0,0,0.05303823507879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00221066590942299,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0.167908941197851,0,0,0,0,0,0.000687135570989893,0,0,0,0,0,0.153704519503453,0,0,0.152099064115886,-0.0762333001454117,0,-0.0440781838789859,0,0,0,0,0,0,0,0,0,0.0277932866219606,0,0,0,0,0.0598263096258116,0,0,0,0,0,0.0160997272226351,0.0614194548787878,0,0.000352246761976095,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0552789922979181,0,0,0,0.106205972005762,0,0.0933244598788924,0,0,0,0.0240996486472365,0.0367510101958249,0,-2.16840434497101e-19,0,0,0,0,0,0.0190428258352534,0,0.171103743516681,0,0,0,0,0,0,0,0,0,0,0,0.0778447788666142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.00920726292333356,0,0,0,0,0,0.00166034681192513,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0159558564815113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560291519471175,0.0503265796043836,0,0,0,0.32591540957895,0.0494750619108247,0.0996689946007819,0.047962920420188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
