,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X000100.SZ,X002241.SZ,X000338.SZ,X002456.SZ,X002236.SZ,X600118.SH,X600271.SH,X002085.SZ,X600177.SH,X000157.SZ,X002007.SZ,X600372.SH,X300124.SZ,X300003.SZ,X000559.SZ,X600867.SH,X002294.SZ,X002292.SZ,X600089.SH,X002180.SZ,X002426.SZ,X600522.SH,X002074.SZ,X002508.SZ,X002506.SZ,X000981.SZ,X601877.SH,X000623.SZ,X300136.SZ,X000536.SZ,X600498.SH,X002465.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002508.SZ,0,0.101002233756655,0.133396346025251,0.0201971995313517,0,-0.0372312757652357,0,0,0.0269349955357586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536278231893066,0,0,0,0,0,0,0,0,-0.271824887930818,0,0,0.0750774761721023,0,0,0,0,0,0,0,0.0844104943491197,0,0,0,0,-0.042045563696692,-0.0384590798082063,0.000710610786324705,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0.0469711209639864,0,0.104416220425944,0,0,0,0.0832273233524679,0,0,0,0,0,0.0582662524181136,0,0,0.175281618358518,0,0,0,0,0,0,0,0,0.159455345107903,0,0,0.294884838855001,0,0,0.0527488287937765,0,0,0,0,0,0.0418464360444707,0,0.0121467778483515,0,0,0,0,-0.00508094237138141,0,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0.0819018786370846,0,0.14678559047153,0,0,0,0,0,0,0,0,0,0.0930206911534332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114264132761415,-0.0426553750371671,0.119867859653816,0,0.0695284628501871,0,-0.0279696949245165,0,0,0,0,0,0,0
X601877.SH,0,0.0649089657422027,0,0,0,0,0,0,0,0.173225056618496,0,0.149753063224513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0684761954369436,0.0019784839949009,0.234036148606975,0.224342859533437,0.11780415867135,0,0,0,0,-0.00715270466771971,0,0,0,0.0240820471927614,0.0738010346338597,-0.0377204470183475,0,0,0,0,0,0
X000623.SZ,0,0,0.308574412383015,0,0,0,0,0.13771410664422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216709251353824,0,0,0,0.0539655041447406,0.0121311631418828,0,0,0,0.101792301806777,0,0,0,0.0553283922524662,0,0,0,0,0,0,0,0,0.0139423439568905,0,0,0,0,0,0.248993107275964
X300136.SZ,0,0,-0.0194400375884597,0,0,0,0,0.23556795028226,0,0,0,0,0,0,0,0,0.235252730225314,0,0,0,0,0.305529411836443,0,0,0,0,0,0.0686444687800659,0,0.538670235175177,-0.0929102883195171,0,0,0,0,0,0,0,0,0,0,0,0,-0.212748481953097,0,0,0,0,0,0.255618087076192,0,0.0591709930924771,0,0,0,0,0,0
X000536.SZ,0,-0.0179964212551758,0,0,0,0,0,-0.0736785351170447,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0967205648555093,0.0475401758330337,0,0,0,0,0,0,-0.0528642328563526,0,0,0,0,0,0,0,0,0,0,-0.262448725856395,0.0137924988824767,0,0,0.22664599508397,0,0,0,0,0,0,0,0,0.0361329052800195,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235919486956043,0,0,0,0,0,0,0,0,0,0,0,0.45514449751689,0,0,0,0,0,0,0,0,0,0,0.0810107840185509,0,0,0,0,-0.0495438898902894,0.0333971133509822,0,0,0,-0.0284244809843887,0,-0.00567081276305818,0,0,0,0,0,0
X002465.SZ,0,-0.0468735052417255,4.33680868994202e-19,0,-0.0542383383863468,0,0,0,0,0,0,0,0,0.00856510908479836,0,0,0,0,0,0.0285235976143232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01102754471708,0.00588514314861199,0,0,0.182287216068684,0,0.200396963707422,0,0,-0.000866028781163639,-0.00465692834094298,0,0,0,0,0,0
Change_TY3M,0,0.0562254560525371,0,0,0,-0.169292327896913,0,0,0,0,0,0.158074032265038,0,0,0,0,-0.0275845379419106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104985179072099,0,0,0.063842551445202,0,0,0,0,0,0.135000107820159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.50032909268056,0,0,-0.287263902334203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807527951697721,0,0,0,0,0,0
TED,0,0.600769517769359,0,0,0,0,0,0,0,0,0,0,0.402461256636554,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101399508756225,0,0,0,0,-0.399261935192797,0,0,0,0,-0.578040853695453,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30990149950611,0,-0.544660387491892,0,0,-2.2551856519157,0,0
RealEstate_excess,0,0,-0.0136587509751912,0,0,0,-0.13795763107387,0,0.0138303707539396,0,0,0,0,0,0,0,0.0997184664289314,0,0,0,0,0,0.100132243744901,0,0,0,0,0,0,0,-0.0566999523219832,0,0,0,0,0,-0.137717573189338,0,0,0,0.22894089545023,0,0,0,0,0,0,-0.0298831467521645,0,0,0,0,0,0.160059382719074,0,0,0,0
MKreturn,0,0,-0.0290272596536947,0,0,0,0,0.0953345417792896,0,0,0,0,0,0,0,0,0,0,0.0278503478286617,-0.0629253540062584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.220265775545509,0,0,-0.0199690469824433,0.02600285176063,0.156373379346293,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00429030263590526,0,0,0,0,0,0,0,0,-0.00136032832222688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174230917009938,0,-0.00169040263127612,-0.00185044718197123,0,0.000601291643428349,0,-0.00393426684204785,0.00044350194724985,-0.0012536333784782,0,0,0,0,0,0.0281988009796362
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319278582838159,-0.0650365159985181,0,0,0,0,0,0.00591687099172807,0,0.00406319532638949,0,-0.0352565445714707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377207526107071,0.0640215895355777,0,0,0,0,0,0.0213916889407725,0,0,0,0,0.0138253080129149,-0.0226915807083137,0,0,0,0,0,-0.877928733504848
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141030832512849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106443636435668,0,-0.00171630166565489,0,0,0,0.053686559770299,0,0
CarbonVol_Hubei,0,0,0.0013436670974156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373100376897568,0,0,0,0,0,0,0,-0.0019910199473033,-2.16840434497101e-19,0,0,0,-0.0207655145068772,0.0127640738489713,-0.013113282338204,0,0,0,-0.371618327380163,0,0
