,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000063.SZ,X000858.SZ,X000625.SZ,X002304.SZ,X600031.SH,X600276.SH,X600690.SH,X600118.SH,X600271.SH,X000100.SZ,X600372.SH,X600703.SH,X000157.SZ,X002129.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X600066.SH,X600177.SH,X002236.SZ,X002292.SZ,X300124.SZ,X600582.SH,X000559.SZ,X002456.SZ,X000977.SZ,X600060.SH,X600435.SH,X601877.SH,X600198.SH,X002475.SZ,X002465.SZ,X600839.SH,X000800.SZ,X300003.SZ,X002294.SZ,X000581.SZ,X000568.SZ,X002007.SZ,X000869.SZ,X000623.SZ,X002491.SZ,X002276.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.202585052819448,0,0,0,0,0,0,0,0,0,0.0605302365253808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464082851705216,0,0,0,0,0.0277201451762899,0,0,-1.73472347597681e-18,0,0.0146996914364506,0,0,0,0.00997483791418687,0,0,0,0,0,0
X600104.SH,0,0,0.0635885863970216,0,0.0943535725876929,0.0423581283483624,0,0,0,0,0,0,0,0.00868286457854248,0,0.0580655804381336,0,0,0,0,0,0.064282337413459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709797162333857,0,0,0,0,0.0778431656459234,0,0,0.0532320779856893,0,0.00866560386180165,0.0269909819662578,0,-0.00182980552847995,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0815856922590514,0,0,0,0,0,0,0,0.0712552985184391,0,0.046727534167505,0,0,0.0243872064296644,0,0,0.0362058429018481,0,0,0,0,0,0,0,0,0,0.0418859505361487,0,0,0,0,0,0.210357910931174,0,0,0,0,0,0,0,0,0.0342635834466027,0,0.0785861611026273,0,0,-0.0178309843025449,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.162783605607325,0,0,0,0.0963406759781327,0,0,0,0,0.13039336388884,0,0,0,0,0,0,0.0785918928876455,0,0,0,0,0,0,0.117569463026621,0,0,0,0,0.0685658391093506,0,0,0.0998447801427915,0,0,0,0,0,0,0,-0.00800101156096941,8.67361737988404e-19,0,0,0,0,0,0
X000651.SZ,0,0,0.132462358909542,0,0,0.0268530694283,0,0,0,0,0,0,0,0,0.0782519862235698,0,0,0,0,0.120589006211829,0,0,0,0.0356454857419427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293888956705962,0,0,0,0,0,0,0,0,0.00469132540402998,0,0,0,0,0,0
X000063.SZ,0,0,0.0334757902809682,0,0,0,0,0,0,0,0,0,0,0,0,0.129539453113871,0,0,0.00731539359711612,0,0,0.212043410147377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027176825192874,0,0,0,0,0,0,0,0.112903362250868,0,0,0,0,-0.0216130251953722,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0244366776014557,0,0,0.0200350438725038,0,0,0,0,0,0.0993400976543344,0,0.0438269059700847,0,0,0,0.0527251894634566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311200333947588,0,0.0221368690529975,0,0,0,0,0,-0.00438892328294318,0,0,0,0,0,0,0
X000625.SZ,0,-6.93889390390723e-18,0.292465118504648,0,0,0,0,0,0,0.136281599461855,0,0,0,0,0,0.0410627128242888,0,0,0,0,0,0,0.133106811995723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012387786521473,0,0,0,0,0,0,0,0,-0.0543815682619083,0,0,0,-0.011355461609163,0.00973782719952881,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0652441480771802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180006138881607,0,0.0243549199927842,0,0,0,0,0,0,0,0,0,0.0186595918079443,0,0,0,0,0,0.377444728828627,0,0.0396840036500577,0.013911732519268,0,0.0269285113352007,0,0,-0.0055295277640663,-0.00404263455000227,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732542451007407,0.554955331702356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756073301915671,0,0.0246722990353372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999955259458953,0,0,0,0,0,0
