,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000063.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002371.SZ,X000338.SZ,X300014.SZ,X002129.SZ,X002179.SZ,X600703.SH,X002049.SZ,X000100.SZ,X600089.SH,X600372.SH,X002236.SZ,X600741.SH,X000157.SZ,X000661.SZ,X600584.SH,X000977.SZ,X002241.SZ,X601877.SH,X600522.SH,X600702.SH,X601799.SH,X002463.SZ,X000733.SZ,X002074.SZ,X000800.SZ,X002007.SZ,X300142.SZ,X002028.SZ,X002180.SZ,X600183.SH,X600460.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.301429660190835,0,0,0,0,0.0462339446006273,0,0,0,0.175232440766811,0,0,0,0,0,0,0,0,0,0,0,-0.0821133727542754,0,0,0,0,0,0,0,0,0,0.0332763733540183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135539955676428,0,-0.000104522636605569,0,0.0100203249922321,0,0,0,0,0
X000858.SZ,0,0,0.156722653887325,0,0,0,0,0,0,0.00749276011890001,0,0,0,0,0,0.102866962665299,0,0.173981450899996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285402915113306,0,0,0,0.036984602381127,0,0.0137974964006116,0,0,0,0,0.0979314945342601,0,0,0,0,0,0,-0.00399734625539358,0,0,0,0,0,0,0
X000568.SZ,0.34437016194037,0.0364899523086552,0,0,0.248150356459848,0.0241360989320112,0,0,0,0.0611369742691748,-0.0626711737886938,0,0,0,0,0.25225460425679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474767734099613,-0.0607503636552229,0.0128532001492317,0,0,0,0,0,0,0,0,0,0,0,0.011595264566563,0,0,0,0,0,0,0
X002415.SZ,0,0,0.0858122076791665,0,0,-0.0291608694868032,0,0,0,0,0,0,0,0,0,0,0,0,0.0560639463042176,0,0.0766187983356716,0,0,0,0,0,0,0,0.259873574617174,0,0,0,0,0.00697770087763934,0,0,0,0.118926867642008,0,0.00479862794931698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0.490167247354116,0.0195014018501236,0,0,0,0,0,0,0,0,-0.154908578247495,0,0,0,0,0,0,0,0.184538958064711,0,0,0,0,0,0,0,0.0526888794047548,0.0517208160702763,0,0,0,0,0,0,0,0.147645154064129,-0.0371840317347883,0.0331156097565445,0,0,0,0,0,0,-0.0581182684645326,0,0,0,0,-0.0135553725778906,0,0,0,0,0,0,0
X600276.SH,0,0,0,-0.341774637559955,0,0,0,0,0,0,0,0,0.0259474707915157,0,0,0,0,-0.205507888401042,0,0,0,0.00555969031696063,0,0,0,0,0,0,-0.173308250404984,0,0,0.548664511625167,0.0428822324434917,0,0,0,0,0,0.0270647788342501,0.0943980646865143,0,0,0,0,0,0.187967871781748,0,0,0,0,0,-0.025812849120277,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142431715605928,8.67361737988404e-19,0,0.028065979775655,0,0,0,0,0.0805528518993083,0,0,0,0,0,0,0,0,0.0182803489192903,0,0,0,0.0437540761946179,0,0.00321083245930771,0,0,0,0.007423162229223,0.0246807731739275,0,0,0.0509629347661741,0,0,0,-0.0242507571875929,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.0204800048881984,0,0,0,0,0,0,0,0,0,0,0,0.153862056446342,0,0,0,0,0,0,0.034196121240652,0,0,0,0.0274973873929297,0,0,0,0.143545545023255,0,0,0,0,0,0,0.0862485739083524,0,0,0,0,0.0147893609095131,0,0.12972593407328,0,0,0,0,-0.0540544789883391,0.109113404496841,0,0,0,0,0,0
X000651.SZ,0,0.188011323068488,0,-0.173311852297137,0,0,0.327953672683656,0.0382829841173266,0,0,0,0,0,0,0,0,0,0.117431716277081,0,0.0368360253424444,0,0,0,0,0,0,0.0475142590775357,0,-0.0182680484110459,0,0,0,0,0.00970081844354668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145836663056753,0,0,0,0,0,0,0
X002304.SZ,0,0.353346619808359,0.0779746619789627,0,0.140659585956144,0,0,-0.0107435079682879,0,0,0,0,0,0,0,0.0187546405223331,0,0.0527435624583345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152853846961373,0,0,0,0,0.0447695591553888,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102885684808547,0,0,-0.159398254258016,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138604224275585,0,0.0447825976840939,0,0,0,0,0,0,0.0486272234632315,0.00507232230546388,0,0,0,0,0,0.182255206865646,0,0.0416667209454219,1.73472347597681e-18,0,0,0,0,0,0,0.0627641465629928,0,0,0,0,0,0,0,0,0,0,-0.020328897100489,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0858130872567499,0,0,0,0,0,0,0,0,0.114485124470468,0.127075444407673,0,0,0,0,0,0,0,0,0,0,0,0,0.0797227358864951,0,0,0,0,0,0,0,0,0,0,0.0792735615509721,0,0,0.0336186616581627,0.0211408301667614,0,0,0,-0.0729097004243234,0,-0.0190249687102415,0,0,0,0,0,0,0
