,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600690.SH,X600031.SH,X000063.SZ,X000100.SZ,X600276.SH,X000338.SZ,X000157.SZ,X600372.SH,X002241.SZ,X600703.SH,X600089.SH,X600741.SH,X002236.SZ,X600066.SH,X600271.SH,X601877.SH,X002129.SZ,X600177.SH,X600118.SH,X600582.SH,X000559.SZ,X000581.SZ,X000550.SZ,X002475.SZ,X000568.SZ,X300124.SZ,X000623.SZ,X300146.SZ,X000400.SZ,X000800.SZ,X600060.SH,X300003.SZ,X000050.SZ,X002294.SZ,X002292.SZ,X000977.SZ,X002465.SZ,X600839.SH,X002456.SZ,X000869.SZ,X600166.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.167665214029046,0,0,0,0,0,0,0.20644533173732,0,0,0,0,0,0,0,0.0055319213551409,0,0.156165764649461,0,0,0.10547858985632,0,0,0,0,0,0,0.0275519363906073,0,0,0,0,0,0,0,0.112323228318332,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00662230829066655,0,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.152279794117309,0.120796990889382,0.0136115188850242,0,0,0,0,0,0,0,0,0,0,0,-0.000172355099724956,0,0,0,0,0,0,0,0.0594555443258,0.0417277851577876,0,0,0.0311064587920276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503661860237439,0.130297613546214,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.00724644011365164,0.0167302548145371,0,0.295897889402083,0.184627266633154,0,0,0.110312360382697,0,0,0,0,0,0.118150977350792,0,0,0,0,0.101782616022937,0,0,0,0,0,0,0.0393339039939428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.205922846772084,0.028493694355502,0,0,0,0,0,0,0.0763526453306985,0,0.00585929774155214,0.0400879810459928,0,0.00996630710030113,0,0,0,0,0.0914905750601249,0,0,5.42101086242752e-20,0,0.0461878685736424,0,0,0,0,0,0,0.181573019989334,0,0,0,0.022308543493442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821236716470428,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.108012186308227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217126021039518,0,0,0,0,0,0,0,0,0,0.251744284745606,0,0,0,0,0.0269531229796371,0.143110018991429,0.0789814339760967,0.0379284004113916,0.0464105415759787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0.145723709221271,0,0,0,0.157214636453459,0,0.0527774722356468,0,0,0,0,0,0,0,0,0,0,0,0,0.0933375446916006,0,0,0,0,0,0,0,0,0,0,0.10053261842468,0,0,0.0610502153937466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025654528156025,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.185067737061514,0,0,0.108569253358309,0,0,0,0,0,0,-0.0296218752812066,0,0,0.0754655545214135,0.0556350818882846,-0.054052190374841,0,0,0,0,0,0,0,0.148234495406445,0,0,0,0,0,0,0,0,-0.0105615828239436,0.0502757137007835,0,0,0,0,0,-0.240164134596685,0.204033021377892,0,0,0,0.0394511869465628,0,0,0.0291615354211494,0,0,0,0
X000858.SZ,0,0,0.0511369921387492,0,0,0,0.164716555562976,0,0.0924646242865115,0.063622602224017,0,0.0472945244761315,0,0.106574755665227,0.0487620827046869,0,0,0,0,0,0,0,0,0,0,0.0381934461815681,0,0,0,0,0,0,0.133058507098828,0,0,0,0,0.061944992007272,0,0,0.0159737919029792,0,0,-0.0289612243633954,0,0.0231483581679821,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0.194621991926556,0,0.206124952574267,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0719838650999163,0,0,0,0,0,0,0.0825560264768441,0,0,0,0,0.100821646781818,0,0,0.015546808388348,0.0403935863815258,0,0,0,0,0,0,0,0.111126201291983,0.11889908350358,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306559975382699,0,0,0,0,0,0,0
X600031.SH,0.0383379284993517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77768775586039,0,0,0,0,0,0,0,0,0,0,0.0803974317613896,0,0,0.0398759297214336,0,-0.0207204524556021,0,0,0,0.0519693654205388,0,0.0232338249667374,0,-0.0147026551521594,0,0,0,0,0,0,0,0,0,0,0,0,-0.0070458747774244,0,0,0,0,-0.00905366695758633,0,0
