,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000625.SZ,X000596.SZ,X000725.SZ,X002371.SZ,X000338.SZ,X000063.SZ,X600031.SH,X300014.SZ,X002179.SZ,X600703.SH,X000100.SZ,X002129.SZ,X600089.SH,X002236.SZ,X600372.SH,X002049.SZ,X000661.SZ,X002241.SZ,X600741.SH,X000157.SZ,X600584.SH,X601877.SH,X600522.SH,X000800.SZ,X000977.SZ,X002007.SZ,X601799.SH,X600183.SH,X002074.SZ,X600418.SH,X002028.SZ,X002463.SZ,X600702.SH,X300142.SZ,X002294.SZ,X000733.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.30441778827755,0,0,0,0,0,0.0608360955196831,0,0,0,0.0223808853764407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033544811886434,0,0,0,0,0,0.0529420721766843,0,0,0,0.00128904633241187,0,0.0810848328901092,0,0,0,0,0,0,0,-0.00653202337880133,0,0,0,0,0,0,0
X000858.SZ,0.150262784840473,0,0,0.0790925282682091,0,0,0,0,0,0.20398955521806,0,0,0,0.0818112432479561,0,0,0,0,0,0,0,0,0,0,0,0,-0.0325861075057329,0,0,0,0,0,0,0,0,0,0,0.103464399603695,0,0,0,0,0,0.107394743742421,0,0.131056789581091,0,0.0129605178426651,0,0.0392415152639256,0,-0.00892938754545445,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392099977022334,0,0,0,0,0,0,0,0.0884802437281805,0,0.0147738562156962,0,0,0,0,0,0,0,0,0,0,0.145725296807405,0,0,0,0,0.0541286567150821,0,0,0,0,0,0,0,0,-0.0113864931325886,0,0,0,0,0,0,0
X000568.SZ,0.368047222952477,0,0,0,0.0293210167967728,0.34737287293543,0,0,0,0,0,0.0215365413904356,0,0,0.199809117976913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04831110731197,0,-0.00370158798624304,0,0,0.0477124231135516,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0659575921755116,0,0,0,0,0,0,0,0.058780226167492,0,0,0,0,0.19026673537674,0,0,0,0.0864371811929007,0,0,0,0,0,0,0,0,-0.0932952549757107,0,0,0,0,0.340859561097509,-0.0486764216267617,0,0,-0.0200302309074641,0,0,0,0,0,0,0
X600809.SH,0.168278303244559,0,0,0.472497120924602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154251343886404,0,0,0,0,0,0,0,0,0.0574216675865068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271961046813276,0,0,0,-0.0510427924097272,0,0,-0.00155647621960485,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109504207503664,0,0,0,0,0,0,0,0,0,0,0,0.0790412644206787,0,0,0.114605406307564,0,0.0980799217776907,0,0,0,0,0,0,0.162162112718277,0,0.12386557773162,0,0,0.097442719865857,0,0,0,-0.0589951096086093,0.0921862775854335,0,0,0,0,0,0
X600690.SH,0.142897243285069,0,0,0.047511286458088,0,0,0,0,0,0,0.0135713394793568,0.0519182967321394,0,0,0,0,0,0.0931205641486642,0,0.0183766057950822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307936397806435,0,0,0,0,0,0,0,0.0703943789085945,3.46944695195361e-18,0,0,0,0,0,-0.0022452891432926,0,0,0,0,0,0,0
X000651.SZ,0.10281643042633,0,0,0,0,0,0.00145803428672963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581902550931977,0,0,0,-0.0574005844131886,0,0,0,0.105576801787998,0,0,0,0,0.0118824482382263,0,0.0666919667370674,0,0,0,0,0,0,0.0281433315922216,0,0,0,0,0,-0.0165793915154361,0,0,0,0,0,0
X002304.SZ,0,0.173289322137327,0,0.111548429344392,0,0,0,0,0,0,0,0,0,0.142574418785227,0,0,0,0,0,0.0828146219036961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100634040786584,-1.73472347597681e-18,0,0,0,0,0.0254500128506403,-0.0469477363981347,0,0,0,0,0,0
